entry_id,parl_id,source_id,details,date,amount,source_pdf,source_pagenum
P38_ALBANESE_Anthony_14_3,ALBANESE_Anthony,P38_ALBANESE_Anthony,"4 Jan 16",2016-01-04,15.83,P38_ALBANESE_Anthony.pdf,14
P38_ALBANESE_Anthony_14_4,ALBANESE_Anthony,P38_ALBANESE_Anthony,"5 Feb 16",2016-02-05,23.02,P38_ALBANESE_Anthony.pdf,14
P38_ALBANESE_Anthony_14_5,ALBANESE_Anthony,P38_ALBANESE_Anthony,"12 Feb 16",2016-02-12,16.88,P38_ALBANESE_Anthony.pdf,14
P38_ALBANESE_Anthony_14_6,ALBANESE_Anthony,P38_ALBANESE_Anthony,"24 Mar 16",2016-03-24,31.37,P38_ALBANESE_Anthony.pdf,14
P38_ALBANESE_Anthony_14_7,ALBANESE_Anthony,P38_ALBANESE_Anthony,"13 Apr 16",2016-04-13,13.02,P38_ALBANESE_Anthony.pdf,14
P38_ALBANESE_Anthony_14_8,ALBANESE_Anthony,P38_ALBANESE_Anthony,"13 Apr 16",2016-04-13,10.60,P38_ALBANESE_Anthony.pdf,14
P38_ALBANESE_Anthony_14_9,ALBANESE_Anthony,P38_ALBANESE_Anthony,"17 Jun 16",2016-06-17,29.35,P38_ALBANESE_Anthony.pdf,14
P38_ALEXANDER_John_18_3,ALEXANDER_John,P38_ALEXANDER_John,"9 Aug 15",2015-08-09,119.89,P38_ALEXANDER_John.pdf,18
P38_ALEXANDER_John_18_4,ALEXANDER_John,P38_ALEXANDER_John,"15 Dec 15",2015-12-15,35.59,P38_ALEXANDER_John.pdf,18
P38_ALEXANDER_John_18_5,ALEXANDER_John,P38_ALEXANDER_John,"15 Dec 15",2015-12-15,47.00,P38_ALEXANDER_John.pdf,18
P38_ALEXANDER_John_7_26,ALEXANDER_John,P38_ALEXANDER_John,"27 Jan 16",2016-01-27,12.85,P38_ALEXANDER_John.pdf,7
P38_ALEXANDER_John_7_27,ALEXANDER_John,P38_ALEXANDER_John,"10 Mar 16",2016-03-10,119.89,P38_ALEXANDER_John.pdf,7
P38_ALEXANDER_John_7_28,ALEXANDER_John,P38_ALEXANDER_John,"11 Mar 16",2016-03-11,119.89,P38_ALEXANDER_John.pdf,7
P38_ALEXANDER_John_7_29,ALEXANDER_John,P38_ALEXANDER_John,"7 Apr 16",2016-04-07,56.91,P38_ALEXANDER_John.pdf,7
P38_ALEXANDER_John_7_30,ALEXANDER_John,P38_ALEXANDER_John,"7 Apr 16",2016-04-07,119.89,P38_ALEXANDER_John.pdf,7
P38_ALEXANDER_John_7_31,ALEXANDER_John,P38_ALEXANDER_John,"8 Apr 16",2016-04-08,61.66,P38_ALEXANDER_John.pdf,7
P38_ALEXANDER_John_7_32,ALEXANDER_John,P38_ALEXANDER_John,"8 Apr 16",2016-04-08,119.89,P38_ALEXANDER_John.pdf,7
P38_ALEXANDER_John_7_33,ALEXANDER_John,P38_ALEXANDER_John,"7 Jun 16",2016-06-07,27.43,P38_ALEXANDER_John.pdf,7
P38_BALDWIN_Bob_11_16,BALDWIN_Bob,P38_BALDWIN_Bob,"15 Feb 16",2016-02-15,59.56,P38_BALDWIN_Bob.pdf,11
P38_BALDWIN_Bob_20_15,BALDWIN_Bob,P38_BALDWIN_Bob,"20 Nov 15",2015-11-20,89.20,P38_BALDWIN_Bob.pdf,20
P38_BERNARDI_Cory_10_34,BERNARDI_Cory,P38_BERNARDI_Cory,"27 May 16",2016-05-27,32.03,P38_BERNARDI_Cory.pdf,10
P38_BILYK_Catryna_11_30,BILYK_Catryna,P38_BILYK_Catryna,"17 Feb 16",2016-02-17,10.17,P38_BILYK_Catryna.pdf,11
P38_BILYK_Catryna_11_31,BILYK_Catryna,P38_BILYK_Catryna,"17 Feb 16",2016-02-17,8.92,P38_BILYK_Catryna.pdf,11
P38_BIRD_Sharon_8_21,BIRD_Sharon,P38_BIRD_Sharon,"9 Mar 16",2016-03-09,11.70,P38_BIRD_Sharon.pdf,8
P38_BIRD_Sharon_8_22,BIRD_Sharon,P38_BIRD_Sharon,"9 Mar 16",2016-03-09,20.14,P38_BIRD_Sharon.pdf,8
P38_BIRD_Sharon_8_23,BIRD_Sharon,P38_BIRD_Sharon,"15 May 16",2016-05-15,27.65,P38_BIRD_Sharon.pdf,8
P38_BIRMINGHAM_Simon_12_36,BIRMINGHAM_Simon,P38_BIRMINGHAM_Simon,"12 Jan 16",2016-01-12,31.18,P38_BIRMINGHAM_Simon.pdf,12
P38_BIRMINGHAM_Simon_12_37,BIRMINGHAM_Simon,P38_BIRMINGHAM_Simon,"13 Apr 16",2016-04-13,11.30,P38_BIRMINGHAM_Simon.pdf,12
P38_BIRMINGHAM_Simon_12_38,BIRMINGHAM_Simon,P38_BIRMINGHAM_Simon,"28 Apr 16",2016-04-28,24.82,P38_BIRMINGHAM_Simon.pdf,12
P38_BIRMINGHAM_Simon_13_3,BIRMINGHAM_Simon,P38_BIRMINGHAM_Simon,"29 Apr 16",2016-04-29,16.15,P38_BIRMINGHAM_Simon.pdf,13
P38_BIRMINGHAM_Simon_13_4,BIRMINGHAM_Simon,P38_BIRMINGHAM_Simon,"3 May 16",2016-05-03,18.87,P38_BIRMINGHAM_Simon.pdf,13
P38_BIRMINGHAM_Simon_23_15,BIRMINGHAM_Simon,P38_BIRMINGHAM_Simon,"31 Dec 15",2015-12-31,62.53,P38_BIRMINGHAM_Simon.pdf,23
P38_BISHOP_Julie_20_24,BISHOP_Julie,P38_BISHOP_Julie,"1 Jan 16",2016-01-01,56.88,P38_BISHOP_Julie.pdf,20
P38_BISHOP_Julie_20_25,BISHOP_Julie,P38_BISHOP_Julie,"12 Feb 16",2016-02-12,11.80,P38_BISHOP_Julie.pdf,20
P38_BISHOP_Julie_33_29,BISHOP_Julie,P38_BISHOP_Julie,"18 Dec 15",2015-12-18,9.40,P38_BISHOP_Julie.pdf,33
P38_BISHOP_Julie_33_30,BISHOP_Julie,P38_BISHOP_Julie,"23 Dec 15",2015-12-23,23.98,P38_BISHOP_Julie.pdf,33
P38_BISHOP_Julie_33_31,BISHOP_Julie,P38_BISHOP_Julie,"23 Dec 15",2015-12-23,11.51,P38_BISHOP_Julie.pdf,33
P38_BRIGGS_Jamie_8_3,BRIGGS_Jamie,P38_BRIGGS_Jamie,"29 Apr 16",2016-04-29,38.24,P38_BRIGGS_Jamie.pdf,8
P38_BROAD_Andrew_20_8,BROAD_Andrew,P38_BROAD_Andrew,"16 Dec 15",2015-12-16,8.15,P38_BROAD_Andrew.pdf,20
P38_BROAD_Andrew_8_31,BROAD_Andrew,P38_BROAD_Andrew,"18 Mar 16",2016-03-18,26.19,P38_BROAD_Andrew.pdf,8
P38_BROAD_Andrew_8_32,BROAD_Andrew,P38_BROAD_Andrew,"19 Mar 16",2016-03-19,27.52,P38_BROAD_Andrew.pdf,8
P38_BROAD_Andrew_8_33,BROAD_Andrew,P38_BROAD_Andrew,"20 Apr 16",2016-04-20,38.75,P38_BROAD_Andrew.pdf,8
P38_BROAD_Andrew_8_34,BROAD_Andrew,P38_BROAD_Andrew,"7 Jun 16",2016-06-07,12.18,P38_BROAD_Andrew.pdf,8
P38_BUCHHOLZ_Scott_7_35,BUCHHOLZ_Scott,P38_BUCHHOLZ_Scott,"26 Feb 16",2016-02-26,18.87,P38_BUCHHOLZ_Scott.pdf,7
P38_BUCHHOLZ_Scott_7_36,BUCHHOLZ_Scott,P38_BUCHHOLZ_Scott,"26 Feb 16",2016-02-26,10.80,P38_BUCHHOLZ_Scott.pdf,7
P38_BULLOCK_Joe_13_10,BULLOCK_Joe,P38_BULLOCK_Joe,"9 Feb 16",2016-02-09,14.33,P38_BULLOCK_Joe.pdf,13
P38_BULLOCK_Joe_13_11,BULLOCK_Joe,P38_BULLOCK_Joe,"9 Feb 16",2016-02-09,16.55,P38_BULLOCK_Joe.pdf,13
P38_BULLOCK_Joe_13_12,BULLOCK_Joe,P38_BULLOCK_Joe,"10 Feb 16",2016-02-10,21.39,P38_BULLOCK_Joe.pdf,13
P38_BULLOCK_Joe_13_13,BULLOCK_Joe,P38_BULLOCK_Joe,"10 Feb 16",2016-02-10,30.88,P38_BULLOCK_Joe.pdf,13
P38_BULLOCK_Joe_13_14,BULLOCK_Joe,P38_BULLOCK_Joe,"15 Feb 16",2016-02-15,23.31,P38_BULLOCK_Joe.pdf,13
P38_BULLOCK_Joe_13_15,BULLOCK_Joe,P38_BULLOCK_Joe,"17 Feb 16",2016-02-17,24.42,P38_BULLOCK_Joe.pdf,13
P38_BULLOCK_Joe_13_16,BULLOCK_Joe,P38_BULLOCK_Joe,"19 Feb 16",2016-02-19,54.67,P38_BULLOCK_Joe.pdf,13
P38_BULLOCK_Joe_13_17,BULLOCK_Joe,P38_BULLOCK_Joe,"19 Feb 16",2016-02-19,60.61,P38_BULLOCK_Joe.pdf,13
P38_BULLOCK_Joe_13_18,BULLOCK_Joe,P38_BULLOCK_Joe,"19 Feb 16",2016-02-19,26.64,P38_BULLOCK_Joe.pdf,13
P38_BULLOCK_Joe_13_7,BULLOCK_Joe,P38_BULLOCK_Joe,"31 Jan 16",2016-01-31,29.47,P38_BULLOCK_Joe.pdf,13
P38_BULLOCK_Joe_13_8,BULLOCK_Joe,P38_BULLOCK_Joe,"8 Feb 16",2016-02-08,15.94,P38_BULLOCK_Joe.pdf,13
P38_BULLOCK_Joe_13_9,BULLOCK_Joe,P38_BULLOCK_Joe,"8 Feb 16",2016-02-08,14.03,P38_BULLOCK_Joe.pdf,13
P38_BURKE_Anna_13_3,BURKE_Anna,P38_BURKE_Anna,"14 Apr 16",2016-04-14,38.36,P38_BURKE_Anna.pdf,13
P38_BURKE_Tony_10_29,BURKE_Tony,P38_BURKE_Tony,"25 Mar 16",2016-03-25,39.62,P38_BURKE_Tony.pdf,10
P38_BURKE_Tony_10_30,BURKE_Tony,P38_BURKE_Tony,"25 Mar 16",2016-03-25,77.21,P38_BURKE_Tony.pdf,10
P38_BURKE_Tony_10_31,BURKE_Tony,P38_BURKE_Tony,"15 Apr 16",2016-04-15,13.24,P38_BURKE_Tony.pdf,10
P38_BURKE_Tony_10_32,BURKE_Tony,P38_BURKE_Tony,"9 Jun 16",2016-06-09,50.45,P38_BURKE_Tony.pdf,10
