entry_id,parl_id,source_id,details,start_date,end_date,origin,destination,amount,superscript,adjustment,notes,linked_entry,source_pdf,source_pagenum
P38_CANAVAN_Matthew_10_3,CANAVAN_Matthew,P38_CANAVAN_Matthew,"Townsville to Hughenden 10 Mar 16",2016-03-10,0000-00-00,Townsville,Hughenden,3753.36,,,,,P38_CANAVAN_Matthew.pdf,10
P38_CANAVAN_Matthew_10_4,CANAVAN_Matthew,P38_CANAVAN_Matthew,"Hughenden to Townsville 10 Mar 16",2016-03-10,0000-00-00,Hughenden,Townsville,0.00,,,,P38_CANAVAN_Matthew_10_3,P38_CANAVAN_Matthew.pdf,10
P38_CANAVAN_Matthew_10_5,CANAVAN_Matthew,P38_CANAVAN_Matthew,"Cairns 30 Mar 16 to 1 Apr 16",2016-03-30,2016-04-01,Cairns,,170.21,,,,,P38_CANAVAN_Matthew.pdf,10
P38_CANAVAN_Matthew_10_6,CANAVAN_Matthew,P38_CANAVAN_Matthew,"Cairns to Lakeland 1 Apr 16",2016-04-01,0000-00-00,Cairns,Lakeland,2727.27,,,,,P38_CANAVAN_Matthew.pdf,10
P38_CANAVAN_Matthew_10_7,CANAVAN_Matthew,P38_CANAVAN_Matthew,"Lakeland to Cairns 1 Apr 16",2016-04-01,0000-00-00,Lakeland,Cairns,0.00,,,,P38_CANAVAN_Matthew_10_6,P38_CANAVAN_Matthew.pdf,10
P38_CHESTER_Darren_8_10,CHESTER_Darren,P38_CHESTER_Darren,"Lakes Entrance to Canberra 17 Apr 16",2016-04-17,0000-00-00,"Lakes Entrance",Canberra,2104.32,,,,,P38_CHESTER_Darren.pdf,8
P38_CHESTER_Darren_8_11,CHESTER_Darren,P38_CHESTER_Darren,"Canberra to Lakes Entrance 20 Apr 16",2016-04-20,0000-00-00,Canberra,"Lakes Entrance",0.00,,,,P38_CHESTER_Darren_8_10,P38_CHESTER_Darren.pdf,8
P38_CHESTER_Darren_8_12,CHESTER_Darren,P38_CHESTER_Darren,"Lakes Entrance to Canberra 26 Apr 16",2016-04-26,0000-00-00,"Lakes Entrance",Canberra,2104.32,,,,,P38_CHESTER_Darren.pdf,8
P38_CHESTER_Darren_8_3,CHESTER_Darren,P38_CHESTER_Darren,"Lakes Entrance to Canberra 7 Mar 16",2016-03-07,0000-00-00,"Lakes Entrance",Canberra,4208.64,,,,,P38_CHESTER_Darren.pdf,8
P38_CHESTER_Darren_8_4,CHESTER_Darren,P38_CHESTER_Darren,"Canberra to Lakes Entrance 9 Mar 16",2016-03-09,0000-00-00,Canberra,"Lakes Entrance",0.00,,,,P38_CHESTER_Darren_8_3,P38_CHESTER_Darren.pdf,8
P38_CHESTER_Darren_8_5,CHESTER_Darren,P38_CHESTER_Darren,"Lakes Entrance to Canberra 14 Mar 16",2016-03-14,0000-00-00,"Lakes Entrance",Canberra,4208.64,,,,,P38_CHESTER_Darren.pdf,8
P38_CHESTER_Darren_8_6,CHESTER_Darren,P38_CHESTER_Darren,"Canberra to Lakes Entrance 18 Mar 16",2016-03-18,0000-00-00,Canberra,"Lakes Entrance",0.00,,,,P38_CHESTER_Darren_8_5,P38_CHESTER_Darren.pdf,8
