entry_id,parl_id,source_id,details,start_date,end_date,origin,destination,amount,superscript,adjustment,notes,linked_entry,source_pdf,source_pagenum
P33_ABETZ_Eric_32_3,ABETZ_Eric,P33_ABETZ_Eric,"King Island 7 Jun 13",2013-06-07,0000-00-00,"King Island",,104.36,,,,,P33_ABETZ_Eric.pdf,32
P33_ABETZ_Eric_32_4,ABETZ_Eric,P33_ABETZ_Eric,"Melbourne to King Island 7 Jun 13",2013-06-07,0000-00-00,Melbourne,"King Island",5818.18,,,,,P33_ABETZ_Eric.pdf,32
P33_ABETZ_Eric_32_5,ABETZ_Eric,P33_ABETZ_Eric,"King Island to Hobart 7 Jun 13",2013-06-07,0000-00-00,"King Island",Hobart,0.00,,,,P33_ABETZ_Eric_32_4,P33_ABETZ_Eric.pdf,32
P33_BURKE_Tony_29_3,BURKE_Tony,P33_BURKE_Tony,"Cairns to Lockhart River 27 Feb 13",2013-02-27,0000-00-00,Cairns,"Lockhart River",-1405.46,,Y,,,P33_BURKE_Tony.pdf,29
P33_BURKE_Tony_29_4,BURKE_Tony,P33_BURKE_Tony,"Lockhart River to Weipa 27 Feb 13",2013-02-27,0000-00-00,"Lockhart River",Weipa,0.00,,Y,,P33_BURKE_Tony_29_3,P33_BURKE_Tony.pdf,29
P33_BURKE_Tony_29_5,BURKE_Tony,P33_BURKE_Tony,"Weipa to Laura 28 Feb 13",2013-02-28,0000-00-00,Weipa,Laura,0.00,,Y,,P33_BURKE_Tony_29_3,P33_BURKE_Tony.pdf,29
P33_BURKE_Tony_29_6,BURKE_Tony,P33_BURKE_Tony,"Laura 28 Feb 13",2013-02-28,0000-00-00,Laura,,0.00,,Y,,P33_BURKE_Tony_29_3,P33_BURKE_Tony.pdf,29
P33_BURKE_Tony_29_7,BURKE_Tony,P33_BURKE_Tony,"Laura to Cairns 28 Feb 13",2013-02-28,0000-00-00,Laura,Cairns,0.00,,Y,,P33_BURKE_Tony_29_3,P33_BURKE_Tony.pdf,29
P33_FERGUSON_Martin_24_3,FERGUSON_Martin,P33_FERGUSON_Martin,"Ceduna to Adelaide 8 Sep 12",2012-09-08,0000-00-00,Ceduna,Adelaide,-366.15,,Y,,,P33_FERGUSON_Martin.pdf,24
P33_GRAY_Gary_27_3,GRAY_Gary,P33_GRAY_Gary,"Kununurra 24 May to 25 May 13",2013-05-24,2013-05-25,Kununurra,,7909.09,,,,,P33_GRAY_Gary.pdf,27
P33_GRAY_Gary_27_4,GRAY_Gary,P33_GRAY_Gary,"Onslow to Karratha 16 Jun 13",2013-06-16,0000-00-00,Onslow,Karratha,6272.73,,,,,P33_GRAY_Gary.pdf,27
P33_GRAY_Gary_27_5,GRAY_Gary,P33_GRAY_Gary,"Onslow to Karratha 16 Jun 13",2013-06-16,0000-00-00,Onslow,Karratha,-2090.91,,Y,,,P33_GRAY_Gary.pdf,27
P33_GRAY_Gary_9_10,GRAY_Gary,P33_GRAY_Gary,"Gladstone to Canberra 25 Jul 13",2013-07-25,0000-00-00,Gladstone,Canberra,0.00,,,,,P33_GRAY_Gary.pdf,9
P33_GRAY_Gary_9_3,GRAY_Gary,P33_GRAY_Gary,"Melbourne Essendon Airport to Latrobe 3 Jul 13",2013-07-03,0000-00-00,"Melbourne Essendon Airport",Latrobe,11900.00,,,,,P33_GRAY_Gary.pdf,9
P33_GRAY_Gary_9_4,GRAY_Gary,P33_GRAY_Gary,"Latrobe to Warrnambool 3 Jul 13",2013-07-03,0000-00-00,Latrobe,Warrnambool,0.00,,,,P33_GRAY_Gary_9_3,P33_GRAY_Gary.pdf,9
P33_GRAY_Gary_9_5,GRAY_Gary,P33_GRAY_Gary,"Warrnambool to Melbourne Essendon Airport 3 Jul 13",2013-07-03,0000-00-00,Warrnambool,"Melbourne Essendon Airport",0.00,,,,P33_GRAY_Gary_9_3,P33_GRAY_Gary.pdf,9
P33_GRAY_Gary_9_6,GRAY_Gary,P33_GRAY_Gary,"Adelaide to Bannockburn 23 Jul 13",2013-07-23,0000-00-00,Adelaide,Bannockburn,18100.00,,,,,P33_GRAY_Gary.pdf,9
P33_GRAY_Gary_9_7,GRAY_Gary,P33_GRAY_Gary,"Bannockburn to Brisbane 23 Jul 13",2013-07-23,0000-00-00,Bannockburn,Brisbane,0.00,,,,P33_GRAY_Gary_9_6,P33_GRAY_Gary.pdf,9
P33_GRAY_Gary_9_8,GRAY_Gary,P33_GRAY_Gary,"Brisbane to Dalby 25 Jul 13",2013-07-25,0000-00-00,Brisbane,Dalby,24770.00,,,,,P33_GRAY_Gary.pdf,9
P33_GRAY_Gary_9_9,GRAY_Gary,P33_GRAY_Gary,"Dalby to Gladstone 25 Jul 13",2013-07-25,0000-00-00,Dalby,Gladstone,0.00,,,,P33_GRAY_Gary_9_8,P33_GRAY_Gary.pdf,9
P33_HARTSUYKER_Luke_9_3,HARTSUYKER_Luke,P33_HARTSUYKER_Luke,"Sydney to Coffs Harbour 9 Nov 13",2013-11-09,0000-00-00,Sydney,"Coffs Harbour",6110.00,,,,,P33_HARTSUYKER_Luke.pdf,9
P33_HUNT_Greg_8_3,HUNT_Greg,P33_HUNT_Greg,"Gladstone to Bowen 30 Oct 13",2013-10-30,0000-00-00,Gladstone,Bowen,11950.00,,,,,P33_HUNT_Greg.pdf,8
P33_HUNT_Greg_8_4,HUNT_Greg,P33_HUNT_Greg,"Bowen to Cairns 30 Oct 13",2013-10-30,0000-00-00,Bowen,Cairns,0.00,,,,P33_HUNT_Greg_8_3,P33_HUNT_Greg.pdf,8
P33_KING_Catherine_23_3,KING_Catherine,P33_KING_Catherine,"Ballarat to Warrnambool 24 May 13",2013-05-24,0000-00-00,Ballarat,Warrnambool,2750.00,,,,,P33_KING_Catherine.pdf,23
