entry_id,parl_id,source_id,details,origin,destination,date,amount,balance_of_payment,source_pdf,source_pagenum
P33_ALEXANDER_John_16_10,ALEXANDER_John,P33_ALEXANDER_John,"Canberra to Sydney - 28 Jun 13",Canberra,Sydney,2013-06-28,116.60,,P33_ALEXANDER_John.pdf,16
P33_ALEXANDER_John_16_3,ALEXANDER_John,P33_ALEXANDER_John,"Sydney to Canberra - 26 May 13",Sydney,Canberra,2013-05-26,116.60,,P33_ALEXANDER_John.pdf,16
P33_ALEXANDER_John_16_4,ALEXANDER_John,P33_ALEXANDER_John,"Canberra to Sydney - 30 May 13",Canberra,Sydney,2013-05-30,116.60,,P33_ALEXANDER_John.pdf,16
P33_ALEXANDER_John_16_5,ALEXANDER_John,P33_ALEXANDER_John,"Sydney to Canberra - 2 Jun 13",Sydney,Canberra,2013-06-02,116.60,,P33_ALEXANDER_John.pdf,16
P33_ALEXANDER_John_16_6,ALEXANDER_John,P33_ALEXANDER_John,"Canberra to Sydney - 6 Jun 13",Canberra,Sydney,2013-06-06,116.60,,P33_ALEXANDER_John.pdf,16
P33_ALEXANDER_John_16_7,ALEXANDER_John,P33_ALEXANDER_John,"Sydney to Canberra - 16 Jun 13",Sydney,Canberra,2013-06-16,116.60,,P33_ALEXANDER_John.pdf,16
P33_ALEXANDER_John_16_8,ALEXANDER_John,P33_ALEXANDER_John,"Canberra to Sydney - 20 Jun 13",Canberra,Sydney,2013-06-20,116.60,,P33_ALEXANDER_John.pdf,16
P33_ALEXANDER_John_16_9,ALEXANDER_John,P33_ALEXANDER_John,"Sydney to Canberra - 23 Jun 13",Sydney,Canberra,2013-06-23,116.60,,P33_ALEXANDER_John.pdf,16
P33_ALEXANDER_John_6_10,ALEXANDER_John,P33_ALEXANDER_John,"Canberra to Sydney - 5 Dec 13",Canberra,Sydney,2013-12-05,216.60,,P33_ALEXANDER_John.pdf,6
P33_ALEXANDER_John_6_11,ALEXANDER_John,P33_ALEXANDER_John,"Sydney to Canberra - 8 Dec 13",Sydney,Canberra,2013-12-08,216.60,,P33_ALEXANDER_John.pdf,6
P33_ALEXANDER_John_6_12,ALEXANDER_John,P33_ALEXANDER_John,"Canberra to Sydney - 12 Dec 13",Canberra,Sydney,2013-12-12,216.60,,P33_ALEXANDER_John.pdf,6
P33_ALEXANDER_John_6_3,ALEXANDER_John,P33_ALEXANDER_John,"Sydney to Canberra - 24 Oct 13",Sydney,Canberra,2013-10-24,216.60,,P33_ALEXANDER_John.pdf,6
P33_ALEXANDER_John_6_4,ALEXANDER_John,P33_ALEXANDER_John,"Canberra to Sydney - 24 Oct 13",Canberra,Sydney,2013-10-24,216.60,,P33_ALEXANDER_John.pdf,6
P33_ALEXANDER_John_6_5,ALEXANDER_John,P33_ALEXANDER_John,"Sydney to Canberra - 11 Nov 13",Sydney,Canberra,2013-11-11,216.60,,P33_ALEXANDER_John.pdf,6
P33_ALEXANDER_John_6_6,ALEXANDER_John,P33_ALEXANDER_John,"Canberra to Sydney - 14 Nov 13",Canberra,Sydney,2013-11-14,216.60,,P33_ALEXANDER_John.pdf,6
P33_ALEXANDER_John_6_7,ALEXANDER_John,P33_ALEXANDER_John,"Sydney to Canberra - 17 Nov 13",Sydney,Canberra,2013-11-17,216.60,,P33_ALEXANDER_John.pdf,6
P33_ALEXANDER_John_6_8,ALEXANDER_John,P33_ALEXANDER_John,"Canberra to Sydney - 21 Nov 13",Canberra,Sydney,2013-11-21,216.60,,P33_ALEXANDER_John.pdf,6
P33_ALEXANDER_John_6_9,ALEXANDER_John,P33_ALEXANDER_John,"Sydney to Canberra - 1 Dec 13",Sydney,Canberra,2013-12-01,216.60,,P33_ALEXANDER_John.pdf,6
P33_BROUGH_Mal_7_10,BROUGH_Mal,P33_BROUGH_Mal,"Sunshine Coast to Maitland - 13 Oct 13","Sunshine Coast",Maitland,2013-10-13,665.25,,P33_BROUGH_Mal.pdf,7
P33_BROUGH_Mal_7_11,BROUGH_Mal,P33_BROUGH_Mal,"Maitland to Canberra - 14 Oct 13",Maitland,Canberra,2013-10-14,333.75,,P33_BROUGH_Mal.pdf,7
P33_BUSHBY_David_8_31,BUSHBY_David,P33_BUSHBY_David,"Melbourne to Canberra - 12 Sep 13",Melbourne,Canberra,2013-09-12,515.28,,P33_BUSHBY_David.pdf,8
P33_CLAYDON_Sharon_7_3,CLAYDON_Sharon,P33_CLAYDON_Sharon,"Newcastle to Canberra - 12 Sep 13",Newcastle,Canberra,2013-09-12,330.75,,P33_CLAYDON_Sharon.pdf,7
P33_CLAYDON_Sharon_7_4,CLAYDON_Sharon,P33_CLAYDON_Sharon,"Canberra to Newcastle - 13 Sep 13",Canberra,Newcastle,2013-09-13,330.75,,P33_CLAYDON_Sharon.pdf,7
P33_CLAYDON_Sharon_7_5,CLAYDON_Sharon,P33_CLAYDON_Sharon,"Newcastle to Canberra - 10 Oct 13",Newcastle,Canberra,2013-10-10,339.00,,P33_CLAYDON_Sharon.pdf,7
P33_CLAYDON_Sharon_7_6,CLAYDON_Sharon,P33_CLAYDON_Sharon,"Canberra to Newcastle - 16 Oct 13",Canberra,Newcastle,2013-10-16,339.00,,P33_CLAYDON_Sharon.pdf,7
P33_COLEMAN_David_7_3,COLEMAN_David,P33_COLEMAN_David,"Canberra to Sydney - 18 Dec 13",Canberra,Sydney,2013-12-18,213.00,,P33_COLEMAN_David.pdf,7
P33_COLEMAN_David_7_4,COLEMAN_David,P33_COLEMAN_David,"Sydney to Canberra - 18 Dec 13",Sydney,Canberra,2013-12-18,213.00,,P33_COLEMAN_David.pdf,7
P33_FERGUSON_Martin_25_8,FERGUSON_Martin,P33_FERGUSON_Martin,"Melbourne to Canberra - 23 Jun 13",Melbourne,Canberra,2013-06-23,410.13,,P33_FERGUSON_Martin.pdf,25
P33_GALLACHER_Alex_7_23,GALLACHER_Alex,P33_GALLACHER_Alex,"Canberra to Adelaide - 13 Dec 13",Canberra,Adelaide,2013-12-13,828.90,,P33_GALLACHER_Alex.pdf,7
P33_HALL_Jill_20_3,HALL_Jill,P33_HALL_Jill,"Belmont to Canberra - 16 Jun 13",Belmont,Canberra,2013-06-16,315.00,,P33_HALL_Jill.pdf,20
P33_HALL_Jill_20_4,HALL_Jill,P33_HALL_Jill,"Canberra to Belmont - 28 Jun 13",Canberra,Belmont,2013-06-28,315.00,,P33_HALL_Jill.pdf,20
P33_HALL_Jill_9_10,HALL_Jill,P33_HALL_Jill,"Canberra to Belmont - 13 Dec 13",Canberra,Belmont,2013-12-13,315.00,,P33_HALL_Jill.pdf,9
P33_HALL_Jill_9_3,HALL_Jill,P33_HALL_Jill,"Belmont to Canberra - 12 Sep 13",Belmont,Canberra,2013-09-12,318.75,,P33_HALL_Jill.pdf,9
P33_HALL_Jill_9_4,HALL_Jill,P33_HALL_Jill,"Canberra to Belmont - 14 Sep 13",Canberra,Belmont,2013-09-14,318.75,,P33_HALL_Jill.pdf,9
P33_HALL_Jill_9_5,HALL_Jill,P33_HALL_Jill,"Belmont to Canberra - 9 Oct 13",Belmont,Canberra,2013-10-09,315.00,,P33_HALL_Jill.pdf,9
P33_HALL_Jill_9_6,HALL_Jill,P33_HALL_Jill,"Canberra to Belmont - 15 Oct 13",Canberra,Belmont,2013-10-15,315.00,,P33_HALL_Jill.pdf,9
P33_HALL_Jill_9_7,HALL_Jill,P33_HALL_Jill,"Belmont to Canberra - 11 Nov 13",Belmont,Canberra,2013-11-11,315.00,,P33_HALL_Jill.pdf,9
P33_HALL_Jill_9_8,HALL_Jill,P33_HALL_Jill,"Canberra to Belmont - 22 Nov 13",Canberra,Belmont,2013-11-22,315.00,,P33_HALL_Jill.pdf,9
P33_HALL_Jill_9_9,HALL_Jill,P33_HALL_Jill,"Belmont to Canberra - 8 Dec 13",Belmont,Canberra,2013-12-08,315.00,,P33_HALL_Jill.pdf,9
P33_KELLY_Craig_15_3,KELLY_Craig,P33_KELLY_Craig,"Sydney to Canberra - 16 Jun 13",Sydney,Canberra,2013-06-16,113.28,,P33_KELLY_Craig.pdf,15
P33_KELLY_Craig_15_4,KELLY_Craig,P33_KELLY_Craig,"Canberra to Sydney - 20 Jun 13",Canberra,Sydney,2013-06-20,113.28,,P33_KELLY_Craig.pdf,15
P33_KELLY_Craig_15_5,KELLY_Craig,P33_KELLY_Craig,"Sydney to Canberra - 23 Jun 13",Sydney,Canberra,2013-06-23,113.28,,P33_KELLY_Craig.pdf,15
P33_KELLY_Craig_15_6,KELLY_Craig,P33_KELLY_Craig,"Canberra to Sydney - 28 Jun 13",Canberra,Sydney,2013-06-28,113.28,,P33_KELLY_Craig.pdf,15
P33_KELLY_Craig_6_3,KELLY_Craig,P33_KELLY_Craig,"Sutherland to Canberra - 11 Nov 13",Sutherland,Canberra,2013-11-11,212.04,,P33_KELLY_Craig.pdf,6
P33_KELLY_Craig_6_4,KELLY_Craig,P33_KELLY_Craig,"Canberra to Sutherland - 15 Nov 13",Canberra,Sutherland,2013-11-15,212.04,,P33_KELLY_Craig.pdf,6
P33_KELLY_Craig_6_5,KELLY_Craig,P33_KELLY_Craig,"Sydney to Canberra - 17 Nov 13",Sydney,Canberra,2013-11-17,211.28,,P33_KELLY_Craig.pdf,6
P33_KELLY_Craig_6_6,KELLY_Craig,P33_KELLY_Craig,"Canberra to Sydney - 21 Nov 13",Canberra,Sydney,2013-11-21,211.28,,P33_KELLY_Craig.pdf,6
P33_KELLY_Craig_6_7,KELLY_Craig,P33_KELLY_Craig,"Sydney to Canberra - 8 Dec 13",Sydney,Canberra,2013-12-08,211.28,,P33_KELLY_Craig.pdf,6
P33_KELLY_Craig_6_8,KELLY_Craig,P33_KELLY_Craig,"Canberra to Sydney - 13 Dec 13",Canberra,Sydney,2013-12-13,211.28,,P33_KELLY_Craig.pdf,6
P33_LUDWIG_Joe_7_3,LUDWIG_Joe,P33_LUDWIG_Joe,"Brisbane to Canberra - 17 Jul 13",Brisbane,Canberra,2013-07-17,706.02,,P33_LUDWIG_Joe.pdf,7
