entry_id,parl_id,source_id,details,location,date,amount,source_pdf,source_pagenum
P33_ABBOTT_Tony_12_16,ABBOTT_Tony,P33_ABBOTT_Tony,"1 Jul 13 - Canberra",Canberra,2013-07-01,124.45,P33_ABBOTT_Tony.pdf,12
P33_ABBOTT_Tony_12_17,ABBOTT_Tony,P33_ABBOTT_Tony,"1 Jul 13 - Sydney",Sydney,2013-07-01,371.37,P33_ABBOTT_Tony.pdf,12
P33_ABBOTT_Tony_12_18,ABBOTT_Tony,P33_ABBOTT_Tony,"1 Jul 13 - Melbourne",Melbourne,2013-07-01,90.39,P33_ABBOTT_Tony.pdf,12
P33_ABBOTT_Tony_12_19,ABBOTT_Tony,P33_ABBOTT_Tony,"1 Jul 13 - Melbourne",Melbourne,2013-07-01,40.00,P33_ABBOTT_Tony.pdf,12
P33_ABBOTT_Tony_12_20,ABBOTT_Tony,P33_ABBOTT_Tony,"2 Jul 13 - Melbourne",Melbourne,2013-07-02,307.85,P33_ABBOTT_Tony.pdf,12
P33_ABBOTT_Tony_12_21,ABBOTT_Tony,P33_ABBOTT_Tony,"2 Jul 13 - Melbourne",Melbourne,2013-07-02,58.95,P33_ABBOTT_Tony.pdf,12
P33_ABBOTT_Tony_12_22,ABBOTT_Tony,P33_ABBOTT_Tony,"2 Jul 13 - Melbourne",Melbourne,2013-07-02,68.88,P33_ABBOTT_Tony.pdf,12
P33_ABBOTT_Tony_12_23,ABBOTT_Tony,P33_ABBOTT_Tony,"2 Jul 13 - Sydney",Sydney,2013-07-02,228.10,P33_ABBOTT_Tony.pdf,12
P33_ABBOTT_Tony_12_24,ABBOTT_Tony,P33_ABBOTT_Tony,"2 Jul 13 - Sydney",Sydney,2013-07-02,48.50,P33_ABBOTT_Tony.pdf,12
P33_ABBOTT_Tony_12_25,ABBOTT_Tony,P33_ABBOTT_Tony,"2 Jul 13 - Sydney",Sydney,2013-07-02,177.55,P33_ABBOTT_Tony.pdf,12
P33_ABBOTT_Tony_12_26,ABBOTT_Tony,P33_ABBOTT_Tony,"3 Jul 13 - Sydney",Sydney,2013-07-03,75.65,P33_ABBOTT_Tony.pdf,12
