entry_id,parl_id,source_id,details,flight_date,origin,destination,amount,superscript,adjustment,notes,linked_entry,source_pdf,source_pagenum
P33_ABBOTT_Tony_11_10,ABBOTT_Tony,P33_ABBOTT_Tony,"12 Jul 13 - Brisbane to Melbourne",2013-07-12,Brisbane,Melbourne,917.34,,,,,P33_ABBOTT_Tony.pdf,11
P33_ABBOTT_Tony_11_11,ABBOTT_Tony,P33_ABBOTT_Tony,"13 Jul 13 - Melbourne to Sydney",2013-07-13,Melbourne,Sydney,600.55,,,,,P33_ABBOTT_Tony.pdf,11
P33_ABBOTT_Tony_11_12,ABBOTT_Tony,P33_ABBOTT_Tony,"16 Jul 13 - Sydney to Launceston",2013-07-16,Sydney,Launceston,325.99,,,,,P33_ABBOTT_Tony.pdf,11
P33_ABBOTT_Tony_11_13,ABBOTT_Tony,P33_ABBOTT_Tony,"17 Jul 13 - Brisbane to Mackay",2013-07-17,Brisbane,Mackay,442.22,,,,,P33_ABBOTT_Tony.pdf,11
P33_ABBOTT_Tony_11_14,ABBOTT_Tony,P33_ABBOTT_Tony,"17 Jul 13 - Mackay to Sydney",2013-07-17,Mackay,Sydney,514.63,,,,,P33_ABBOTT_Tony.pdf,11
P33_ABBOTT_Tony_11_15,ABBOTT_Tony,P33_ABBOTT_Tony,"20 Jul 13 - Brisbane to Melbourne",2013-07-20,Brisbane,Melbourne,631.33,,,,,P33_ABBOTT_Tony.pdf,11
P33_ABBOTT_Tony_11_16,ABBOTT_Tony,P33_ABBOTT_Tony,"23 Jul 13 - Melbourne to Canberra",2013-07-23,Melbourne,Canberra,520.05,,,,,P33_ABBOTT_Tony.pdf,11
P33_ABBOTT_Tony_11_17,ABBOTT_Tony,P33_ABBOTT_Tony,"23 Jul 13 - Canberra to Brisbane",2013-07-23,Canberra,Brisbane,398.88,,,,,P33_ABBOTT_Tony.pdf,11
P33_ABBOTT_Tony_11_18,ABBOTT_Tony,P33_ABBOTT_Tony,"25 Jul 13 - Brisbane to Launceston",2013-07-25,Brisbane,Launceston,461.82,,,,,P33_ABBOTT_Tony.pdf,11
P33_ABBOTT_Tony_11_19,ABBOTT_Tony,P33_ABBOTT_Tony,"26 Jul 13 - Launceston to Melbourne",2013-07-26,Launceston,Melbourne,921.83,,,,,P33_ABBOTT_Tony.pdf,11
P33_ABBOTT_Tony_11_20,ABBOTT_Tony,P33_ABBOTT_Tony,"26 Jul 13 - Melbourne to Sydney",2013-07-26,Melbourne,Sydney,0.00,,,,P33_ABBOTT_Tony_11_19,P33_ABBOTT_Tony.pdf,11
P33_ABBOTT_Tony_11_21,ABBOTT_Tony,P33_ABBOTT_Tony,"29 Jul 13 - Sydney to Melbourne",2013-07-29,Sydney,Melbourne,497.58,,,,,P33_ABBOTT_Tony.pdf,11
P33_ABBOTT_Tony_11_22,ABBOTT_Tony,P33_ABBOTT_Tony,"31 Jul 13 - Melbourne to Sydney",2013-07-31,Melbourne,Sydney,600.55,,,,,P33_ABBOTT_Tony.pdf,11
P33_ABBOTT_Tony_11_23,ABBOTT_Tony,P33_ABBOTT_Tony,"1 Aug 13 - Sydney to Melbourne",2013-08-01,Sydney,Melbourne,600.55,,,,,P33_ABBOTT_Tony.pdf,11
P33_ABBOTT_Tony_11_24,ABBOTT_Tony,P33_ABBOTT_Tony,"3 Aug 13 - Melbourne to Sydney",2013-08-03,Melbourne,Sydney,600.55,,,,,P33_ABBOTT_Tony.pdf,11
P33_ABBOTT_Tony_11_3,ABBOTT_Tony,P33_ABBOTT_Tony,"1 Jul 13 - Canberra to Sydney",2013-07-01,Canberra,Sydney,252.16,,,,,P33_ABBOTT_Tony.pdf,11
P33_ABBOTT_Tony_11_4,ABBOTT_Tony,P33_ABBOTT_Tony,"1 Jul 13 - Sydney to Melbourne",2013-07-01,Sydney,Melbourne,600.50,,,,,P33_ABBOTT_Tony.pdf,11
P33_ABBOTT_Tony_11_5,ABBOTT_Tony,P33_ABBOTT_Tony,"2 Jul 13 - Melbourne to Sydney",2013-07-02,Melbourne,Sydney,600.50,,,,,P33_ABBOTT_Tony.pdf,11
P33_ABBOTT_Tony_11_6,ABBOTT_Tony,P33_ABBOTT_Tony,"3 Jul 13 - Sydney to Perth",2013-07-03,Sydney,Perth,1470.78,,,,,P33_ABBOTT_Tony.pdf,11
P33_ABBOTT_Tony_11_7,ABBOTT_Tony,P33_ABBOTT_Tony,"4 Jul 13 - Perth to Sydney",2013-07-04,Perth,Sydney,1470.78,,,,,P33_ABBOTT_Tony.pdf,11
P33_ABBOTT_Tony_11_8,ABBOTT_Tony,P33_ABBOTT_Tony,"9 Jul 13 - Sydney to Melbourne",2013-07-09,Sydney,Melbourne,497.58,,,,,P33_ABBOTT_Tony.pdf,11
P33_ABBOTT_Tony_11_9,ABBOTT_Tony,P33_ABBOTT_Tony,"11 Jul 13 - Melbourne to Brisbane",2013-07-11,Melbourne,Brisbane,917.34,,,,,P33_ABBOTT_Tony.pdf,11
P33_ABBOTT_Tony_39_3,ABBOTT_Tony,P33_ABBOTT_Tony,"10 Jun 06 - Sydney to Albury",2006-06-10,Sydney,Albury,-583.51,4,,,,P33_ABBOTT_Tony.pdf,39
P33_ABBOTT_Tony_39_4,ABBOTT_Tony,P33_ABBOTT_Tony,"11 Jun 06 - Albury to Sydney",2006-06-11,Albury,Sydney,0.00,4,,,P33_ABBOTT_Tony_39_3,P33_ABBOTT_Tony.pdf,39
P33_ABBOTT_Tony_39_5,ABBOTT_Tony,P33_ABBOTT_Tony,"16 Jun 13 - Adelaide to Sydney",2013-06-16,Adelaide,Sydney,761.31,,,,,P33_ABBOTT_Tony.pdf,39
P33_ABBOTT_Tony_39_6,ABBOTT_Tony,P33_ABBOTT_Tony,"17 Jun 13 - Sydney to Canberra",2013-06-17,Sydney,Canberra,251.53,,,,,P33_ABBOTT_Tony.pdf,39
P33_ABBOTT_Tony_39_7,ABBOTT_Tony,P33_ABBOTT_Tony,"28 Jun 13 - Canberra to Melbourne",2013-06-28,Canberra,Melbourne,420.17,,,,,P33_ABBOTT_Tony.pdf,39
P33_ABBOTT_Tony_39_8,ABBOTT_Tony,P33_ABBOTT_Tony,"30 Jun 13 - Melbourne to Canberra",2013-06-30,Melbourne,Canberra,427.17,,,,,P33_ABBOTT_Tony.pdf,39
P33_ABETZ_Eric_10_10,ABETZ_Eric,P33_ABETZ_Eric,"26 Nov 13 - Melbourne to Hobart",2013-11-26,Melbourne,Hobart,0.00,,,,,P33_ABETZ_Eric.pdf,10
P33_ABETZ_Eric_10_11,ABETZ_Eric,P33_ABETZ_Eric,"1 Dec 13 - Hobart to Melbourne",2013-12-01,Hobart,Melbourne,686.39,,,,,P33_ABETZ_Eric.pdf,10
P33_ABETZ_Eric_10_12,ABETZ_Eric,P33_ABETZ_Eric,"1 Dec 13 - Melbourne to Canberra",2013-12-01,Melbourne,Canberra,0.00,,,,P33_ABETZ_Eric_10_11,P33_ABETZ_Eric.pdf,10
P33_ABETZ_Eric_10_13,ABETZ_Eric,P33_ABETZ_Eric,"6 Dec 13 - Canberra to Melbourne",2013-12-06,Canberra,Melbourne,647.59,,,,,P33_ABETZ_Eric.pdf,10
P33_ABETZ_Eric_10_14,ABETZ_Eric,P33_ABETZ_Eric,"6 Dec 13 - Melbourne to Hobart",2013-12-06,Melbourne,Hobart,0.00,,,,P33_ABETZ_Eric_10_13,P33_ABETZ_Eric.pdf,10
P33_ABETZ_Eric_10_15,ABETZ_Eric,P33_ABETZ_Eric,"6 Dec 13 - Melbourne to Hobart",2013-12-06,Melbourne,Hobart,325.69,,,,,P33_ABETZ_Eric.pdf,10
P33_ABETZ_Eric_10_16,ABETZ_Eric,P33_ABETZ_Eric,"8 Dec 13 - Hobart to Melbourne",2013-12-08,Hobart,Melbourne,686.39,,,,,P33_ABETZ_Eric.pdf,10
P33_ABETZ_Eric_10_17,ABETZ_Eric,P33_ABETZ_Eric,"8 Dec 13 - Melbourne to Canberra",2013-12-08,Melbourne,Canberra,0.00,,,,P33_ABETZ_Eric_10_16,P33_ABETZ_Eric.pdf,10
P33_ABETZ_Eric_10_18,ABETZ_Eric,P33_ABETZ_Eric,"13 Dec 13 - Canberra to Melbourne",2013-12-13,Canberra,Melbourne,647.59,,,,,P33_ABETZ_Eric.pdf,10
P33_ABETZ_Eric_10_19,ABETZ_Eric,P33_ABETZ_Eric,"13 Dec 13 - Melbourne to Hobart",2013-12-13,Melbourne,Hobart,0.00,,,,P33_ABETZ_Eric_10_18,P33_ABETZ_Eric.pdf,10
P33_ABETZ_Eric_10_3,ABETZ_Eric,P33_ABETZ_Eric,"17 Nov 13 - Melbourne to Canberra",2013-11-17,Melbourne,Canberra,0.00,,,,,P33_ABETZ_Eric.pdf,10
P33_ABETZ_Eric_10_4,ABETZ_Eric,P33_ABETZ_Eric,"22 Nov 13 - Canberra to Sydney",2013-11-22,Canberra,Sydney,418.38,,,,,P33_ABETZ_Eric.pdf,10
P33_ABETZ_Eric_10_5,ABETZ_Eric,P33_ABETZ_Eric,"22 Nov 13 - Sydney to Melbourne",2013-11-22,Sydney,Melbourne,920.71,,,,,P33_ABETZ_Eric.pdf,10
P33_ABETZ_Eric_10_6,ABETZ_Eric,P33_ABETZ_Eric,"22 Nov 13 - Melbourne to Hobart",2013-11-22,Melbourne,Hobart,0.00,,,,P33_ABETZ_Eric_10_5,P33_ABETZ_Eric.pdf,10
P33_ABETZ_Eric_10_7,ABETZ_Eric,P33_ABETZ_Eric,"24 Nov 13 - Hobart to Melbourne",2013-11-24,Hobart,Melbourne,559.56,,,,,P33_ABETZ_Eric.pdf,10
P33_ABETZ_Eric_10_8,ABETZ_Eric,P33_ABETZ_Eric,"24 Nov 13 - Melbourne to Canberra",2013-11-24,Melbourne,Canberra,531.64,,,,,P33_ABETZ_Eric.pdf,10
P33_ABETZ_Eric_10_9,ABETZ_Eric,P33_ABETZ_Eric,"26 Nov 13 - Canberra to Melbourne",2013-11-26,Canberra,Melbourne,647.59,,,,,P33_ABETZ_Eric.pdf,10
P33_ABETZ_Eric_31_10,ABETZ_Eric,P33_ABETZ_Eric,"21 Jun 13 - Hobart to Melbourne",2013-06-21,Hobart,Melbourne,325.01,,,,,P33_ABETZ_Eric.pdf,31
P33_ABETZ_Eric_31_11,ABETZ_Eric,P33_ABETZ_Eric,"21 Jun 13 - Melbourne to Hobart",2013-06-21,Melbourne,Hobart,422.81,,,,,P33_ABETZ_Eric.pdf,31
P33_ABETZ_Eric_31_3,ABETZ_Eric,P33_ABETZ_Eric,"8 May 13 - Sydney to Brisbane",2013-05-08,Sydney,Brisbane,-648.96,,,Refund,,P33_ABETZ_Eric.pdf,31
P33_ABETZ_Eric_31_4,ABETZ_Eric,P33_ABETZ_Eric,"15 Jun 13 - Hobart to Sydney",2013-06-15,Hobart,Sydney,469.73,,,,,P33_ABETZ_Eric.pdf,31
P33_ABETZ_Eric_31_5,ABETZ_Eric,P33_ABETZ_Eric,"16 Jun 13 - Sydney to Hobart",2013-06-16,Sydney,Hobart,258.64,,,,,P33_ABETZ_Eric.pdf,31
P33_ABETZ_Eric_31_6,ABETZ_Eric,P33_ABETZ_Eric,"16 Jun 13 - Hobart to Melbourne",2013-06-16,Hobart,Melbourne,678.54,,,,,P33_ABETZ_Eric.pdf,31
P33_ABETZ_Eric_31_7,ABETZ_Eric,P33_ABETZ_Eric,"16 Jun 13 - Melbourne to Sydney",2013-06-16,Melbourne,Sydney,0.00,,,,P33_ABETZ_Eric_31_6,P33_ABETZ_Eric.pdf,31
P33_ABETZ_Eric_31_8,ABETZ_Eric,P33_ABETZ_Eric,"20 Jun 13 - Canberra to Melbourne",2013-06-20,Canberra,Melbourne,634.22,,,,,P33_ABETZ_Eric.pdf,31
P33_ABETZ_Eric_31_9,ABETZ_Eric,P33_ABETZ_Eric,"20 Jun 13 - Melbourne to Hobart",2013-06-20,Melbourne,Hobart,0.00,,,,P33_ABETZ_Eric_31_8,P33_ABETZ_Eric.pdf,31
P33_ABETZ_Eric_7_10,ABETZ_Eric,P33_ABETZ_Eric,"6 Jul 13 - Hobart to Melbourne",2013-07-06,Hobart,Melbourne,429.81,,,,,P33_ABETZ_Eric.pdf,7
P33_ABETZ_Eric_7_11,ABETZ_Eric,P33_ABETZ_Eric,"7 Jul 13 - Melbourne to Hobart",2013-07-07,Melbourne,Hobart,285.90,,,,,P33_ABETZ_Eric.pdf,7
P33_ABETZ_Eric_7_12,ABETZ_Eric,P33_ABETZ_Eric,"7 Jul 13 - Hobart to Melbourne",2013-07-07,Hobart,Melbourne,972.73,,,,,P33_ABETZ_Eric.pdf,7
P33_ABETZ_Eric_7_13,ABETZ_Eric,P33_ABETZ_Eric,"7 Jul 13 - Melbourne to Brisbane",2013-07-07,Melbourne,Brisbane,0.00,,,,P33_ABETZ_Eric_7_12,P33_ABETZ_Eric.pdf,7
P33_ABETZ_Eric_7_14,ABETZ_Eric,P33_ABETZ_Eric,"9 Jul 13 - Brisbane to Sydney",2013-07-09,Brisbane,Sydney,649.72,,,,,P33_ABETZ_Eric.pdf,7
P33_ABETZ_Eric_7_15,ABETZ_Eric,P33_ABETZ_Eric,"10 Jul 13 - Sydney to Hobart",2013-07-10,Sydney,Hobart,50.00,21,,,,P33_ABETZ_Eric.pdf,7
P33_ABETZ_Eric_7_16,ABETZ_Eric,P33_ABETZ_Eric,"10 Jul 13 - Sydney to Adelaide",2013-07-10,Sydney,Adelaide,590.80,,,,,P33_ABETZ_Eric.pdf,7
P33_ABETZ_Eric_7_17,ABETZ_Eric,P33_ABETZ_Eric,"10 Jul 13 - Adelaide to Melbourne",2013-07-10,Adelaide,Melbourne,891.02,,,,,P33_ABETZ_Eric.pdf,7
P33_ABETZ_Eric_7_18,ABETZ_Eric,P33_ABETZ_Eric,"10 Jul 13 - Melbourne to Hobart",2013-07-10,Melbourne,Hobart,0.00,,,,P33_ABETZ_Eric_7_17,P33_ABETZ_Eric.pdf,7
P33_ABETZ_Eric_7_19,ABETZ_Eric,P33_ABETZ_Eric,"23 Jul 13 - Hobart to Melbourne",2013-07-23,Hobart,Melbourne,678.54,,,,,P33_ABETZ_Eric.pdf,7
P33_ABETZ_Eric_7_20,ABETZ_Eric,P33_ABETZ_Eric,"23 Jul 13 - Melbourne to Sydney",2013-07-23,Melbourne,Sydney,0.00,,,,P33_ABETZ_Eric_7_19,P33_ABETZ_Eric.pdf,7
P33_ABETZ_Eric_7_21,ABETZ_Eric,P33_ABETZ_Eric,"24 Jul 13 - Sydney to Canberra",2013-07-24,Sydney,Canberra,253.60,,,,,P33_ABETZ_Eric.pdf,7
P33_ABETZ_Eric_7_22,ABETZ_Eric,P33_ABETZ_Eric,"25 Jul 13 - Canberra to Melbourne",2013-07-25,Canberra,Melbourne,520.05,,,,,P33_ABETZ_Eric.pdf,7
P33_ABETZ_Eric_7_23,ABETZ_Eric,P33_ABETZ_Eric,"25 Jul 13 - Melbourne to Launceston",2013-07-25,Melbourne,Launceston,268.88,,,,,P33_ABETZ_Eric.pdf,7
P33_ABETZ_Eric_7_24,ABETZ_Eric,P33_ABETZ_Eric,"27 Jul 13 - Hobart to Sydney",2013-07-27,Hobart,Sydney,702.51,,,,,P33_ABETZ_Eric.pdf,7
P33_ABETZ_Eric_7_25,ABETZ_Eric,P33_ABETZ_Eric,"28 Jul 13 - Sydney to Melbourne",2013-07-28,Sydney,Melbourne,555.10,,,,,P33_ABETZ_Eric.pdf,7
P33_ABETZ_Eric_7_26,ABETZ_Eric,P33_ABETZ_Eric,"28 Jul 13 - Melbourne to Hobart",2013-07-28,Melbourne,Hobart,0.00,,,,P33_ABETZ_Eric_7_25,P33_ABETZ_Eric.pdf,7
P33_ABETZ_Eric_7_27,ABETZ_Eric,P33_ABETZ_Eric,"31 Jul 13 - Hobart to Melbourne",2013-07-31,Hobart,Melbourne,325.69,,,,,P33_ABETZ_Eric.pdf,7
P33_ABETZ_Eric_7_28,ABETZ_Eric,P33_ABETZ_Eric,"31 Jul 13 - Melbourne to Sydney",2013-07-31,Melbourne,Sydney,600.55,,,,,P33_ABETZ_Eric.pdf,7
P33_ABETZ_Eric_7_29,ABETZ_Eric,P33_ABETZ_Eric,"1 Aug 13 - Sydney to Melbourne",2013-08-01,Sydney,Melbourne,600.55,,,,,P33_ABETZ_Eric.pdf,7
P33_ABETZ_Eric_7_3,ABETZ_Eric,P33_ABETZ_Eric,"1 Jul 13 - Hobart to Melbourne",2013-07-01,Hobart,Melbourne,678.54,,,,,P33_ABETZ_Eric.pdf,7
P33_ABETZ_Eric_7_30,ABETZ_Eric,P33_ABETZ_Eric,"2 Aug 13 - Melbourne to Hobart",2013-08-02,Melbourne,Hobart,292.73,,,,,P33_ABETZ_Eric.pdf,7
P33_ABETZ_Eric_7_31,ABETZ_Eric,P33_ABETZ_Eric,"2 Aug 13 - Hobart to Melbourne",2013-08-02,Hobart,Melbourne,422.81,,,,,P33_ABETZ_Eric.pdf,7
P33_ABETZ_Eric_7_32,ABETZ_Eric,P33_ABETZ_Eric,"3 Aug 13 - Melbourne to Hobart",2013-08-03,Melbourne,Hobart,285.90,,,,,P33_ABETZ_Eric.pdf,7
P33_ABETZ_Eric_7_33,ABETZ_Eric,P33_ABETZ_Eric,"8 Aug 13 - Hobart to Melbourne",2013-08-08,Hobart,Melbourne,634.22,,,,,P33_ABETZ_Eric.pdf,7
P33_ABETZ_Eric_7_34,ABETZ_Eric,P33_ABETZ_Eric,"8 Aug 13 - Melbourne to Canberra",2013-08-08,Melbourne,Canberra,0.00,,,,P33_ABETZ_Eric_7_33,P33_ABETZ_Eric.pdf,7
P33_ABETZ_Eric_7_35,ABETZ_Eric,P33_ABETZ_Eric,"8 Aug 13 - Canberra to Brisbane",2013-08-08,Canberra,Brisbane,656.02,,,,,P33_ABETZ_Eric.pdf,7
P33_ABETZ_Eric_7_36,ABETZ_Eric,P33_ABETZ_Eric,"9 Aug 13 - Brisbane to Melbourne",2013-08-09,Brisbane,Melbourne,805.94,,,,,P33_ABETZ_Eric.pdf,7
P33_ABETZ_Eric_7_37,ABETZ_Eric,P33_ABETZ_Eric,"9 Aug 13 - Melbourne to Hobart",2013-08-09,Melbourne,Hobart,0.00,,,,P33_ABETZ_Eric_7_36,P33_ABETZ_Eric.pdf,7
P33_ABETZ_Eric_7_38,ABETZ_Eric,P33_ABETZ_Eric,"13 Aug 13 - Hobart to Melbourne",2013-08-13,Hobart,Melbourne,678.54,,,,,P33_ABETZ_Eric.pdf,7
P33_ABETZ_Eric_7_39,ABETZ_Eric,P33_ABETZ_Eric,"13 Aug 13 - Melbourne to Sydney",2013-08-13,Melbourne,Sydney,0.00,,,,P33_ABETZ_Eric_7_38,P33_ABETZ_Eric.pdf,7
P33_ABETZ_Eric_7_4,ABETZ_Eric,P33_ABETZ_Eric,"1 Jul 13 - Melbourne to Sydney",2013-07-01,Melbourne,Sydney,0.00,,,,P33_ABETZ_Eric_7_3,P33_ABETZ_Eric.pdf,7
P33_ABETZ_Eric_7_40,ABETZ_Eric,P33_ABETZ_Eric,"13 Aug 13 - Sydney to Melbourne",2013-08-13,Sydney,Melbourne,678.54,,,,,P33_ABETZ_Eric.pdf,7
