entry_id,parl_id,source_id,details,start_date,end_date,origin,destination,amount,superscript,adjustment,notes,linked_entry,source_pdf,source_pagenum
P35_HOCKEY_Joe_10_3,HOCKEY_Joe,P35_HOCKEY_Joe,"Hobart to Burnie 1 Aug 14",2014-08-01,0000-00-00,Hobart,Burnie,11300.00,,,,,P35_HOCKEY_Joe.pdf,10
P35_HOCKEY_Joe_10_4,HOCKEY_Joe,P35_HOCKEY_Joe,"Burnie to Essendon Airport 1 Aug 14",2014-08-01,0000-00-00,Burnie,"Essendon Airport",0.00,,,,P35_HOCKEY_Joe_10_3,P35_HOCKEY_Joe.pdf,10
P35_HUNT_Greg_26_3,HUNT_Greg,P35_HUNT_Greg,"Moranbah 10 Jun 14",2014-06-10,0000-00-00,Moranbah,,16200.00,,,,,P35_HUNT_Greg.pdf,26
P35_JOYCE_Barnaby1_12_3,JOYCE_Barnaby,P35_JOYCE_Barnaby1,"Canberra to Grafton 1 Jul 14",2014-07-01,0000-00-00,Canberra,Grafton,6900.00,,,,,P35_JOYCE_Barnaby1.pdf,1
P35_JOYCE_Barnaby1_12_4,JOYCE_Barnaby,P35_JOYCE_Barnaby1,"Tamworth to Toowoomba 7 Jul 14",2014-07-07,0000-00-00,Tamworth,Toowoomba,12110.00,,,,,P35_JOYCE_Barnaby1.pdf,1
P35_JOYCE_Barnaby1_12_5,JOYCE_Barnaby,P35_JOYCE_Barnaby1,"Toowoomba to Canberra 7 Jul 14",2014-07-07,0000-00-00,Toowoomba,Canberra,0.00,,,,P35_JOYCE_Barnaby1_12_4,P35_JOYCE_Barnaby1.pdf,1
P35_JOYCE_Barnaby1_12_6,JOYCE_Barnaby,P35_JOYCE_Barnaby1,"Tamworth to Lakes Entrance 9 Jul 14",2014-07-09,0000-00-00,Tamworth,"Lakes Entrance",4270.91,,,,,P35_JOYCE_Barnaby1.pdf,1
P35_JOYCE_Barnaby1_12_7,JOYCE_Barnaby,P35_JOYCE_Barnaby1,"Brisbane to Tamworth 7 Aug 14",2014-08-07,0000-00-00,Brisbane,Tamworth,5580.00,,,,,P35_JOYCE_Barnaby1.pdf,1
P35_JOYCE_Barnaby1_12_8,JOYCE_Barnaby,P35_JOYCE_Barnaby1,"Canberra to Newcastle 4 Sep 14",2014-09-04,0000-00-00,Canberra,Newcastle,4250.00,,,,,P35_JOYCE_Barnaby1.pdf,1
P35_JOYCE_Barnaby1_12_9,JOYCE_Barnaby,P35_JOYCE_Barnaby1,"Sydney to Tamworth 11 Sep 14",2014-09-11,0000-00-00,Sydney,Tamworth,16120.00,,,,,P35_JOYCE_Barnaby1.pdf,1
