entry_id,parl_id,source_id,details,start_date,end_date,origin,destination,amount,superscript,adjustment,notes,linked_entry,source_pdf,source_pagenum
P39_ABETZ_Eric_8_3,ABETZ_Eric,P39_ABETZ_Eric,"Hobart to Burnie 27 Sep 16",2016-09-27,0000-00-00,Hobart,Burnie,2454.55,,,,,P39_ABETZ_Eric.pdf,8
P39_ABETZ_Eric_8_4,ABETZ_Eric,P39_ABETZ_Eric,"Burnie to Hobart 27 Sep 16",2016-09-27,0000-00-00,Burnie,Hobart,0.00,,,,P39_ABETZ_Eric_8_3,P39_ABETZ_Eric.pdf,8
P39_ABETZ_Eric_8_5,ABETZ_Eric,P39_ABETZ_Eric,"Hire car costs Burnie 27 Sep 16",2016-09-27,0000-00-00,"Hire car costs Burnie",,82.69,,,,,P39_ABETZ_Eric.pdf,8
P39_ABETZ_Eric_8_6,ABETZ_Eric,P39_ABETZ_Eric,"Cambridge to Wynyard 18 Nov 16",2016-11-18,0000-00-00,Cambridge,Wynyard,2818.18,,,,,P39_ABETZ_Eric.pdf,8
P39_ABETZ_Eric_8_7,ABETZ_Eric,P39_ABETZ_Eric,"Wynyard to Cambridge 21 Nov 16",2016-11-21,0000-00-00,Wynyard,Cambridge,0.00,,,,P39_ABETZ_Eric_8_6,P39_ABETZ_Eric.pdf,8
P39_BACK_Chris_18_3,BACK_Chris,P39_BACK_Chris,"Jandakot to Katanning 20 Jun 16",2016-06-20,0000-00-00,Jandakot,Katanning,3400.00,,,,,P39_BACK_Chris.pdf,18
P39_BACK_Chris_18_4,BACK_Chris,P39_BACK_Chris,"Katanning to Albany 20 Jun 16",2016-06-20,0000-00-00,Katanning,Albany,0.00,,,,P39_BACK_Chris_18_3,P39_BACK_Chris.pdf,18
P39_BACK_Chris_18_5,BACK_Chris,P39_BACK_Chris,"Albany to Jandakot 20 Jun 16",2016-06-20,0000-00-00,Albany,Jandakot,0.00,,,,P39_BACK_Chris_18_3,P39_BACK_Chris.pdf,18
P39_BROAD_Andrew_7_3,BROAD_Andrew,P39_BROAD_Andrew,"Mildura to Stawell 2 Jul 16",2016-07-02,0000-00-00,Mildura,Stawell,2350.00,,,,,P39_BROAD_Andrew.pdf,7
P39_BROAD_Andrew_7_4,BROAD_Andrew,P39_BROAD_Andrew,"Stawell to Horsham 2 Jul 16",2016-07-02,0000-00-00,Stawell,Horsham,0.00,,,,P39_BROAD_Andrew_7_3,P39_BROAD_Andrew.pdf,7
P39_BROAD_Andrew_7_5,BROAD_Andrew,P39_BROAD_Andrew,"Horsham to Mildura 2 Jul 16",2016-07-02,0000-00-00,Horsham,Mildura,0.00,,,,P39_BROAD_Andrew_7_3,P39_BROAD_Andrew.pdf,7
P39_BROAD_Andrew_7_6,BROAD_Andrew,P39_BROAD_Andrew,"Mildura to Horsham 5 Oct 16",2016-10-05,0000-00-00,Mildura,Horsham,2959.09,,,,,P39_BROAD_Andrew.pdf,7
P39_BROAD_Andrew_7_7,BROAD_Andrew,P39_BROAD_Andrew,"Horsham to Nhill 5 Oct 16",2016-10-05,0000-00-00,Horsham,Nhill,0.00,,,,P39_BROAD_Andrew_7_6,P39_BROAD_Andrew.pdf,7
P39_BROAD_Andrew_7_8,BROAD_Andrew,P39_BROAD_Andrew,"Nhill to Horsham 5 Oct 16",2016-10-05,0000-00-00,Nhill,Horsham,0.00,,,,P39_BROAD_Andrew_7_6,P39_BROAD_Andrew.pdf,7
P39_BROAD_Andrew_7_9,BROAD_Andrew,P39_BROAD_Andrew,"Horsham to Swan Hill 5 Oct 16",2016-10-05,0000-00-00,Horsham,"Swan Hill",0.00,,,,P39_BROAD_Andrew_7_6,P39_BROAD_Andrew.pdf,7
P39_BROAD_Andrew_7_10,BROAD_Andrew,P39_BROAD_Andrew,"Swan Hill to Mildura 5 Oct 16",2016-10-05,0000-00-00,"Swan Hill",Mildura,0.00,,,,P39_BROAD_Andrew_7_6,P39_BROAD_Andrew.pdf,7
P39_BROAD_Andrew_7_11,BROAD_Andrew,P39_BROAD_Andrew,"Mildura to Swan Hill 6 Oct 16",2016-10-06,0000-00-00,Mildura,"Swan Hill",0.00,,,,P39_BROAD_Andrew_7_6,P39_BROAD_Andrew.pdf,7
P39_BROAD_Andrew_7_12,BROAD_Andrew,P39_BROAD_Andrew,"Swan Hill to Mildura 6 Oct 16",2016-10-06,0000-00-00,"Swan Hill",Mildura,0.00,,,,P39_BROAD_Andrew_7_6,P39_BROAD_Andrew.pdf,7
P39_CANAVAN_Matthew_26_8,CANAVAN_Matthew,P39_CANAVAN_Matthew,"Rockhampton to Mackay 30 Jun 16",2016-06-30,0000-00-00,Rockhampton,Mackay,4100.00,,,,,P39_CANAVAN_Matthew.pdf,26
P39_CANAVAN_Matthew_26_9,CANAVAN_Matthew,P39_CANAVAN_Matthew,"Mackay to Rockhampton 30 Jun 16",2016-06-30,0000-00-00,Mackay,Rockhampton,0.00,,,,P39_CANAVAN_Matthew_26_8,P39_CANAVAN_Matthew.pdf,26
P39_CHESTER_Darren_10_23,CHESTER_Darren,P39_CHESTER_Darren,"Canberra to La Trobe Valley Airport 16 Sep 16",2016-09-16,0000-00-00,Canberra,"La Trobe Valley Airport",2592.90,,,,,P39_CHESTER_Darren.pdf,10
P39_CHESTER_Darren_10_24,CHESTER_Darren,P39_CHESTER_Darren,"Canberra to Hotham Heights 11 Nov 16",2016-11-11,0000-00-00,Canberra,"Hotham Heights",2151.82,,,,,P39_CHESTER_Darren.pdf,10
P39_CHESTER_Darren_10_25,CHESTER_Darren,P39_CHESTER_Darren,"Sale to Yarram 18 Nov 16",2016-11-18,0000-00-00,Sale,Yarram,1809.00,,,,,P39_CHESTER_Darren.pdf,10
P39_CHESTER_Darren_10_26,CHESTER_Darren,P39_CHESTER_Darren,"Yarram to Mallacoota 18 Nov 16",2016-11-18,0000-00-00,Yarram,Mallacoota,0.00,,,,P39_CHESTER_Darren_10_25,P39_CHESTER_Darren.pdf,10
P39_CHESTER_Darren_10_27,CHESTER_Darren,P39_CHESTER_Darren,"Mallacoota to Lakes Entrance 18 Nov 16",2016-11-18,0000-00-00,Mallacoota,"Lakes Entrance",0.00,,,,P39_CHESTER_Darren_10_25,P39_CHESTER_Darren.pdf,10
P39_CHESTER_Darren_10_28,CHESTER_Darren,P39_CHESTER_Darren,"Albury to Lakes Entrance 25 Nov 16",2016-11-25,0000-00-00,Albury,"Lakes Entrance",1539.09,,,,,P39_CHESTER_Darren.pdf,10
P39_COLBECK_Richard_21_9,COLBECK_Richard,P39_COLBECK_Richard,"Cambridge to Federation Peak 29 Jun 16",2016-06-29,0000-00-00,Cambridge,"Federation Peak",1363.64,,,,,P39_COLBECK_Richard.pdf,21
P39_COLBECK_Richard_21_10,COLBECK_Richard,P39_COLBECK_Richard,"Federation Peak to Cambridge 29 Jun 16",2016-06-29,0000-00-00,"Federation Peak",Cambridge,0.00,,,,P39_COLBECK_Richard_21_9,P39_COLBECK_Richard.pdf,21
