entry_id,parl_id,source_id,details,start_date,end_date,origin,destination,amount,superscript,adjustment,notes,linked_entry,source_pdf,source_pagenum
P39_CANAVAN_Matthew_26_3,CANAVAN_Matthew,P39_CANAVAN_Matthew,"Rockhampton to Clermont 24 May 16",2016-05-24,0000-00-00,Rockhampton,Clermont,968.18,,,,,P39_CANAVAN_Matthew.pdf,26
P39_CANAVAN_Matthew_26_4,CANAVAN_Matthew,P39_CANAVAN_Matthew,"Clermont to Rockhampton 25 May 16",2016-05-25,0000-00-00,Clermont,Rockhampton,0.00,,,,P39_CANAVAN_Matthew_26_3,P39_CANAVAN_Matthew.pdf,26
P39_CHESTER_Darren_10_3,CHESTER_Darren,P39_CHESTER_Darren,"Lakes Entrance to Canberra 11 Jul 16",2016-07-11,0000-00-00,"Lakes Entrance",Canberra,4208.64,,,,,P39_CHESTER_Darren.pdf,10
P39_CHESTER_Darren_10_4,CHESTER_Darren,P39_CHESTER_Darren,"Canberra to Lakes Entrance 13 Jul 16",2016-07-13,0000-00-00,Canberra,"Lakes Entrance",0.00,,,,P39_CHESTER_Darren_10_3,P39_CHESTER_Darren.pdf,10
P39_CHESTER_Darren_10_5,CHESTER_Darren,P39_CHESTER_Darren,"La Trobe Valley Airport to Canberra 27 Jul 16",2016-07-27,0000-00-00,"La Trobe Valley Airport",Canberra,2592.90,,,,,P39_CHESTER_Darren.pdf,10
P39_CHESTER_Darren_10_6,CHESTER_Darren,P39_CHESTER_Darren,"Lakes Entrance to Bankstown Airport 9 Aug 16",2016-08-09,0000-00-00,"Lakes Entrance","Bankstown Airport",2907.27,,,,,P39_CHESTER_Darren.pdf,10
P39_CHESTER_Darren_10_7,CHESTER_Darren,P39_CHESTER_Darren,"Bankstown Airport to Lakes Entrance 9 Aug 16",2016-08-09,0000-00-00,"Bankstown Airport","Lakes Entrance",0.00,,,,P39_CHESTER_Darren_10_6,P39_CHESTER_Darren.pdf,10
P39_CHESTER_Darren_10_8,CHESTER_Darren,P39_CHESTER_Darren,"Lakes Entrance to Canberra 15 Aug 16",2016-08-15,0000-00-00,"Lakes Entrance",Canberra,2104.32,,,,,P39_CHESTER_Darren.pdf,10
P39_CHESTER_Darren_10_9,CHESTER_Darren,P39_CHESTER_Darren,"Bairnsdale to Canberra 22 Aug 16",2016-08-22,0000-00-00,Bairnsdale,Canberra,1968.95,,,,,P39_CHESTER_Darren.pdf,10
P39_CHESTER_Darren_10_10,CHESTER_Darren,P39_CHESTER_Darren,"Canberra to Lakes Entrance 6 Sep 16",2016-09-06,0000-00-00,Canberra,"Lakes Entrance",1052.16,,,,,P39_CHESTER_Darren.pdf,10
P39_CHESTER_Darren_10_11,CHESTER_Darren,P39_CHESTER_Darren,"Canberra to Lakes Entrance 4 Oct 16",2016-10-04,0000-00-00,Canberra,"Lakes Entrance",2104.32,,,,,P39_CHESTER_Darren.pdf,10
P39_CHESTER_Darren_10_12,CHESTER_Darren,P39_CHESTER_Darren,"Lakes Entrance to Melbourne Essendon Airport 10 Oct 16",2016-10-10,0000-00-00,"Lakes Entrance","Melbourne Essendon Airport",3024.55,,,,,P39_CHESTER_Darren.pdf,10
P39_CHESTER_Darren_10_13,CHESTER_Darren,P39_CHESTER_Darren,"Melbourne Essendon Airport to Canberra 10 Oct 16",2016-10-10,0000-00-00,"Melbourne Essendon Airport",Canberra,0.00,,,,P39_CHESTER_Darren_10_12,P39_CHESTER_Darren.pdf,10
P39_CHESTER_Darren_10_14,CHESTER_Darren,P39_CHESTER_Darren,"Lakes Entrance to Canberra 23 Oct 16",2016-10-23,0000-00-00,"Lakes Entrance",Canberra,2104.32,,,,,P39_CHESTER_Darren.pdf,10
P39_CHESTER_Darren_10_15,CHESTER_Darren,P39_CHESTER_Darren,"Lakes Entrance to Canberra 2 Nov 16",2016-11-02,0000-00-00,"Lakes Entrance",Canberra,2104.32,,,,,P39_CHESTER_Darren.pdf,10
P39_CHESTER_Darren_10_16,CHESTER_Darren,P39_CHESTER_Darren,"Perth to Kulin 3 Nov 16",2016-11-03,0000-00-00,Perth,Kulin,2646.36,,,,,P39_CHESTER_Darren.pdf,10
P39_CHESTER_Darren_10_17,CHESTER_Darren,P39_CHESTER_Darren,"Kulin to Perth 3 Nov 16",2016-11-03,0000-00-00,Kulin,Perth,0.00,,,,P39_CHESTER_Darren_10_16,P39_CHESTER_Darren.pdf,10
P39_CHESTER_Darren_10_18,CHESTER_Darren,P39_CHESTER_Darren,"Latrobe to Echuca 14 Nov 16",2016-11-14,0000-00-00,Latrobe,Echuca,2479.00,,,,,P39_CHESTER_Darren.pdf,10
P39_CHESTER_Darren_10_19,CHESTER_Darren,P39_CHESTER_Darren,"Echuca to Melbourne Essendon Airport 14 Nov 16",2016-11-14,0000-00-00,Echuca,"Melbourne Essendon Airport",0.00,,,,P39_CHESTER_Darren_10_18,P39_CHESTER_Darren.pdf,10
P39_CHESTER_Darren_30_3,CHESTER_Darren,P39_CHESTER_Darren,"Lakes Entrance to Canberra 1 May 16",2016-05-01,0000-00-00,"Lakes Entrance",Canberra,4073.27,,,,,P39_CHESTER_Darren.pdf,30
