entry_id,parl_id,source_id,details,flight_date,origin,destination,amount,superscript,adjustment,notes,linked_entry,source_pdf,source_pagenum
P39_ABBOTT_Tony_23_10,ABBOTT_Tony,P39_ABBOTT_Tony,"27 Jun 16 - Sydney to Melbourne",2016-06-27,Sydney,Melbourne,780.82,,,,,P39_ABBOTT_Tony.pdf,23
P39_ABBOTT_Tony_23_11,ABBOTT_Tony,P39_ABBOTT_Tony,"28 Jun 16 - Melbourne to Sydney",2016-06-28,Melbourne,Sydney,780.82,,,,,P39_ABBOTT_Tony.pdf,23
P39_ABBOTT_Tony_23_3,ABBOTT_Tony,P39_ABBOTT_Tony,"1 May 16 - Darwin to Kununurra",2016-05-01,Darwin,Kununurra,80.00,21,,,,P39_ABBOTT_Tony.pdf,23
P39_ABBOTT_Tony_23_4,ABBOTT_Tony,P39_ABBOTT_Tony,"6 May 16 - Kununurra to Darwin",2016-05-06,Kununurra,Darwin,80.00,21,,,,P39_ABBOTT_Tony.pdf,23
P39_ABBOTT_Tony_23_5,ABBOTT_Tony,P39_ABBOTT_Tony,"1 Jun 16 - Sydney to Canberra",2016-06-01,Sydney,Canberra,316.41,,,,,P39_ABBOTT_Tony.pdf,23
P39_ABBOTT_Tony_23_6,ABBOTT_Tony,P39_ABBOTT_Tony,"22 Jun 16 - Coffs Harbour to Sydney",2016-06-22,"Coffs Harbour",Sydney,525.87,,,,,P39_ABBOTT_Tony.pdf,23
P39_ABBOTT_Tony_23_7,ABBOTT_Tony,P39_ABBOTT_Tony,"22 Jun 16 - Sydney to Canberra",2016-06-22,Sydney,Canberra,0.00,,,,P39_ABBOTT_Tony_23_6,P39_ABBOTT_Tony.pdf,23
P39_ABBOTT_Tony_23_8,ABBOTT_Tony,P39_ABBOTT_Tony,"23 Jun 16 - Canberra to Melbourne",2016-06-23,Canberra,Melbourne,686.29,,,,,P39_ABBOTT_Tony.pdf,23
P39_ABBOTT_Tony_23_9,ABBOTT_Tony,P39_ABBOTT_Tony,"23 Jun 16 - Melbourne to Sydney",2016-06-23,Melbourne,Sydney,780.82,,,,,P39_ABBOTT_Tony.pdf,23
P39_ABBOTT_Tony_6_10,ABBOTT_Tony,P39_ABBOTT_Tony,"19 Jul 16 - Sydney to Canberra",2016-07-19,Sydney,Canberra,329.04,,,,,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_6_11,ABBOTT_Tony,P39_ABBOTT_Tony,"20 Jul 16 - Canberra to Sydney",2016-07-20,Canberra,Sydney,599.25,,,,,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_6_12,ABBOTT_Tony,P39_ABBOTT_Tony,"31 Jul 16 - Sydney to Melbourne",2016-07-31,Sydney,Melbourne,781.55,,,,,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_6_13,ABBOTT_Tony,P39_ABBOTT_Tony,"1 Aug 16 - Melbourne to Sydney",2016-08-01,Melbourne,Sydney,446.80,,,,,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_6_14,ABBOTT_Tony,P39_ABBOTT_Tony,"2 Aug 16 - Sydney to Canberra",2016-08-02,Sydney,Canberra,329.04,,,,,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_6_15,ABBOTT_Tony,P39_ABBOTT_Tony,"3 Aug 16 - Canberra to Sydney",2016-08-03,Canberra,Sydney,329.04,,,,,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_6_16,ABBOTT_Tony,P39_ABBOTT_Tony,"7 Aug 16 - Sydney to Melbourne",2016-08-07,Sydney,Melbourne,781.55,,,,,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_6_17,ABBOTT_Tony,P39_ABBOTT_Tony,"9 Aug 16 - Melbourne to Canberra",2016-08-09,Melbourne,Canberra,411.39,,,,,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_6_18,ABBOTT_Tony,P39_ABBOTT_Tony,"10 Aug 16 - Canberra to Sydney",2016-08-10,Canberra,Sydney,329.04,,,,,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_6_19,ABBOTT_Tony,P39_ABBOTT_Tony,"12 Aug 16 - Sydney to Adelaide",2016-08-12,Sydney,Adelaide,939.69,,,,,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_6_20,ABBOTT_Tony,P39_ABBOTT_Tony,"13 Aug 16 - Adelaide to Sydney",2016-08-13,Adelaide,Sydney,939.69,,,,,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_6_21,ABBOTT_Tony,P39_ABBOTT_Tony,"15 Aug 16 - Sydney to Canberra",2016-08-15,Sydney,Canberra,334.35,,,,,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_6_22,ABBOTT_Tony,P39_ABBOTT_Tony,"17 Aug 16 - Canberra to Sydney",2016-08-17,Canberra,Sydney,334.35,,,,,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_6_23,ABBOTT_Tony,P39_ABBOTT_Tony,"18 Aug 16 - Sydney to Canberra",2016-08-18,Sydney,Canberra,334.35,,,,,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_6_24,ABBOTT_Tony,P39_ABBOTT_Tony,"18 Aug 16 - Canberra to Sydney",2016-08-18,Canberra,Sydney,334.35,,,,,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_6_25,ABBOTT_Tony,P39_ABBOTT_Tony,"22 Aug 16 - Sydney to Melbourne",2016-08-22,Sydney,Melbourne,808.14,,,,,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_6_26,ABBOTT_Tony,P39_ABBOTT_Tony,"23 Aug 16 - Melbourne to Sydney",2016-08-23,Melbourne,Sydney,808.14,,,,,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_6_27,ABBOTT_Tony,P39_ABBOTT_Tony,"26 Aug 16 - Sydney to Melbourne",2016-08-26,Sydney,Melbourne,808.14,,,,,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_6_28,ABBOTT_Tony,P39_ABBOTT_Tony,"26 Aug 16 - Melbourne to Sydney",2016-08-26,Melbourne,Sydney,808.14,,,,,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_6_29,ABBOTT_Tony,P39_ABBOTT_Tony,"27 Aug 16 - Sydney to Brisbane",2016-08-27,Sydney,Brisbane,781.48,,,,,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_6_3,ABBOTT_Tony,P39_ABBOTT_Tony,"5 Jul 16 - Sydney to Melbourne",2016-07-05,Sydney,Melbourne,781.55,,,,,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_6_30,ABBOTT_Tony,P39_ABBOTT_Tony,"2 Sep 16 - Canberra to Sydney",2016-09-02,Canberra,Sydney,599.25,,,,,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_6_31,ABBOTT_Tony,P39_ABBOTT_Tony,"2 Sep 16 - Sydney to Perth",2016-09-02,Sydney,Perth,1988.40,,,,,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_6_32,ABBOTT_Tony,P39_ABBOTT_Tony,"4 Sep 16 - Perth to Kununurra",2016-09-04,Perth,Kununurra,650.43,,,,,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_6_33,ABBOTT_Tony,P39_ABBOTT_Tony,"8 Sep 16 - Kununurra to Darwin",2016-09-08,Kununurra,Darwin,1902.94,,,,,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_6_34,ABBOTT_Tony,P39_ABBOTT_Tony,"8 Sep 16 - Darwin to Sydney",2016-09-08,Darwin,Sydney,0.00,,,,P39_ABBOTT_Tony_6_33,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_6_35,ABBOTT_Tony,P39_ABBOTT_Tony,"11 Sep 16 - Sydney to Canberra",2016-09-11,Sydney,Canberra,121.30,,,,,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_6_36,ABBOTT_Tony,P39_ABBOTT_Tony,"15 Sep 16 - Canberra to Sydney",2016-09-15,Canberra,Sydney,599.25,,,,,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_6_37,ABBOTT_Tony,P39_ABBOTT_Tony,"26 Sep 16 - Sydney to Melbourne",2016-09-26,Sydney,Melbourne,808.14,,,,,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_6_38,ABBOTT_Tony,P39_ABBOTT_Tony,"27 Sep 16 - Melbourne to Canberra",2016-09-27,Melbourne,Canberra,416.12,,,,,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_6_39,ABBOTT_Tony,P39_ABBOTT_Tony,"27 Sep 16 - Canberra to Sydney",2016-09-27,Canberra,Sydney,334.35,,,,,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_6_4,ABBOTT_Tony,P39_ABBOTT_Tony,"6 Jul 16 - Melbourne to Canberra",2016-07-06,Melbourne,Canberra,411.39,,,,,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_6_40,ABBOTT_Tony,P39_ABBOTT_Tony,"8 Oct 16 - Sydney to Brisbane",2016-10-08,Sydney,Brisbane,781.48,,,,,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_6_5,ABBOTT_Tony,P39_ABBOTT_Tony,"7 Jul 16 - Canberra to Sydney",2016-07-07,Canberra,Sydney,329.04,,,,,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_6_6,ABBOTT_Tony,P39_ABBOTT_Tony,"11 Jul 16 - Sydney to Melbourne",2016-07-11,Sydney,Melbourne,781.55,,,,,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_6_7,ABBOTT_Tony,P39_ABBOTT_Tony,"12 Jul 16 - Melbourne to Sydney",2016-07-12,Melbourne,Sydney,781.55,,,,,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_6_8,ABBOTT_Tony,P39_ABBOTT_Tony,"13 Jul 16 - Sydney to Canberra",2016-07-13,Sydney,Canberra,329.04,,,,,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_6_9,ABBOTT_Tony,P39_ABBOTT_Tony,"14 Jul 16 - Canberra to Sydney",2016-07-14,Canberra,Sydney,329.04,,,,,P39_ABBOTT_Tony.pdf,6
P39_ABBOTT_Tony_7_10,ABBOTT_Tony,P39_ABBOTT_Tony,"14 Nov 16 - Canberra to Melbourne",2016-11-14,Canberra,Melbourne,689.24,,,,,P39_ABBOTT_Tony.pdf,7
P39_ABBOTT_Tony_7_11,ABBOTT_Tony,P39_ABBOTT_Tony,"15 Nov 16 - Melbourne to Sydney",2016-11-15,Melbourne,Sydney,808.14,,,,,P39_ABBOTT_Tony.pdf,7
P39_ABBOTT_Tony_7_12,ABBOTT_Tony,P39_ABBOTT_Tony,"21 Nov 16 - Melbourne to Canberra",2016-11-21,Melbourne,Canberra,245.30,,,,,P39_ABBOTT_Tony.pdf,7
P39_ABBOTT_Tony_7_13,ABBOTT_Tony,P39_ABBOTT_Tony,"24 Nov 16 - Canberra to Sydney",2016-11-24,Canberra,Sydney,334.35,,,,,P39_ABBOTT_Tony.pdf,7
P39_ABBOTT_Tony_7_14,ABBOTT_Tony,P39_ABBOTT_Tony,"7 Dec 16 - Sydney to Melbourne",2016-12-07,Sydney,Melbourne,814.95,,,,,P39_ABBOTT_Tony.pdf,7
P39_ABBOTT_Tony_7_15,ABBOTT_Tony,P39_ABBOTT_Tony,"7 Dec 16 - Melbourne to Sydney",2016-12-07,Melbourne,Sydney,814.95,,,,,P39_ABBOTT_Tony.pdf,7
P39_ABBOTT_Tony_7_16,ABBOTT_Tony,P39_ABBOTT_Tony,"8 Dec 16 - Sydney to Canberra",2016-12-08,Sydney,Canberra,334.35,,,,,P39_ABBOTT_Tony.pdf,7
P39_ABBOTT_Tony_7_17,ABBOTT_Tony,P39_ABBOTT_Tony,"8 Dec 16 - Canberra to Sydney",2016-12-08,Canberra,Sydney,334.35,,,,,P39_ABBOTT_Tony.pdf,7
P39_ABBOTT_Tony_7_18,ABBOTT_Tony,P39_ABBOTT_Tony,"9 Dec 16 - Sydney to Brisbane",2016-12-09,Sydney,Brisbane,815.57,,,,,P39_ABBOTT_Tony.pdf,7
P39_ABBOTT_Tony_7_19,ABBOTT_Tony,P39_ABBOTT_Tony,"10 Dec 16 - Coolangatta to Sydney",2016-12-10,Coolangatta,Sydney,617.99,,,,,P39_ABBOTT_Tony.pdf,7
P39_ABBOTT_Tony_7_3,ABBOTT_Tony,P39_ABBOTT_Tony,"8 Oct 16 - Brisbane to Sydney",2016-10-08,Brisbane,Sydney,781.48,,,,,P39_ABBOTT_Tony.pdf,7
P39_ABBOTT_Tony_7_4,ABBOTT_Tony,P39_ABBOTT_Tony,"17 Oct 16 - Sydney to Canberra",2016-10-17,Sydney,Canberra,334.35,,,,,P39_ABBOTT_Tony.pdf,7
P39_ABBOTT_Tony_7_5,ABBOTT_Tony,P39_ABBOTT_Tony,"20 Oct 16 - Canberra to Sydney",2016-10-20,Canberra,Sydney,334.35,,,,,P39_ABBOTT_Tony.pdf,7
P39_ABBOTT_Tony_7_6,ABBOTT_Tony,P39_ABBOTT_Tony,"26 Oct 16 - Sydney to Brisbane",2016-10-26,Sydney,Brisbane,781.48,,,,,P39_ABBOTT_Tony.pdf,7
P39_ABBOTT_Tony_7_7,ABBOTT_Tony,P39_ABBOTT_Tony,"27 Oct 16 - Brisbane to Canberra",2016-10-27,Brisbane,Canberra,476.06,,,,,P39_ABBOTT_Tony.pdf,7
P39_ABBOTT_Tony_7_8,ABBOTT_Tony,P39_ABBOTT_Tony,"27 Oct 16 - Canberra to Sydney",2016-10-27,Canberra,Sydney,334.35,,,,,P39_ABBOTT_Tony.pdf,7
P39_ABBOTT_Tony_7_9,ABBOTT_Tony,P39_ABBOTT_Tony,"14 Nov 16 - Sydney to Canberra",2016-11-14,Sydney,Canberra,334.35,,,,,P39_ABBOTT_Tony.pdf,7
P39_ABETZ_Eric_6_10,ABETZ_Eric,P39_ABETZ_Eric,"16 Aug 16 - Melbourne to Sydney",2016-08-16,Melbourne,Sydney,0.00,,,,,P39_ABETZ_Eric.pdf,6
P39_ABETZ_Eric_6_11,ABETZ_Eric,P39_ABETZ_Eric,"17 Aug 16 - Sydney to Hobart",2016-08-17,Sydney,Hobart,653.08,,,,,P39_ABETZ_Eric.pdf,6
P39_ABETZ_Eric_6_12,ABETZ_Eric,P39_ABETZ_Eric,"29 Aug 16 - Hobart to Sydney",2016-08-29,Hobart,Sydney,841.68,,,,,P39_ABETZ_Eric.pdf,6
P39_ABETZ_Eric_6_13,ABETZ_Eric,P39_ABETZ_Eric,"29 Aug 16 - Sydney to Canberra",2016-08-29,Sydney,Canberra,0.00,,,,P39_ABETZ_Eric_6_12,P39_ABETZ_Eric.pdf,6
P39_ABETZ_Eric_6_14,ABETZ_Eric,P39_ABETZ_Eric,"2 Sep 16 - Canberra to Sydney",2016-09-02,Canberra,Sydney,749.40,,,,,P39_ABETZ_Eric.pdf,6
P39_ABETZ_Eric_6_15,ABETZ_Eric,P39_ABETZ_Eric,"2 Sep 16 - Sydney to Hobart",2016-09-02,Sydney,Hobart,0.00,,,,P39_ABETZ_Eric_6_14,P39_ABETZ_Eric.pdf,6
P39_ABETZ_Eric_6_16,ABETZ_Eric,P39_ABETZ_Eric,"12 Sep 16 - Hobart to Melbourne",2016-09-12,Hobart,Melbourne,749.77,,,,,P39_ABETZ_Eric.pdf,6
P39_ABETZ_Eric_6_17,ABETZ_Eric,P39_ABETZ_Eric,"12 Sep 16 - Melbourne to Canberra",2016-09-12,Melbourne,Canberra,0.00,,,,P39_ABETZ_Eric_6_16,P39_ABETZ_Eric.pdf,6
P39_ABETZ_Eric_6_18,ABETZ_Eric,P39_ABETZ_Eric,"15 Sep 16 - Canberra to Melbourne",2016-09-15,Canberra,Melbourne,836.20,,,,,P39_ABETZ_Eric.pdf,6
P39_ABETZ_Eric_6_19,ABETZ_Eric,P39_ABETZ_Eric,"15 Sep 16 - Melbourne to Hobart",2016-09-15,Melbourne,Hobart,0.00,,,,P39_ABETZ_Eric_6_18,P39_ABETZ_Eric.pdf,6
P39_ABETZ_Eric_6_20,ABETZ_Eric,P39_ABETZ_Eric,"26 Sep 16 - Hobart to Sydney",2016-09-26,Hobart,Sydney,671.93,,,,,P39_ABETZ_Eric.pdf,6
P39_ABETZ_Eric_6_21,ABETZ_Eric,P39_ABETZ_Eric,"26 Sep 16 - Sydney to Hobart",2016-09-26,Sydney,Hobart,671.93,,,,,P39_ABETZ_Eric.pdf,6
P39_ABETZ_Eric_6_22,ABETZ_Eric,P39_ABETZ_Eric,"10 Oct 16 - Hobart to Melbourne",2016-10-10,Hobart,Melbourne,786.55,,,,,P39_ABETZ_Eric.pdf,6
P39_ABETZ_Eric_6_23,ABETZ_Eric,P39_ABETZ_Eric,"10 Oct 16 - Melbourne to Canberra",2016-10-10,Melbourne,Canberra,0.00,,,,P39_ABETZ_Eric_6_22,P39_ABETZ_Eric.pdf,6
P39_ABETZ_Eric_6_24,ABETZ_Eric,P39_ABETZ_Eric,"15 Oct 16 - Hobart to Melbourne",2016-10-15,Hobart,Melbourne,449.63,,,,,P39_ABETZ_Eric.pdf,6
P39_ABETZ_Eric_6_25,ABETZ_Eric,P39_ABETZ_Eric,"16 Oct 16 - Melbourne to Hobart",2016-10-16,Melbourne,Hobart,90.91,,,,,P39_ABETZ_Eric.pdf,6
P39_ABETZ_Eric_6_26,ABETZ_Eric,P39_ABETZ_Eric,"17 Oct 16 - Hobart to Melbourne",2016-10-17,Hobart,Melbourne,749.77,,,,,P39_ABETZ_Eric.pdf,6
