entry_id,parl_id,source_id,details,start_date,end_date,amount,source_pdf,source_pagenum
P39_ALBANESE_Anthony_21_10,ALBANESE_Anthony,P39_ALBANESE_Anthony,"Coolangatta 11 Jun to 13 Jun 16",2016-06-11,2016-06-13,184.04,P39_ALBANESE_Anthony.pdf,21
P39_ALBANESE_Anthony_21_9,ALBANESE_Anthony,P39_ALBANESE_Anthony,"Rockhampton 13 May to 14 May 16",2016-05-13,2016-05-14,85.28,P39_ALBANESE_Anthony.pdf,21
P39_BACK_Chris_8_34,BACK_Chris,P39_BACK_Chris,"Melbourne 19 Sep 16",2016-09-19,0000-00-00,99.69,P39_BACK_Chris.pdf,8
P39_BANDT_Adam_8_3,BANDT_Adam,P39_BANDT_Adam,"Taxi 1 Sep 16",2016-09-01,0000-00-00,46.95,P39_BANDT_Adam.pdf,8
P39_BANKS_Julia_9_3,BANKS_Julia,P39_BANKS_Julia,"Taxi 18 Jul 16",2016-07-18,0000-00-00,25.23,P39_BANKS_Julia.pdf,9
P39_BIRD_Sharon_16_20,BIRD_Sharon,P39_BIRD_Sharon,"Melbourne 15 Jun to 16 Jun 16",2016-06-15,2016-06-16,178.90,P39_BIRD_Sharon.pdf,16
P39_BIRD_Sharon_16_21,BIRD_Sharon,P39_BIRD_Sharon,"Launceston to Devonport 20 Jun to 21 Jun 16",2016-06-20,2016-06-21,92.05,P39_BIRD_Sharon.pdf,16
P39_BIRD_Sharon_16_22,BIRD_Sharon,P39_BIRD_Sharon,"Rockhampton to Hervey Bay 27 Jun to 28 Jun 16",2016-06-27,2016-06-28,429.49,P39_BIRD_Sharon.pdf,16
P39_BRANDIS_George_21_10,BRANDIS_George,P39_BRANDIS_George,"Gladstone 5 Jul 16",2016-07-05,0000-00-00,89.78,P39_BRANDIS_George.pdf,21
P39_BRANDIS_George_30_15,BRANDIS_George,P39_BRANDIS_George,"Townsville 11 May 16",2016-05-11,0000-00-00,113.38,P39_BRANDIS_George.pdf,30
P39_BRANDIS_George_30_16,BRANDIS_George,P39_BRANDIS_George,"Cairns 28 Jun to 29 Jun 16",2016-06-28,2016-06-29,414.09,P39_BRANDIS_George.pdf,30
P39_BROAD_Andrew_9_13,BROAD_Andrew,P39_BROAD_Andrew,"Canberra 14 Oct to 16 Oct 16",2016-10-14,2016-10-16,210.73,P39_BROAD_Andrew.pdf,9
P39_BURNEY_Linda_9_21,BURNEY_Linda,P39_BURNEY_Linda,"Griffith to Wagga Wagga 27 Aug 16",2016-08-27,0000-00-00,168.45,P39_BURNEY_Linda.pdf,9
P39_BURSTON_Brian_7_35,BURSTON_Brian,P39_BURSTON_Brian,"Fuel charge 15 Aug 16",2016-08-15,0000-00-00,44.50,P39_BURSTON_Brian.pdf,7
P39_BURSTON_Brian_7_36,BURSTON_Brian,P39_BURSTON_Brian,"Fuel charge 19 Aug 16",2016-08-19,0000-00-00,37.86,P39_BURSTON_Brian.pdf,7
P39_BURSTON_Brian_8_3,BURSTON_Brian,P39_BURSTON_Brian,"Fuel charge 25 Aug 16",2016-08-25,0000-00-00,47.34,P39_BURSTON_Brian.pdf,8
P39_BURSTON_Brian_8_4,BURSTON_Brian,P39_BURSTON_Brian,"Fuel charge 29 Aug 16",2016-08-29,0000-00-00,39.55,P39_BURSTON_Brian.pdf,8
P39_BURSTON_Brian_8_5,BURSTON_Brian,P39_BURSTON_Brian,"Fuel charge 2 Sep 16",2016-09-02,0000-00-00,53.29,P39_BURSTON_Brian.pdf,8
P39_BURSTON_Brian_8_6,BURSTON_Brian,P39_BURSTON_Brian,"Fuel charge 4 Sep 16",2016-09-04,0000-00-00,28.78,P39_BURSTON_Brian.pdf,8
P39_BURSTON_Brian_8_7,BURSTON_Brian,P39_BURSTON_Brian,"Fuel charge 10 Sep 16",2016-09-10,0000-00-00,38.15,P39_BURSTON_Brian.pdf,8
P39_BURSTON_Brian_8_8,BURSTON_Brian,P39_BURSTON_Brian,"Fuel charge 16 Sep 16",2016-09-16,0000-00-00,40.91,P39_BURSTON_Brian.pdf,8
P39_BUSHBY_David_10_34,BUSHBY_David,P39_BUSHBY_David,"Launceston to Hobart 21 Oct to 23 Oct 16",2016-10-21,2016-10-23,170.95,P39_BUSHBY_David.pdf,10
P39_BUSHBY_David_10_35,BUSHBY_David,P39_BUSHBY_David,"Launceston 2 Nov to 6 Nov 16",2016-11-02,2016-11-06,490.18,P39_BUSHBY_David.pdf,10
P39_BUTLER_Mark_11_3,BUTLER_Mark,P39_BUTLER_Mark,"Burnie 12 Nov to 13 Nov 16",2016-11-12,2016-11-13,143.53,P39_BUTLER_Mark.pdf,11
P39_BUTLER_Mark_11_4,BUTLER_Mark,P39_BUTLER_Mark,"Melbourne 16 Nov 16",2016-11-16,0000-00-00,119.09,P39_BUTLER_Mark.pdf,11
P39_BUTLER_Mark_19_10,BUTLER_Mark,P39_BUTLER_Mark,"Melbourne 12 Jun 16",2016-06-12,0000-00-00,147.67,P39_BUTLER_Mark.pdf,19
P39_BUTLER_Mark_19_9,BUTLER_Mark,P39_BUTLER_Mark,"Coolangatta to Lismore 19 Apr to 21 Apr 16",2016-04-19,2016-04-21,399.76,P39_BUTLER_Mark.pdf,19
P39_CANAVAN_Matthew_27_10,CANAVAN_Matthew,P39_CANAVAN_Matthew,"Brisbane 29 Sep to 1 Oct 15",2015-09-29,2015-10-01,19.08,P39_CANAVAN_Matthew.pdf,27
P39_CANAVAN_Matthew_27_11,CANAVAN_Matthew,P39_CANAVAN_Matthew,"Brisbane 18 May to 21 May 16",2016-05-18,2016-05-21,640.30,P39_CANAVAN_Matthew.pdf,27
P39_CHALMERS_Jim_21_10,CHALMERS_Jim,P39_CHALMERS_Jim,"Taxi 9 Jun 16",2016-06-09,0000-00-00,36.36,P39_CHALMERS_Jim.pdf,21
P39_CHALMERS_Jim_21_9,CHALMERS_Jim,P39_CHALMERS_Jim,"Melbourne 22 May 16",2016-05-22,0000-00-00,147.67,P39_CHALMERS_Jim.pdf,21
P39_CHESTERS_Lisa_9_7,CHESTERS_Lisa,P39_CHESTERS_Lisa,"Rockhampton to Emerald 15 Oct to 16 Oct 16",2016-10-15,2016-10-16,394.60,P39_CHESTERS_Lisa.pdf,9
P39_CHESTER_Darren_31_14,CHESTER_Darren,P39_CHESTER_Darren,"Coolangatta to Lismore 19 Jun to 20 Jun 16",2016-06-19,2016-06-20,273.74,P39_CHESTER_Darren.pdf,31
P39_CHISHOLM_Anthony_9_20,CHISHOLM_Anthony,P39_CHISHOLM_Anthony,"Taxi 21 Jul 16",2016-07-21,0000-00-00,29.97,P39_CHISHOLM_Anthony.pdf,9
P39_CHISHOLM_Anthony_9_21,CHISHOLM_Anthony,P39_CHISHOLM_Anthony,"Taxi 21 Jul 16",2016-07-21,0000-00-00,28.15,P39_CHISHOLM_Anthony.pdf,9
P39_CHISHOLM_Anthony_9_22,CHISHOLM_Anthony,P39_CHISHOLM_Anthony,"Taxi 22 Jul 16",2016-07-22,0000-00-00,11.61,P39_CHISHOLM_Anthony.pdf,9
P39_CHISHOLM_Anthony_9_23,CHISHOLM_Anthony,P39_CHISHOLM_Anthony,"Taxi 22 Jul 16",2016-07-22,0000-00-00,31.48,P39_CHISHOLM_Anthony.pdf,9
P39_CHISHOLM_Anthony_9_24,CHISHOLM_Anthony,P39_CHISHOLM_Anthony,"Taxi 6 Aug 16",2016-08-06,0000-00-00,31.79,P39_CHISHOLM_Anthony.pdf,9
P39_CHISHOLM_Anthony_9_25,CHISHOLM_Anthony,P39_CHISHOLM_Anthony,"Taxi 4 Oct 16",2016-10-04,0000-00-00,22.60,P39_CHISHOLM_Anthony.pdf,9
P39_CHISHOLM_Anthony_9_26,CHISHOLM_Anthony,P39_CHISHOLM_Anthony,"Taxi 5 Oct 16",2016-10-05,0000-00-00,19.37,P39_CHISHOLM_Anthony.pdf,9
P39_CHISHOLM_Anthony_9_27,CHISHOLM_Anthony,P39_CHISHOLM_Anthony,"Taxi 7 Oct 16",2016-10-07,0000-00-00,21.90,P39_CHISHOLM_Anthony.pdf,9
P39_CHRISTENSEN_George_10_14,CHRISTENSEN_George,P39_CHRISTENSEN_George,"Townsville 24 Aug to 25 Aug 16",2016-08-24,2016-08-25,118.53,P39_CHRISTENSEN_George.pdf,10
P39_CHRISTENSEN_George_10_15,CHRISTENSEN_George,P39_CHRISTENSEN_George,"Townsville 20 Sep 16",2016-09-20,0000-00-00,87.22,P39_CHRISTENSEN_George.pdf,10
P39_CHRISTENSEN_George_10_16,CHRISTENSEN_George,P39_CHRISTENSEN_George,"Townsville 7 Oct 16",2016-10-07,0000-00-00,107.40,P39_CHRISTENSEN_George.pdf,10
P39_CHRISTENSEN_George_10_17,CHRISTENSEN_George,P39_CHRISTENSEN_George,"Townsville 26 Oct to 28 Oct 16",2016-10-26,2016-10-28,281.47,P39_CHRISTENSEN_George.pdf,10
P39_CLAYDON_Sharon_7_36,CLAYDON_Sharon,P39_CLAYDON_Sharon,"Newcastle to Canberra 8 Oct to 10 Oct 16",2016-10-08,2016-10-10,224.22,P39_CLAYDON_Sharon.pdf,7
