entry_id,parl_id,source_id,details,start_date,end_date,location,num_nights,rate,spouse,amount,source_pdf,source_pagenum
P39_ABBOTT_Tony_19_4,ABBOTT_Tony,P39_ABBOTT_Tony,"Former Prime Minister - Official Business",2016-06-21,2016-06-21,"Port Macquarie",1,368.00,0.00,368.00,P39_ABBOTT_Tony.pdf,19
P39_ABBOTT_Tony_19_5,ABBOTT_Tony,P39_ABBOTT_Tony,"Former Prime Minister - Official Business",2016-06-22,2016-06-22,Canberra,1,273.00,0.00,273.00,P39_ABBOTT_Tony.pdf,19
P39_ABBOTT_Tony_19_6,ABBOTT_Tony,P39_ABBOTT_Tony,"Former Prime Minister - Official Business",2016-06-27,2016-06-27,Melbourne,1,438.00,0.00,438.00,P39_ABBOTT_Tony.pdf,19
P39_ABBOTT_Tony_5_10,ABBOTT_Tony,P39_ABBOTT_Tony,"Former Prime Minister - Official Business",2016-08-22,2016-08-22,Melbourne,1,438.00,0.00,438.00,P39_ABBOTT_Tony.pdf,5
P39_ABBOTT_Tony_5_11,ABBOTT_Tony,P39_ABBOTT_Tony,"Former Prime Minister - Official Business",2016-08-27,2016-08-27,Brisbane,1,430.00,0.00,430.00,P39_ABBOTT_Tony.pdf,5
P39_ABBOTT_Tony_5_12,ABBOTT_Tony,P39_ABBOTT_Tony,"Sittings of Parliament",2016-08-28,2016-09-01,Canberra,5,276.00,0.00,1380.00,P39_ABBOTT_Tony.pdf,5
P39_ABBOTT_Tony_5_13,ABBOTT_Tony,P39_ABBOTT_Tony,"Former Prime Minister - Official Business",2016-09-02,2016-09-03,Perth,2,442.00,0.00,884.00,P39_ABBOTT_Tony.pdf,5
P39_ABBOTT_Tony_5_14,ABBOTT_Tony,P39_ABBOTT_Tony,"Former Prime Minister - Official Business",2016-09-04,2016-09-07,Kununurra,4,379.00,0.00,1516.00,P39_ABBOTT_Tony.pdf,5
P39_ABBOTT_Tony_5_15,ABBOTT_Tony,P39_ABBOTT_Tony,"Sittings of Parliament",2016-09-11,2016-09-14,Canberra,4,276.00,0.00,1104.00,P39_ABBOTT_Tony.pdf,5
P39_ABBOTT_Tony_5_16,ABBOTT_Tony,P39_ABBOTT_Tony,"Former Prime Minister - Official Business",2016-09-26,2016-09-26,Melbourne,1,442.00,0.00,442.00,P39_ABBOTT_Tony.pdf,5
P39_ABBOTT_Tony_5_17,ABBOTT_Tony,P39_ABBOTT_Tony,"Sittings of Parliament",2016-10-10,2016-10-12,Canberra,3,276.00,0.00,828.00,P39_ABBOTT_Tony.pdf,5
P39_ABBOTT_Tony_5_18,ABBOTT_Tony,P39_ABBOTT_Tony,"Former Prime Minister - Official Business",2016-10-26,2016-10-26,Brisbane,1,434.00,0.00,434.00,P39_ABBOTT_Tony.pdf,5
P39_ABBOTT_Tony_5_19,ABBOTT_Tony,P39_ABBOTT_Tony,"Sittings of Parliament",2016-11-06,2016-11-09,Canberra,4,276.00,0.00,1104.00,P39_ABBOTT_Tony.pdf,5
P39_ABBOTT_Tony_5_20,ABBOTT_Tony,P39_ABBOTT_Tony,"Former Prime Minister - Official Business",2016-11-14,2016-11-14,Melbourne,1,442.00,0.00,442.00,P39_ABBOTT_Tony.pdf,5
P39_ABBOTT_Tony_5_21,ABBOTT_Tony,P39_ABBOTT_Tony,"Former Prime Minister - Official Business",2016-11-20,2016-11-20,Melbourne,1,442.00,0.00,442.00,P39_ABBOTT_Tony.pdf,5
P39_ABBOTT_Tony_5_22,ABBOTT_Tony,P39_ABBOTT_Tony,"Sittings of Parliament",2016-11-21,2016-11-23,Canberra,3,276.00,0.00,828.00,P39_ABBOTT_Tony.pdf,5
P39_ABBOTT_Tony_5_23,ABBOTT_Tony,P39_ABBOTT_Tony,"Sittings of Parliament",2016-11-27,2016-11-30,Canberra,4,276.00,0.00,1104.00,P39_ABBOTT_Tony.pdf,5
