entry_id,parl_id,source_id,details,start_date,end_date,origin,destination,amount,superscript,adjustment,notes,linked_entry,source_pdf,source_pagenum
P37_ABETZ_Eric_9_3,ABETZ_Eric,P37_ABETZ_Eric,"Cambridge to Launceston 16 Jul 15",2015-07-16,0000-00-00,Cambridge,Launceston,1572.73,,,,,P37_ABETZ_Eric.pdf,9
P37_ABETZ_Eric_9_4,ABETZ_Eric,P37_ABETZ_Eric,"Launceston to Cambridge 16 Jul 15",2015-07-16,0000-00-00,Launceston,Cambridge,0.00,,,,P37_ABETZ_Eric_9_3,P37_ABETZ_Eric.pdf,9
P37_BACK_Chris_10_3,BACK_Chris,P37_BACK_Chris,"Hire car costs Esperance 16 Jul 15",2015-07-16,0000-00-00,"Hire car costs Esperance",,88.49,,,,,P37_BACK_Chris.pdf,10
P37_BACK_Chris_10_4,BACK_Chris,P37_BACK_Chris,"Jandakot to Esperance 20 Nov 15",2015-11-20,0000-00-00,Jandakot,Esperance,3690.00,,,,,P37_BACK_Chris.pdf,10
P37_BACK_Chris_10_5,BACK_Chris,P37_BACK_Chris,"Esperance to Jandakot 20 Nov 15",2015-11-20,0000-00-00,Esperance,Jandakot,0.00,,,,P37_BACK_Chris_10_4,P37_BACK_Chris.pdf,10
P37_BROAD_Andrew_10_10,BROAD_Andrew,P37_BROAD_Andrew,"Nhill to Mildura 23 Sep 15",2015-09-23,0000-00-00,Nhill,Mildura,0.00,,,,,P37_BROAD_Andrew.pdf,10
P37_BROAD_Andrew_10_11,BROAD_Andrew,P37_BROAD_Andrew,"Mildura to Swan Hill 25 Sep 15",2015-09-25,0000-00-00,Mildura,"Swan Hill",1577.27,,,,,P37_BROAD_Andrew.pdf,10
P37_BROAD_Andrew_10_12,BROAD_Andrew,P37_BROAD_Andrew,"Swan Hill to Charlton 25 Sep 15",2015-09-25,0000-00-00,"Swan Hill",Charlton,0.00,,,,P37_BROAD_Andrew_10_11,P37_BROAD_Andrew.pdf,10
P37_BROAD_Andrew_10_13,BROAD_Andrew,P37_BROAD_Andrew,"Charlton to Mildura 25 Sep 15",2015-09-25,0000-00-00,Charlton,Mildura,0.00,,,,P37_BROAD_Andrew_10_11,P37_BROAD_Andrew.pdf,10
P37_BROAD_Andrew_10_14,BROAD_Andrew,P37_BROAD_Andrew,"Mildura to Swan Hill 6 Oct 15",2015-10-06,0000-00-00,Mildura,"Swan Hill",804.55,,,,,P37_BROAD_Andrew.pdf,10
P37_BROAD_Andrew_10_15,BROAD_Andrew,P37_BROAD_Andrew,"Swan Hill to Mildura 6 Oct 15",2015-10-06,0000-00-00,"Swan Hill",Mildura,0.00,,,,P37_BROAD_Andrew_10_14,P37_BROAD_Andrew.pdf,10
P37_BROAD_Andrew_10_16,BROAD_Andrew,P37_BROAD_Andrew,"Warracknabeal to Mildura 5 Nov 15",2015-11-05,0000-00-00,Warracknabeal,Mildura,1286.36,,,,,P37_BROAD_Andrew.pdf,10
P37_BROAD_Andrew_10_17,BROAD_Andrew,P37_BROAD_Andrew,"Mildura to Warracknabeal 5 Nov 15",2015-11-05,0000-00-00,Mildura,Warracknabeal,0.00,,,,P37_BROAD_Andrew_10_16,P37_BROAD_Andrew.pdf,10
P37_BROAD_Andrew_10_3,BROAD_Andrew,P37_BROAD_Andrew,"Mildura to Stawell 24 Jul 15",2015-07-24,0000-00-00,Mildura,Stawell,2163.64,,,,,P37_BROAD_Andrew.pdf,10
P37_BROAD_Andrew_10_4,BROAD_Andrew,P37_BROAD_Andrew,"Stawell to Swan Hill 24 Jul 15",2015-07-24,0000-00-00,Stawell,"Swan Hill",0.00,,,,P37_BROAD_Andrew_10_3,P37_BROAD_Andrew.pdf,10
P37_BROAD_Andrew_10_5,BROAD_Andrew,P37_BROAD_Andrew,"Swan Hill to Mildura 24 Jul 15",2015-07-24,0000-00-00,"Swan Hill",Mildura,0.00,,,,P37_BROAD_Andrew_10_3,P37_BROAD_Andrew.pdf,10
P37_BROAD_Andrew_10_6,BROAD_Andrew,P37_BROAD_Andrew,"Mildura to Swan Hill 25 Aug 15",2015-08-25,0000-00-00,Mildura,"Swan Hill",1713.64,,,,,P37_BROAD_Andrew.pdf,10
P37_BROAD_Andrew_10_7,BROAD_Andrew,P37_BROAD_Andrew,"Swan Hill to Horsham 25 Aug 15",2015-08-25,0000-00-00,"Swan Hill",Horsham,0.00,,,,P37_BROAD_Andrew_10_6,P37_BROAD_Andrew.pdf,10
P37_BROAD_Andrew_10_8,BROAD_Andrew,P37_BROAD_Andrew,"Horsham to Mildura 25 Aug 15",2015-08-25,0000-00-00,Horsham,Mildura,0.00,,,,P37_BROAD_Andrew_10_6,P37_BROAD_Andrew.pdf,10
P37_BROAD_Andrew_10_9,BROAD_Andrew,P37_BROAD_Andrew,"Mildura to Nhill 23 Sep 15",2015-09-23,0000-00-00,Mildura,Nhill,1227.27,,,,,P37_BROAD_Andrew.pdf,10
P37_BROAD_Andrew_25_3,BROAD_Andrew,P37_BROAD_Andrew,"Mildura to Swan Hill 30 Jun 15",2015-06-30,0000-00-00,Mildura,"Swan Hill",1231.82,,,,,P37_BROAD_Andrew.pdf,25
P37_BROAD_Andrew_25_4,BROAD_Andrew,P37_BROAD_Andrew,"Swan Hill to Mildura 30 Jun 15",2015-06-30,0000-00-00,"Swan Hill",Mildura,0.00,,,,P37_BROAD_Andrew_25_3,P37_BROAD_Andrew.pdf,25
P37_CANAVAN_Matthew_27_3,CANAVAN_Matthew,P37_CANAVAN_Matthew,"Rockhampton to Hughenden 8 May 15",2015-05-08,0000-00-00,Rockhampton,Hughenden,2222.73,,,,,P37_CANAVAN_Matthew.pdf,27
P37_CANAVAN_Matthew_27_4,CANAVAN_Matthew,P37_CANAVAN_Matthew,"Hughenden to Rockhampton 8 May 15",2015-05-08,0000-00-00,Hughenden,Rockhampton,0.00,,,,P37_CANAVAN_Matthew_27_3,P37_CANAVAN_Matthew.pdf,27
P37_CANAVAN_Matthew_27_5,CANAVAN_Matthew,P37_CANAVAN_Matthew,"Hire car costs Cairns 17 May to 18 May 15",2015-05-17,2015-05-18,"Hire car costs Cairns",,200.08,,,,,P37_CANAVAN_Matthew.pdf,27
P37_CANAVAN_Matthew_27_6,CANAVAN_Matthew,P37_CANAVAN_Matthew,"Hire car costs Longreach 30 May to 31 May 15",2015-05-30,2015-05-31,"Hire car costs Longreach",,388.13,,,,,P37_CANAVAN_Matthew.pdf,27
P37_CANAVAN_Matthew_9_10,CANAVAN_Matthew,P37_CANAVAN_Matthew,"Hire car costs Brisbane 26 Sep 15",2015-09-26,0000-00-00,"Hire car costs Brisbane",,180.28,,,,,P37_CANAVAN_Matthew.pdf,9
P37_CANAVAN_Matthew_9_11,CANAVAN_Matthew,P37_CANAVAN_Matthew,"Hire car costs Brisbane 29 Sep to 1 Oct 15",2015-09-29,2015-10-01,"Hire car costs Brisbane",,235.15,,,,,P37_CANAVAN_Matthew.pdf,9
P37_CANAVAN_Matthew_9_12,CANAVAN_Matthew,P37_CANAVAN_Matthew,"Hire car costs Brisbane 27 Nov to 28 Nov 15",2015-11-27,2015-11-28,"Hire car costs Brisbane",,243.52,,,,,P37_CANAVAN_Matthew.pdf,9
P37_CANAVAN_Matthew_9_3,CANAVAN_Matthew,P37_CANAVAN_Matthew,"Cairns to Mount Surprise 16 Jul 15",2015-07-16,0000-00-00,Cairns,"Mount Surprise",2000.00,,,,,P37_CANAVAN_Matthew.pdf,9
P37_CANAVAN_Matthew_9_4,CANAVAN_Matthew,P37_CANAVAN_Matthew,"Mount Surprise to Cairns 16 Jul 15",2015-07-16,0000-00-00,"Mount Surprise",Cairns,0.00,,,,P37_CANAVAN_Matthew_9_3,P37_CANAVAN_Matthew.pdf,9
P37_CANAVAN_Matthew_9_5,CANAVAN_Matthew,P37_CANAVAN_Matthew,"Hire car costs Brisbane 19 Jul to 20 Jul 15",2015-07-19,2015-07-20,"Hire car costs Brisbane",,256.14,,,,,P37_CANAVAN_Matthew.pdf,9
