entry_id,parl_id,source_id,details,start_date,end_date,amount,source_pdf,source_pagenum
P37_BIRMINGHAM_Simon_16_21,BIRMINGHAM_Simon,P37_BIRMINGHAM_Simon,"Parking between 31 Aug and 1 Sep 15",2015-08-31,2015-09-01,33.64,P37_BIRMINGHAM_Simon.pdf,16
P37_BIRMINGHAM_Simon_16_22,BIRMINGHAM_Simon,P37_BIRMINGHAM_Simon,"Parking between 20 Sep and 21 Sep 15",2015-09-20,2015-09-21,56.36,P37_BIRMINGHAM_Simon.pdf,16
P37_BIRMINGHAM_Simon_16_23,BIRMINGHAM_Simon,P37_BIRMINGHAM_Simon,"Parking between 28 Sep and 30 Sep 15",2015-09-28,2015-09-30,67.27,P37_BIRMINGHAM_Simon.pdf,16
P37_BROAD_Andrew_12_20,BROAD_Andrew,P37_BROAD_Andrew,"Parking between 9 Aug and 14 Aug 15",2015-08-09,2015-08-14,60.00,P37_BROAD_Andrew.pdf,12
P37_BROAD_Andrew_12_21,BROAD_Andrew,P37_BROAD_Andrew,"Parking between 13 Sep ad 15 Sep 15",2015-09-13,2015-09-15,30.00,P37_BROAD_Andrew.pdf,12
P37_BROAD_Andrew_12_22,BROAD_Andrew,P37_BROAD_Andrew,"Parking between 21 Sep and 22 Sep 15",2015-09-21,2015-09-22,20.00,P37_BROAD_Andrew.pdf,12
P37_BROAD_Andrew_12_23,BROAD_Andrew,P37_BROAD_Andrew,"Parking between 8 Nov and 13 Nov 15",2015-11-08,2015-11-13,50.00,P37_BROAD_Andrew.pdf,12
P37_BROUGH_Mal_11_35,BROUGH_Mal,P37_BROUGH_Mal,"Parking between 19 Jul and 22 Jul 15",2015-07-19,2015-07-22,81.82,P37_BROUGH_Mal.pdf,11
P37_BROUGH_Mal_11_36,BROUGH_Mal,P37_BROUGH_Mal,"Parking between 16 Aug and 21 Aug 15",2015-08-16,2015-08-21,118.18,P37_BROUGH_Mal.pdf,11
P37_BROUGH_Mal_12_10,BROUGH_Mal,P37_BROUGH_Mal,"Parking between 26 Oct and 28 Oct 15",2015-10-26,2015-10-28,63.64,P37_BROUGH_Mal.pdf,12
P37_BROUGH_Mal_12_11,BROUGH_Mal,P37_BROUGH_Mal,"Parking between 1 Nov and 2 Nov 15",2015-11-01,2015-11-02,45.45,P37_BROUGH_Mal.pdf,12
P37_BROUGH_Mal_12_12,BROUGH_Mal,P37_BROUGH_Mal,"Parking between 4 Nov and 6 Nov 15",2015-11-04,2015-11-06,63.64,P37_BROUGH_Mal.pdf,12
P37_BROUGH_Mal_12_13,BROUGH_Mal,P37_BROUGH_Mal,"Parking between 8 Nov and 14 Nov 15",2015-11-08,2015-11-14,127.27,P37_BROUGH_Mal.pdf,12
P37_BROUGH_Mal_12_14,BROUGH_Mal,P37_BROUGH_Mal,"Parking between 15 Nov and 16 Nov 15",2015-11-15,2015-11-16,45.45,P37_BROUGH_Mal.pdf,12
P37_BROUGH_Mal_12_15,BROUGH_Mal,P37_BROUGH_Mal,"Parking between 16 Nov and 22 Nov 15",2015-11-16,2015-11-22,101.82,P37_BROUGH_Mal.pdf,12
P37_BROUGH_Mal_12_16,BROUGH_Mal,P37_BROUGH_Mal,"Parking between 22 Nov and 28 Nov 15",2015-11-22,2015-11-28,127.27,P37_BROUGH_Mal.pdf,12
P37_BROUGH_Mal_12_17,BROUGH_Mal,P37_BROUGH_Mal,"Parking between 27 Nov and 29 Nov 15",2015-11-27,2015-11-29,79.09,P37_BROUGH_Mal.pdf,12
P37_BROUGH_Mal_12_18,BROUGH_Mal,P37_BROUGH_Mal,"Parking 4 Dec 15",2015-12-04,0000-00-00,93.64,P37_BROUGH_Mal.pdf,12
P37_BROUGH_Mal_12_19,BROUGH_Mal,P37_BROUGH_Mal,"Parking between 7 Dec and 10 Dec 15",2015-12-07,2015-12-10,81.82,P37_BROUGH_Mal.pdf,12
P37_BROUGH_Mal_12_3,BROUGH_Mal,P37_BROUGH_Mal,"Parking between 6 Sep and 11 Sep 15",2015-09-06,2015-09-11,118.18,P37_BROUGH_Mal.pdf,12
P37_BROUGH_Mal_12_4,BROUGH_Mal,P37_BROUGH_Mal,"Parking between 13 Sep and 18 Sep 15",2015-09-13,2015-09-18,118.18,P37_BROUGH_Mal.pdf,12
P37_BROUGH_Mal_12_5,BROUGH_Mal,P37_BROUGH_Mal,"Parking between 21 Sep and 24 Sep 15",2015-09-21,2015-09-24,81.82,P37_BROUGH_Mal.pdf,12
P37_BROUGH_Mal_12_6,BROUGH_Mal,P37_BROUGH_Mal,"Parking between 28 Sep and 2 Oct 15",2015-09-28,2015-10-02,100.00,P37_BROUGH_Mal.pdf,12
P37_BROUGH_Mal_12_7,BROUGH_Mal,P37_BROUGH_Mal,"Parking between 4 Oct and 9 Oct 15",2015-10-04,2015-10-09,118.18,P37_BROUGH_Mal.pdf,12
P37_BROUGH_Mal_12_8,BROUGH_Mal,P37_BROUGH_Mal,"Parking between 11 Oct and 15 Oct 15",2015-10-11,2015-10-15,118.18,P37_BROUGH_Mal.pdf,12
P37_BROUGH_Mal_12_9,BROUGH_Mal,P37_BROUGH_Mal,"Parking between 18 Oct and 23 Oct 15",2015-10-18,2015-10-23,118.18,P37_BROUGH_Mal.pdf,12
P37_BUCHHOLZ_Scott_11_10,BUCHHOLZ_Scott,P37_BUCHHOLZ_Scott,"Parking between 5 Aug and 6 Aug 15",2015-08-05,2015-08-06,89.09,P37_BUCHHOLZ_Scott.pdf,11
P37_BUCHHOLZ_Scott_11_7,BUCHHOLZ_Scott,P37_BUCHHOLZ_Scott,"Parking between 7 Jul and 8 Jul 15",2015-07-07,2015-07-08,89.09,P37_BUCHHOLZ_Scott.pdf,11
P37_BUCHHOLZ_Scott_11_8,BUCHHOLZ_Scott,P37_BUCHHOLZ_Scott,"Parking between 13 Jul and 14 Jul 15",2015-07-13,2015-07-14,89.09,P37_BUCHHOLZ_Scott.pdf,11
P37_BUCHHOLZ_Scott_11_9,BUCHHOLZ_Scott,P37_BUCHHOLZ_Scott,"Parking between 26 Jul and 28 Jul 15",2015-07-26,2015-07-28,107.27,P37_BUCHHOLZ_Scott.pdf,11
P37_CANAVAN_Matthew_14_9,CANAVAN_Matthew,P37_CANAVAN_Matthew,"Parking 27 Jul 15",2015-07-27,0000-00-00,18.18,P37_CANAVAN_Matthew.pdf,14
P37_CIOBO_Steven_15_36,CIOBO_Steven,P37_CIOBO_Steven,"Parking 28 Jul 15",2015-07-28,0000-00-00,20.91,P37_CIOBO_Steven.pdf,15
P37_CIOBO_Steven_30_13,CIOBO_Steven,P37_CIOBO_Steven,"Parking 12 Jun 15",2015-06-12,0000-00-00,20.91,P37_CIOBO_Steven.pdf,30
P37_CONROY_Pat_8_18,CONROY_Pat,P37_CONROY_Pat,"Parking between 23 Jul and 28 Jul 15",2015-07-23,2015-07-28,97.38,P37_CONROY_Pat.pdf,8
P37_CONROY_Pat_8_19,CONROY_Pat,P37_CONROY_Pat,"Parking between 9 Aug and 14 Aug 15",2015-08-09,2015-08-14,97.38,P37_CONROY_Pat.pdf,8
P37_CONROY_Pat_8_20,CONROY_Pat,P37_CONROY_Pat,"Parking between 16 Aug and 21 Aug 15",2015-08-16,2015-08-21,97.38,P37_CONROY_Pat.pdf,8
P37_CONROY_Pat_8_21,CONROY_Pat,P37_CONROY_Pat,"Parking 4 Sep 15",2015-09-04,0000-00-00,26.13,P37_CONROY_Pat.pdf,8
P37_CONROY_Pat_8_22,CONROY_Pat,P37_CONROY_Pat,"Parking between 6 Sep and 10 Sep 15",2015-09-06,2015-09-10,97.38,P37_CONROY_Pat.pdf,8
P37_CONROY_Pat_8_23,CONROY_Pat,P37_CONROY_Pat,"Parking between 13 Sep and 18 Sep 15",2015-09-13,2015-09-18,117.05,P37_CONROY_Pat.pdf,8
P37_FIFIELD_Mitch_12_12,FIFIELD_Mitch,P37_FIFIELD_Mitch,"Parking between 4 Jul and 5 Jul 15",2015-07-04,2015-07-05,106.64,P37_FIFIELD_Mitch.pdf,12
P37_FIFIELD_Mitch_12_13,FIFIELD_Mitch,P37_FIFIELD_Mitch,"Parking between 5 Jul and 6 Jul 15",2015-07-05,2015-07-06,106.64,P37_FIFIELD_Mitch.pdf,12
P37_FIFIELD_Mitch_12_14,FIFIELD_Mitch,P37_FIFIELD_Mitch,"Parking between 29 Jul and 30 Jul 15",2015-07-29,2015-07-30,114.05,P37_FIFIELD_Mitch.pdf,12
P37_FIFIELD_Mitch_12_15,FIFIELD_Mitch,P37_FIFIELD_Mitch,"Parking 3 Aug 15",2015-08-03,0000-00-00,61.20,P37_FIFIELD_Mitch.pdf,12
P37_FIFIELD_Mitch_12_16,FIFIELD_Mitch,P37_FIFIELD_Mitch,"Parking between 4 Aug and 6 Aug 15",2015-08-04,2015-08-06,114.05,P37_FIFIELD_Mitch.pdf,12
P37_FIFIELD_Mitch_12_17,FIFIELD_Mitch,P37_FIFIELD_Mitch,"Parking between 31 Aug and 2 Sep 15",2015-08-31,2015-09-02,171.55,P37_FIFIELD_Mitch.pdf,12
P37_FIFIELD_Mitch_12_18,FIFIELD_Mitch,P37_FIFIELD_Mitch,"Parking 28 Sep 15",2015-09-28,0000-00-00,61.20,P37_FIFIELD_Mitch.pdf,12
P37_FIFIELD_Mitch_12_19,FIFIELD_Mitch,P37_FIFIELD_Mitch,"Parking between 29 Sep and 1 Oct 15",2015-09-29,2015-10-01,171.55,P37_FIFIELD_Mitch.pdf,12
P37_FIFIELD_Mitch_12_20,FIFIELD_Mitch,P37_FIFIELD_Mitch,"Parking between 2 Oct and 3 Oct 15",2015-10-02,2015-10-03,114.05,P37_FIFIELD_Mitch.pdf,12
P37_FIFIELD_Mitch_12_21,FIFIELD_Mitch,P37_FIFIELD_Mitch,"Parking between 7 Oct and 8 Oct 15",2015-10-07,2015-10-08,61.20,P37_FIFIELD_Mitch.pdf,12
P37_FIFIELD_Mitch_12_22,FIFIELD_Mitch,P37_FIFIELD_Mitch,"Parking between 11 Oct and 16 Oct 15",2015-10-11,2015-10-16,132.60,P37_FIFIELD_Mitch.pdf,12
P37_FIFIELD_Mitch_12_23,FIFIELD_Mitch,P37_FIFIELD_Mitch,"Parking between 25 Oct and 27 Oct 15",2015-10-25,2015-10-27,110.35,P37_FIFIELD_Mitch.pdf,12
P37_FIFIELD_Mitch_12_24,FIFIELD_Mitch,P37_FIFIELD_Mitch,"Parking between 28 Oct and 29 Oct 15",2015-10-28,2015-10-29,110.35,P37_FIFIELD_Mitch.pdf,12
P37_FIFIELD_Mitch_12_25,FIFIELD_Mitch,P37_FIFIELD_Mitch,"Parking between 15 Nov and 18 Nov 15",2015-11-15,2015-11-18,119.62,P37_FIFIELD_Mitch.pdf,12
P37_FIFIELD_Mitch_12_26,FIFIELD_Mitch,P37_FIFIELD_Mitch,"Parking 20 Nov 15",2015-11-20,0000-00-00,54.71,P37_FIFIELD_Mitch.pdf,12
P37_FIFIELD_Mitch_22_16,FIFIELD_Mitch,P37_FIFIELD_Mitch,"Parking between 13 Apr and 14 Apr 15",2015-04-13,2015-04-14,114.05,P37_FIFIELD_Mitch.pdf,22
P37_FITZGIBBON_Joel_10_8,FITZGIBBON_Joel,P37_FITZGIBBON_Joel,"Parking between 22 Nov and 4 Dec 15",2015-11-22,2015-12-04,134.72,P37_FITZGIBBON_Joel.pdf,10
P37_HALL_Jill_8_3,HALL_Jill,P37_HALL_Jill,"Parking between 20 Jul and 21 Jul 15",2015-07-20,2015-07-21,59.09,P37_HALL_Jill.pdf,8
P37_HALL_Jill_8_4,HALL_Jill,P37_HALL_Jill,"Parking between 30 Sep and 1 Oct 15",2015-09-30,2015-10-01,60.91,P37_HALL_Jill.pdf,8
P37_HENDY_Peter_19_16,HENDY_Peter,P37_HENDY_Peter,"Parking between 26 Jun and 27 Jun 15",2015-06-26,2015-06-27,34.09,P37_HENDY_Peter.pdf,19
P37_HUSIC_Ed_10_31,HUSIC_Ed,P37_HUSIC_Ed,"Parking between 5 Oct and 6 Oct 15",2015-10-05,2015-10-06,53.18,P37_HUSIC_Ed.pdf,10
P37_HUTCHINSON_Eric_8_34,HUTCHINSON_Eric,P37_HUTCHINSON_Eric,"Parking between 6 Sep and 11 Sep 15",2015-09-06,2015-09-11,72.73,P37_HUTCHINSON_Eric.pdf,8
P37_HUTCHINSON_Eric_8_35,HUTCHINSON_Eric,P37_HUTCHINSON_Eric,"Parking between 18 Oct and 23 Oct 15",2015-10-18,2015-10-23,72.73,P37_HUTCHINSON_Eric.pdf,8
P37_HUTCHINSON_Eric_8_36,HUTCHINSON_Eric,P37_HUTCHINSON_Eric,"Parking 8 Nov 15",2015-11-08,0000-00-00,72.73,P37_HUTCHINSON_Eric.pdf,8
P37_KETTER_Chris_14_8,KETTER_Chris,P37_KETTER_Chris,"Parking between 3 Sep and 4 Sep 15",2015-09-03,2015-09-04,45.45,P37_KETTER_Chris.pdf,14
P37_LEIGH_Andrew_10_10,LEIGH_Andrew,P37_LEIGH_Andrew,"Parking 16 Jul 15",2015-07-16,0000-00-00,26.36,P37_LEIGH_Andrew.pdf,10
P37_LEIGH_Andrew_10_11,LEIGH_Andrew,P37_LEIGH_Andrew,"Parking between 23 Jul and 26 Jul 15",2015-07-23,2015-07-26,105.45,P37_LEIGH_Andrew.pdf,10
P37_LEIGH_Andrew_10_12,LEIGH_Andrew,P37_LEIGH_Andrew,"Parking 30 Jul 15",2015-07-30,0000-00-00,26.36,P37_LEIGH_Andrew.pdf,10
P37_LEIGH_Andrew_10_13,LEIGH_Andrew,P37_LEIGH_Andrew,"Parking 3 Aug 15",2015-08-03,0000-00-00,26.36,P37_LEIGH_Andrew.pdf,10
P37_LEIGH_Andrew_10_14,LEIGH_Andrew,P37_LEIGH_Andrew,"Parking 5 Aug 15",2015-08-05,0000-00-00,26.36,P37_LEIGH_Andrew.pdf,10
P37_LEIGH_Andrew_10_15,LEIGH_Andrew,P37_LEIGH_Andrew,"Parking between 6 Aug and 8 Aug 15",2015-08-06,2015-08-08,54.55,P37_LEIGH_Andrew.pdf,10
P37_LEIGH_Andrew_10_16,LEIGH_Andrew,P37_LEIGH_Andrew,"Parking between 13 Aug and 14 Aug 15",2015-08-13,2015-08-14,30.91,P37_LEIGH_Andrew.pdf,10
P37_LEIGH_Andrew_10_17,LEIGH_Andrew,P37_LEIGH_Andrew,"Parking between 16 Aug and 17 Aug 15",2015-08-16,2015-08-17,26.36,P37_LEIGH_Andrew.pdf,10
P37_LEIGH_Andrew_10_18,LEIGH_Andrew,P37_LEIGH_Andrew,"Parking 24 Aug 15",2015-08-24,0000-00-00,26.36,P37_LEIGH_Andrew.pdf,10
P37_LEIGH_Andrew_10_19,LEIGH_Andrew,P37_LEIGH_Andrew,"Parking between 25 Aug and 26 Aug 15",2015-08-25,2015-08-26,37.27,P37_LEIGH_Andrew.pdf,10
P37_LEIGH_Andrew_10_20,LEIGH_Andrew,P37_LEIGH_Andrew,"Parking between 27 Aug and 28 Aug 15",2015-08-27,2015-08-28,34.09,P37_LEIGH_Andrew.pdf,10
P37_LEIGH_Andrew_10_21,LEIGH_Andrew,P37_LEIGH_Andrew,"Parking between 22 Sep and 23 Sep 15",2015-09-22,2015-09-23,52.73,P37_LEIGH_Andrew.pdf,10
P37_LEIGH_Andrew_10_22,LEIGH_Andrew,P37_LEIGH_Andrew,"Parking 25 Sep 15",2015-09-25,0000-00-00,26.36,P37_LEIGH_Andrew.pdf,10
P37_LEIGH_Andrew_10_23,LEIGH_Andrew,P37_LEIGH_Andrew,"Parking 8 Oct 15",2015-10-08,0000-00-00,26.36,P37_LEIGH_Andrew.pdf,10
P37_LEIGH_Andrew_10_24,LEIGH_Andrew,P37_LEIGH_Andrew,"Parking 5 Nov 15",2015-11-05,0000-00-00,26.36,P37_LEIGH_Andrew.pdf,10
