entry_id,parl_id,source_id,details,date,amount,source_pdf,source_pagenum
P37_ALBANESE_Anthony_12_10,ALBANESE_Anthony,P37_ALBANESE_Anthony,"1 Oct 15",2015-10-01,10.36,P37_ALBANESE_Anthony.pdf,12
P37_ALBANESE_Anthony_12_11,ALBANESE_Anthony,P37_ALBANESE_Anthony,"2 Oct 15",2015-10-02,12.56,P37_ALBANESE_Anthony.pdf,12
P37_ALBANESE_Anthony_12_12,ALBANESE_Anthony,P37_ALBANESE_Anthony,"2 Oct 15",2015-10-02,9.21,P37_ALBANESE_Anthony.pdf,12
P37_ALBANESE_Anthony_12_13,ALBANESE_Anthony,P37_ALBANESE_Anthony,"4 Oct 15",2015-10-04,16.88,P37_ALBANESE_Anthony.pdf,12
P37_ALBANESE_Anthony_12_14,ALBANESE_Anthony,P37_ALBANESE_Anthony,"15 Oct 15",2015-10-15,55.54,P37_ALBANESE_Anthony.pdf,12
P37_ALBANESE_Anthony_12_15,ALBANESE_Anthony,P37_ALBANESE_Anthony,"16 Oct 15",2015-10-16,6.71,P37_ALBANESE_Anthony.pdf,12
P37_ALBANESE_Anthony_12_16,ALBANESE_Anthony,P37_ALBANESE_Anthony,"16 Oct 15",2015-10-16,20.33,P37_ALBANESE_Anthony.pdf,12
P37_ALBANESE_Anthony_12_17,ALBANESE_Anthony,P37_ALBANESE_Anthony,"29 Oct 15",2015-10-29,12.94,P37_ALBANESE_Anthony.pdf,12
P37_ALBANESE_Anthony_12_3,ALBANESE_Anthony,P37_ALBANESE_Anthony,"5 Jul 15",2015-07-05,31.84,P37_ALBANESE_Anthony.pdf,12
P37_ALBANESE_Anthony_12_4,ALBANESE_Anthony,P37_ALBANESE_Anthony,"8 Jul 15",2015-07-08,37.21,P37_ALBANESE_Anthony.pdf,12
P37_ALBANESE_Anthony_12_5,ALBANESE_Anthony,P37_ALBANESE_Anthony,"23 Jul 15",2015-07-23,21.77,P37_ALBANESE_Anthony.pdf,12
P37_ALBANESE_Anthony_12_6,ALBANESE_Anthony,P37_ALBANESE_Anthony,"8 Aug 15",2015-08-08,13.13,P37_ALBANESE_Anthony.pdf,12
P37_ALBANESE_Anthony_12_7,ALBANESE_Anthony,P37_ALBANESE_Anthony,"2 Sep 15",2015-09-02,11.32,P37_ALBANESE_Anthony.pdf,12
P37_ALBANESE_Anthony_12_8,ALBANESE_Anthony,P37_ALBANESE_Anthony,"17 Sep 15",2015-09-17,25.32,P37_ALBANESE_Anthony.pdf,12
P37_ALBANESE_Anthony_12_9,ALBANESE_Anthony,P37_ALBANESE_Anthony,"1 Oct 15",2015-10-01,12.18,P37_ALBANESE_Anthony.pdf,12
