entry_id,parl_id,source_id,details,start_date,end_date,location,num_nights,rate,spouse,amount,source_pdf,source_pagenum
P37_BILLSON_Bruce_5_4,BILLSON_Bruce,P37_BILLSON_Bruce,"Minister - Official Business",2015-07-09,2015-07-09,Sydney,1,435.00,0.00,435.00,P37_BILLSON_Bruce.pdf,5
P37_BILLSON_Bruce_5_5,BILLSON_Bruce,P37_BILLSON_Bruce,"Minister - Official Business",2015-07-13,2015-07-13,Canberra,1,271.00,0.00,271.00,P37_BILLSON_Bruce.pdf,5
P37_BILLSON_Bruce_5_6,BILLSON_Bruce,P37_BILLSON_Bruce,"Minister - Official Business",2015-07-14,2015-07-14,Gladstone,1,360.00,0.00,360.00,P37_BILLSON_Bruce.pdf,5
P37_BILLSON_Bruce_5_7,BILLSON_Bruce,P37_BILLSON_Bruce,"Minister - Official Business",2015-07-15,2015-07-15,Sydney,1,435.00,0.00,435.00,P37_BILLSON_Bruce.pdf,5
P37_BILLSON_Bruce_5_8,BILLSON_Bruce,P37_BILLSON_Bruce,"Minister - Official Business",2015-07-20,2015-07-20,Canberra,1,271.00,0.00,271.00,P37_BILLSON_Bruce.pdf,5
P37_BILLSON_Bruce_5_9,BILLSON_Bruce,P37_BILLSON_Bruce,"Minister - Official Business",2015-07-21,2015-07-21,Campbelltown,1,360.00,0.00,360.00,P37_BILLSON_Bruce.pdf,5
P37_BILYK_Catryna_18_4,BILYK_Catryna,P37_BILYK_Catryna,"Sittings of Parliament",2015-06-14,2015-06-23,Canberra,10,271.00,0.00,2710.00,P37_BILYK_Catryna.pdf,18
P37_BILYK_Catryna_18_5,BILYK_Catryna,P37_BILYK_Catryna,"Electorate Business",2015-06-28,2015-06-28,Launceston,1,281.00,0.00,281.00,P37_BILYK_Catryna.pdf,18
P37_BILYK_Catryna_5_10,BILYK_Catryna,P37_BILYK_Catryna,"Sittings of Parliament",2015-08-16,2015-08-20,Canberra,5,271.00,0.00,1355.00,P37_BILYK_Catryna.pdf,5
P37_BILYK_Catryna_5_11,BILYK_Catryna,P37_BILYK_Catryna,"Community Affairs",2015-08-27,2015-08-27,Adelaide,1,357.00,0.00,357.00,P37_BILYK_Catryna.pdf,5
P37_BILYK_Catryna_5_12,BILYK_Catryna,P37_BILYK_Catryna,"Legal and Constitutional Affairs",2015-08-31,2015-08-31,Perth,1,411.00,0.00,411.00,P37_BILYK_Catryna.pdf,5
P37_BILYK_Catryna_5_13,BILYK_Catryna,P37_BILYK_Catryna,"Sittings of Parliament",2015-09-06,2015-09-10,Canberra,5,273.00,0.00,1365.00,P37_BILYK_Catryna.pdf,5
P37_BILYK_Catryna_5_14,BILYK_Catryna,P37_BILYK_Catryna,"Sittings of Parliament",2015-09-14,2015-09-17,Canberra,4,273.00,0.00,1092.00,P37_BILYK_Catryna.pdf,5
P37_BILYK_Catryna_5_15,BILYK_Catryna,P37_BILYK_Catryna,"Electorate Business",2015-09-30,2015-09-30,Melbourne,1,379.00,0.00,379.00,P37_BILYK_Catryna.pdf,5
P37_BILYK_Catryna_5_16,BILYK_Catryna,P37_BILYK_Catryna,"Senate Estimates",2015-10-18,2015-10-20,Canberra,3,273.00,0.00,819.00,P37_BILYK_Catryna.pdf,5
P37_BILYK_Catryna_5_17,BILYK_Catryna,P37_BILYK_Catryna,"Electorate Business",2015-10-24,2015-10-24,"St Helens",1,258.00,0.00,258.00,P37_BILYK_Catryna.pdf,5
P37_BILYK_Catryna_5_18,BILYK_Catryna,P37_BILYK_Catryna,"Legal and Constitutional Affairs",2015-10-26,2015-10-26,Cairns,1,291.00,0.00,291.00,P37_BILYK_Catryna.pdf,5
P37_BILYK_Catryna_5_19,BILYK_Catryna,P37_BILYK_Catryna,"Electorate Business",2015-10-27,2015-10-27,Darwin,1,438.00,0.00,438.00,P37_BILYK_Catryna.pdf,5
P37_BILYK_Catryna_5_20,BILYK_Catryna,P37_BILYK_Catryna,"Legal and Constitutional Affairs",2015-10-28,2015-10-28,Darwin,1,438.00,0.00,438.00,P37_BILYK_Catryna.pdf,5
