entry_id,parl_id,source_id,details,start_date,end_date,location,num_nights,rate,spouse,amount,source_pdf,source_pagenum
P34_ABBOTT_Tony_5_10,ABBOTT_Tony,P34_ABBOTT_Tony,"Prime Minister",2014-02-22,2014-02-22,Melbourne,1,558.00,0.00,558.00,P34_ABBOTT_Tony.pdf,5
P34_ABBOTT_Tony_5_11,ABBOTT_Tony,P34_ABBOTT_Tony,"Prime Minister",2014-02-27,2014-02-28,Darwin,2,558.00,0.00,1116.00,P34_ABBOTT_Tony.pdf,5
P34_ABBOTT_Tony_5_12,ABBOTT_Tony,P34_ABBOTT_Tony,"Prime Minister",2014-03-10,2014-03-10,Perth,1,558.00,0.00,558.00,P34_ABBOTT_Tony.pdf,5
P34_ABBOTT_Tony_5_13,ABBOTT_Tony,P34_ABBOTT_Tony,"Prime Minister",2014-03-12,2014-03-13,Melbourne,2,558.00,0.00,1116.00,P34_ABBOTT_Tony.pdf,5
P34_ABBOTT_Tony_5_14,ABBOTT_Tony,P34_ABBOTT_Tony,"Prime Minister",2014-03-30,2014-04-02,Perth,4,558.00,0.00,2232.00,P34_ABBOTT_Tony.pdf,5
P34_ABBOTT_Tony_5_15,ABBOTT_Tony,P34_ABBOTT_Tony,"Prime Minister",2014-04-16,2014-04-16,Melbourne,1,558.00,0.00,558.00,P34_ABBOTT_Tony.pdf,5
P34_ABBOTT_Tony_5_16,ABBOTT_Tony,P34_ABBOTT_Tony,"Prime Minister",2014-04-28,2014-04-30,Melbourne,3,558.00,0.00,1674.00,P34_ABBOTT_Tony.pdf,5
P34_ABBOTT_Tony_5_17,ABBOTT_Tony,P34_ABBOTT_Tony,"Prime Minister",2014-05-07,2014-05-08,Melbourne,2,558.00,0.00,1116.00,P34_ABBOTT_Tony.pdf,5
P34_ABBOTT_Tony_5_18,ABBOTT_Tony,P34_ABBOTT_Tony,"Prime Minister",2014-05-16,2014-05-16,Melbourne,1,558.00,0.00,558.00,P34_ABBOTT_Tony.pdf,5
P34_ABBOTT_Tony_5_19,ABBOTT_Tony,P34_ABBOTT_Tony,"Prime Minister",2014-05-17,2014-05-17,Melbourne,1,558.00,0.00,558.00,P34_ABBOTT_Tony.pdf,5
P34_ABBOTT_Tony_5_20,ABBOTT_Tony,P34_ABBOTT_Tony,"Prime Minister",2014-05-18,2014-05-18,Brisbane,1,558.00,0.00,558.00,P34_ABBOTT_Tony.pdf,5
P34_ABBOTT_Tony_5_21,ABBOTT_Tony,P34_ABBOTT_Tony,"Prime Minister",2014-05-20,2014-05-21,Melbourne,2,558.00,0.00,1116.00,P34_ABBOTT_Tony.pdf,5
P34_ABBOTT_Tony_5_22,ABBOTT_Tony,P34_ABBOTT_Tony,"Prime Minister",2014-05-23,2014-05-23,Adelaide,1,558.00,0.00,558.00,P34_ABBOTT_Tony.pdf,5
P34_ABBOTT_Tony_5_23,ABBOTT_Tony,P34_ABBOTT_Tony,"Prime Minister",2014-05-31,2014-05-31,Melbourne,1,558.00,0.00,558.00,P34_ABBOTT_Tony.pdf,5
P34_ABBOTT_Tony_5_24,ABBOTT_Tony,P34_ABBOTT_Tony,"Prime Minister",2014-06-22,2014-06-22,Melbourne,1,558.00,0.00,558.00,P34_ABBOTT_Tony.pdf,5
P34_ABBOTT_Tony_5_4,ABBOTT_Tony,P34_ABBOTT_Tony,"Prime Minister",2014-01-03,2014-01-03,Melbourne,1,558.00,0.00,558.00,P34_ABBOTT_Tony.pdf,5
P34_ABBOTT_Tony_5_5,ABBOTT_Tony,P34_ABBOTT_Tony,"Prime Minister",2014-02-04,2014-02-04,Adelaide,1,558.00,0.00,558.00,P34_ABBOTT_Tony.pdf,5
P34_ABBOTT_Tony_5_6,ABBOTT_Tony,P34_ABBOTT_Tony,"Prime Minister",2014-02-05,2014-02-05,Brisbane,1,558.00,0.00,558.00,P34_ABBOTT_Tony.pdf,5
P34_ABBOTT_Tony_5_7,ABBOTT_Tony,P34_ABBOTT_Tony,"Prime Minister",2014-02-13,2014-02-13,Melbourne,1,558.00,0.00,558.00,P34_ABBOTT_Tony.pdf,5
P34_ABBOTT_Tony_5_8,ABBOTT_Tony,P34_ABBOTT_Tony,"Prime Minister",2014-02-16,2014-02-16,"Broken Hill",1,558.00,0.00,558.00,P34_ABBOTT_Tony.pdf,5
P34_ABBOTT_Tony_5_9,ABBOTT_Tony,P34_ABBOTT_Tony,"Prime Minister",2014-02-18,2014-02-19,Melbourne,2,558.00,0.00,1116.00,P34_ABBOTT_Tony.pdf,5
P34_ABETZ_Eric_28_4,ABETZ_Eric,P34_ABETZ_Eric,"Minister - Official Business",2013-11-17,2013-11-21,Canberra,5,268.00,0.00,1340.00,P34_ABETZ_Eric.pdf,28
P34_ABETZ_Eric_28_5,ABETZ_Eric,P34_ABETZ_Eric,"Sittings of Parliament",2013-12-01,2013-12-05,Canberra,5,268.00,0.00,1340.00,P34_ABETZ_Eric.pdf,28
P34_ABETZ_Eric_28_6,ABETZ_Eric,P34_ABETZ_Eric,"Sittings of Parliament",2013-12-08,2013-12-12,Canberra,5,268.00,0.00,1340.00,P34_ABETZ_Eric.pdf,28
P34_ABETZ_Eric_28_7,ABETZ_Eric,P34_ABETZ_Eric,"Minister - Official Business",2013-12-16,2013-12-16,Sydney,1,432.00,0.00,432.00,P34_ABETZ_Eric.pdf,28
P34_ABETZ_Eric_28_8,ABETZ_Eric,P34_ABETZ_Eric,"Minister - Official Business",2013-12-21,2013-12-21,Bicheno,1,357.00,10.00,367.00,P34_ABETZ_Eric.pdf,28
P34_ABETZ_Eric_5_10,ABETZ_Eric,P34_ABETZ_Eric,"Minister - Official Business",2014-02-20,2014-02-20,Melbourne,1,432.00,0.00,432.00,P34_ABETZ_Eric.pdf,5
P34_ABETZ_Eric_5_11,ABETZ_Eric,P34_ABETZ_Eric,"Senate Estimates",2014-02-23,2014-02-27,Canberra,5,268.00,0.00,1340.00,P34_ABETZ_Eric.pdf,5
P34_ABETZ_Eric_5_12,ABETZ_Eric,P34_ABETZ_Eric,"Sittings of Parliament",2014-03-02,2014-03-05,Canberra,4,268.00,0.00,1072.00,P34_ABETZ_Eric.pdf,5
P34_ABETZ_Eric_5_13,ABETZ_Eric,P34_ABETZ_Eric,"Minister - Official Business",2014-03-06,2014-03-06,Melbourne,1,432.00,0.00,432.00,P34_ABETZ_Eric.pdf,5
P34_ABETZ_Eric_5_14,ABETZ_Eric,P34_ABETZ_Eric,"Minister - Official Business",2014-03-12,2014-03-12,Sydney,1,432.00,0.00,432.00,P34_ABETZ_Eric.pdf,5
P34_ABETZ_Eric_5_15,ABETZ_Eric,P34_ABETZ_Eric,"Sittings of Parliament",2014-03-16,2014-03-20,Canberra,5,268.00,20.00,1360.00,P34_ABETZ_Eric.pdf,5
P34_ABETZ_Eric_5_16,ABETZ_Eric,P34_ABETZ_Eric,"Sittings of Parliament",2014-03-23,2014-03-26,Canberra,4,268.00,0.00,1072.00,P34_ABETZ_Eric.pdf,5
