entry_id,parl_id,source_id,details,location,date,amount,source_pdf,source_pagenum
P34_ABBOTT_Tony_10_16,ABBOTT_Tony,P34_ABBOTT_Tony,"1 Jan 14 - Sydney",Sydney,2014-01-01,78.60,P34_ABBOTT_Tony.pdf,10
P34_ABBOTT_Tony_10_17,ABBOTT_Tony,P34_ABBOTT_Tony,"1 Jan 14 - Sydney",Sydney,2014-01-01,106.19,P34_ABBOTT_Tony.pdf,10
P34_ABBOTT_Tony_10_18,ABBOTT_Tony,P34_ABBOTT_Tony,"1 Jan 14 - Sydney",Sydney,2014-01-01,103.60,P34_ABBOTT_Tony.pdf,10
P34_ABBOTT_Tony_10_19,ABBOTT_Tony,P34_ABBOTT_Tony,"1 Jan 14 - Canberra",Canberra,2014-01-01,78.60,P34_ABBOTT_Tony.pdf,10
P34_ABBOTT_Tony_10_20,ABBOTT_Tony,P34_ABBOTT_Tony,"2 Jan 14 - Canberra",Canberra,2014-01-02,64.19,P34_ABBOTT_Tony.pdf,10
P34_ABBOTT_Tony_10_21,ABBOTT_Tony,P34_ABBOTT_Tony,"2 Jan 14 - Sydney",Sydney,2014-01-02,241.40,P34_ABBOTT_Tony.pdf,10
P34_ABBOTT_Tony_10_22,ABBOTT_Tony,P34_ABBOTT_Tony,"2 Jan 14 - Sydney",Sydney,2014-01-02,146.72,P34_ABBOTT_Tony.pdf,10
P34_ABBOTT_Tony_10_23,ABBOTT_Tony,P34_ABBOTT_Tony,"3 Jan 14 - Sydney",Sydney,2014-01-03,92.68,P34_ABBOTT_Tony.pdf,10
P34_ABBOTT_Tony_10_24,ABBOTT_Tony,P34_ABBOTT_Tony,"3 Jan 14 - Sydney",Sydney,2014-01-03,55.02,P34_ABBOTT_Tony.pdf,10
P34_ABBOTT_Tony_10_25,ABBOTT_Tony,P34_ABBOTT_Tony,"3 Jan 14 - Sydney",Sydney,2014-01-03,80.02,P34_ABBOTT_Tony.pdf,10
P34_ABBOTT_Tony_10_26,ABBOTT_Tony,P34_ABBOTT_Tony,"3 Jan 14 - Melbourne",Melbourne,2014-01-03,50.37,P34_ABBOTT_Tony.pdf,10
P34_ABBOTT_Tony_10_27,ABBOTT_Tony,P34_ABBOTT_Tony,"3 Jan 14 - Melbourne",Melbourne,2014-01-03,302.61,P34_ABBOTT_Tony.pdf,10
P34_ABBOTT_Tony_10_28,ABBOTT_Tony,P34_ABBOTT_Tony,"4 Jan 14 - Melbourne",Melbourne,2014-01-04,80.50,P34_ABBOTT_Tony.pdf,10
P34_ABBOTT_Tony_10_29,ABBOTT_Tony,P34_ABBOTT_Tony,"4 Jan 14 - Sydney",Sydney,2014-01-04,84.20,P34_ABBOTT_Tony.pdf,10
P34_ABBOTT_Tony_10_30,ABBOTT_Tony,P34_ABBOTT_Tony,"7 Jan 14 - Sydney",Sydney,2014-01-07,81.22,P34_ABBOTT_Tony.pdf,10
P34_ABBOTT_Tony_10_31,ABBOTT_Tony,P34_ABBOTT_Tony,"8 Jan 14 - Sydney",Sydney,2014-01-08,189.95,P34_ABBOTT_Tony.pdf,10
P34_ABBOTT_Tony_10_32,ABBOTT_Tony,P34_ABBOTT_Tony,"13 Jan 14 - Canberra",Canberra,2014-01-13,40.00,P34_ABBOTT_Tony.pdf,10
P34_ABBOTT_Tony_10_33,ABBOTT_Tony,P34_ABBOTT_Tony,"14 Jan 14 - Canberra",Canberra,2014-01-14,535.79,P34_ABBOTT_Tony.pdf,10
P34_ABBOTT_Tony_10_34,ABBOTT_Tony,P34_ABBOTT_Tony,"14 Jan 14 - Canberra",Canberra,2014-01-14,65.00,P34_ABBOTT_Tony.pdf,10
P34_ABBOTT_Tony_10_35,ABBOTT_Tony,P34_ABBOTT_Tony,"19 Jan 14 - Canberra",Canberra,2014-01-19,78.60,P34_ABBOTT_Tony.pdf,10
P34_ABBOTT_Tony_10_36,ABBOTT_Tony,P34_ABBOTT_Tony,"19 Jan 14 - Canberra",Canberra,2014-01-19,78.60,P34_ABBOTT_Tony.pdf,10
P34_ABBOTT_Tony_10_37,ABBOTT_Tony,P34_ABBOTT_Tony,"25 Jan 14 - Canberra",Canberra,2014-01-25,98.25,P34_ABBOTT_Tony.pdf,10
P34_ABBOTT_Tony_10_38,ABBOTT_Tony,P34_ABBOTT_Tony,"26 Jan 14 - Canberra",Canberra,2014-01-26,170.30,P34_ABBOTT_Tony.pdf,10
P34_ABBOTT_Tony_11_10,ABBOTT_Tony,P34_ABBOTT_Tony,"3 Feb 14 - Sydney",Sydney,2014-02-03,92.68,P34_ABBOTT_Tony.pdf,11
P34_ABBOTT_Tony_11_11,ABBOTT_Tony,P34_ABBOTT_Tony,"3 Feb 14 - Canberra",Canberra,2014-02-03,77.29,P34_ABBOTT_Tony.pdf,11
P34_ABBOTT_Tony_11_12,ABBOTT_Tony,P34_ABBOTT_Tony,"4 Feb 14 - Canberra",Canberra,2014-02-04,78.60,P34_ABBOTT_Tony.pdf,11
P34_ABBOTT_Tony_11_13,ABBOTT_Tony,P34_ABBOTT_Tony,"4 Feb 14 - Adelaide",Adelaide,2014-02-04,209.60,P34_ABBOTT_Tony.pdf,11
P34_ABBOTT_Tony_11_14,ABBOTT_Tony,P34_ABBOTT_Tony,"4 Feb 14 - Adelaide",Adelaide,2014-02-04,170.30,P34_ABBOTT_Tony.pdf,11
P34_ABBOTT_Tony_11_15,ABBOTT_Tony,P34_ABBOTT_Tony,"5 Feb 14 - Adelaide",Adelaide,2014-02-05,360.25,P34_ABBOTT_Tony.pdf,11
P34_ABBOTT_Tony_11_16,ABBOTT_Tony,P34_ABBOTT_Tony,"5 Feb 14 - Adelaide",Adelaide,2014-02-05,332.85,P34_ABBOTT_Tony.pdf,11
P34_ABBOTT_Tony_11_17,ABBOTT_Tony,P34_ABBOTT_Tony,"5 Feb 14 - Brisbane",Brisbane,2014-02-05,191.26,P34_ABBOTT_Tony.pdf,11
P34_ABBOTT_Tony_11_18,ABBOTT_Tony,P34_ABBOTT_Tony,"5 Feb 14 - Brisbane",Brisbane,2014-02-05,69.50,P34_ABBOTT_Tony.pdf,11
P34_ABBOTT_Tony_11_19,ABBOTT_Tony,P34_ABBOTT_Tony,"5 Feb 14 - Brisbane",Brisbane,2014-02-05,246.28,P34_ABBOTT_Tony.pdf,11
P34_ABBOTT_Tony_11_20,ABBOTT_Tony,P34_ABBOTT_Tony,"6 Feb 14 - Brisbane",Brisbane,2014-02-06,515.40,P34_ABBOTT_Tony.pdf,11
P34_ABBOTT_Tony_11_21,ABBOTT_Tony,P34_ABBOTT_Tony,"6 Feb 14 - Brisbane",Brisbane,2014-02-06,65.50,P34_ABBOTT_Tony.pdf,11
P34_ABBOTT_Tony_11_22,ABBOTT_Tony,P34_ABBOTT_Tony,"6 Feb 14 - Brisbane",Brisbane,2014-02-06,324.25,P34_ABBOTT_Tony.pdf,11
P34_ABBOTT_Tony_11_23,ABBOTT_Tony,P34_ABBOTT_Tony,"6 Feb 14 - Sydney",Sydney,2014-02-06,76.45,P34_ABBOTT_Tony.pdf,11
P34_ABBOTT_Tony_11_24,ABBOTT_Tony,P34_ABBOTT_Tony,"6 Feb 14 - Sydney",Sydney,2014-02-06,51.45,P34_ABBOTT_Tony.pdf,11
P34_ABBOTT_Tony_11_25,ABBOTT_Tony,P34_ABBOTT_Tony,"6 Feb 14 - Sydney",Sydney,2014-02-06,48.47,P34_ABBOTT_Tony.pdf,11
P34_ABBOTT_Tony_11_26,ABBOTT_Tony,P34_ABBOTT_Tony,"6 Feb 14 - Sydney",Sydney,2014-02-06,100.45,P34_ABBOTT_Tony.pdf,11
P34_ABBOTT_Tony_11_27,ABBOTT_Tony,P34_ABBOTT_Tony,"7 Feb 14 - Sydney",Sydney,2014-02-07,80.89,P34_ABBOTT_Tony.pdf,11
P34_ABBOTT_Tony_11_28,ABBOTT_Tony,P34_ABBOTT_Tony,"7 Feb 14 - Sydney",Sydney,2014-02-07,176.85,P34_ABBOTT_Tony.pdf,11
P34_ABBOTT_Tony_11_29,ABBOTT_Tony,P34_ABBOTT_Tony,"7 Feb 14 - Sydney",Sydney,2014-02-07,203.16,P34_ABBOTT_Tony.pdf,11
P34_ABBOTT_Tony_11_3,ABBOTT_Tony,P34_ABBOTT_Tony,"26 Jan 14 - Canberra",Canberra,2014-01-26,144.10,P34_ABBOTT_Tony.pdf,11
P34_ABBOTT_Tony_11_30,ABBOTT_Tony,P34_ABBOTT_Tony,"7 Feb 14 - Sydney",Sydney,2014-02-07,96.94,P34_ABBOTT_Tony.pdf,11
P34_ABBOTT_Tony_11_31,ABBOTT_Tony,P34_ABBOTT_Tony,"7 Feb 14 - Sydney",Sydney,2014-02-07,96.94,P34_ABBOTT_Tony.pdf,11
P34_ABBOTT_Tony_11_32,ABBOTT_Tony,P34_ABBOTT_Tony,"7 Feb 14 - Sydney",Sydney,2014-02-07,251.10,P34_ABBOTT_Tony.pdf,11
P34_ABBOTT_Tony_11_33,ABBOTT_Tony,P34_ABBOTT_Tony,"8 Feb 14 - Melbourne",Melbourne,2014-02-08,287.74,P34_ABBOTT_Tony.pdf,11
P34_ABBOTT_Tony_11_34,ABBOTT_Tony,P34_ABBOTT_Tony,"8 Feb 14 - Sydney",Sydney,2014-02-08,84.20,P34_ABBOTT_Tony.pdf,11
P34_ABBOTT_Tony_11_35,ABBOTT_Tony,P34_ABBOTT_Tony,"9 Feb 14 - Sydney",Sydney,2014-02-09,110.12,P34_ABBOTT_Tony.pdf,11
P34_ABBOTT_Tony_11_36,ABBOTT_Tony,P34_ABBOTT_Tony,"9 Feb 14 - Canberra",Canberra,2014-02-09,40.00,P34_ABBOTT_Tony.pdf,11
