entry_id,parl_id,source_id,details,start_date,end_date,amount,source_pdf,source_pagenum
P34_SNOWDON_Warren_26_26,SNOWDON_Warren,P34_SNOWDON_Warren,"Melbourne 21 Jul to 22 Jul 13",2013-07-21,2013-07-22,155.30,P34_SNOWDON_Warren.pdf,26
P34_SNOWDON_Warren_26_27,SNOWDON_Warren,P34_SNOWDON_Warren,"Melbourne 7 Aug to 8 Aug 13",2013-08-07,2013-08-08,77.59,P34_SNOWDON_Warren.pdf,26
P34_SNOWDON_Warren_26_28,SNOWDON_Warren,P34_SNOWDON_Warren,"Darwin 8 Aug to 9 Aug 13",2013-08-08,2013-08-09,87.00,P34_SNOWDON_Warren.pdf,26
P34_SNOWDON_Warren_26_29,SNOWDON_Warren,P34_SNOWDON_Warren,"Darwin 14 Aug to 16 Aug 13",2013-08-14,2013-08-16,295.02,P34_SNOWDON_Warren.pdf,26
P34_SNOWDON_Warren_26_30,SNOWDON_Warren,P34_SNOWDON_Warren,"Darwin 27 Aug to 31 Aug 13",2013-08-27,2013-08-31,445.91,P34_SNOWDON_Warren.pdf,26
P34_SNOWDON_Warren_26_31,SNOWDON_Warren,P34_SNOWDON_Warren,"Darwin 1 Sep to 4 Sep 13",2013-09-01,2013-09-04,393.08,P34_SNOWDON_Warren.pdf,26
P34_SNOWDON_Warren_26_32,SNOWDON_Warren,P34_SNOWDON_Warren,"Toll and Service fee between 22 Oct and 23 Oct 13",2013-10-22,2013-10-23,7.76,P34_SNOWDON_Warren.pdf,26
P34_SNOWDON_Warren_26_33,SNOWDON_Warren,P34_SNOWDON_Warren,"Perth 1 Nov to 2 Nov 13",2013-11-01,2013-11-02,75.97,P34_SNOWDON_Warren.pdf,26
P34_STERLE_Glenn_12_3,STERLE_Glenn,P34_STERLE_Glenn,"Broome 6 Feb to 8 Feb 14",2014-02-06,2014-02-08,161.47,P34_STERLE_Glenn.pdf,12
P34_STERLE_Glenn_12_4,STERLE_Glenn,P34_STERLE_Glenn,"Broome 6 Feb to 8 Feb 14",2014-02-06,2014-02-08,897.82,P34_STERLE_Glenn.pdf,12
P34_STERLE_Glenn_20_13,STERLE_Glenn,P34_STERLE_Glenn,"Broome 31 Jul to 2 Aug 13",2013-07-31,2013-08-02,473.98,P34_STERLE_Glenn.pdf,20
P34_STERLE_Glenn_20_14,STERLE_Glenn,P34_STERLE_Glenn,"Broome 26 Aug to 5 Sep 13",2013-08-26,2013-09-05,2221.71,P34_STERLE_Glenn.pdf,20
P34_STERLE_Glenn_20_15,STERLE_Glenn,P34_STERLE_Glenn,"Broome 1 Oct to 4 Oct 13",2013-10-01,2013-10-04,88.39,P34_STERLE_Glenn.pdf,20
P34_THORP_Lin_22_14,THORP_Lin,P34_THORP_Lin,"Canberra 21 Jun to 24 Jun 13",2013-06-21,2013-06-24,283.77,P34_THORP_Lin.pdf,22
P34_URQUHART_Anne_24_13,URQUHART_Anne,P34_URQUHART_Anne,"Launceston to Devonport 9 Nov 13",2013-11-09,0000-00-00,66.01,P34_URQUHART_Anne.pdf,24
P34_WATERS_Larissa_18_9,WATERS_Larissa,P34_WATERS_Larissa,"Mackay 22 Jul 13",2013-07-22,0000-00-00,93.10,P34_WATERS_Larissa.pdf,18
P34_WHISH-WILSON_Peter_21_24,WHISH-WILSON_Peter,P34_WHISH-WILSON_Peter,"Reimb of taxi 17 Feb 13",2013-02-17,0000-00-00,-57.09,P34_WHISH-WILSON_Peter.pdf,21
P34_WHISH-WILSON_Peter_21_25,WHISH-WILSON_Peter,P34_WHISH-WILSON_Peter,"Reimb of taxi 17 Feb 13",2013-02-17,0000-00-00,-6.28,P34_WHISH-WILSON_Peter.pdf,21
P34_WHISH-WILSON_Peter_21_26,WHISH-WILSON_Peter,P34_WHISH-WILSON_Peter,"Reimb of hire car costs in King Island 2 Apr 13",2013-04-02,0000-00-00,-120.51,P34_WHISH-WILSON_Peter.pdf,21
P34_WHISH-WILSON_Peter_21_27,WHISH-WILSON_Peter,P34_WHISH-WILSON_Peter,"Canberra 7 Jun to 10 Jun 13",2013-06-07,2013-06-10,225.51,P34_WHISH-WILSON_Peter.pdf,21
P34_WHISH-WILSON_Peter_21_28,WHISH-WILSON_Peter,P34_WHISH-WILSON_Peter,"Coolangatta 12 Jun to 14 Jun 13",2013-06-12,2013-06-14,235.51,P34_WHISH-WILSON_Peter.pdf,21
P34_WHISH-WILSON_Peter_21_29,WHISH-WILSON_Peter,P34_WHISH-WILSON_Peter,"Brisbane 23 Sep to 27 Sep 13",2013-09-23,2013-09-27,447.26,P34_WHISH-WILSON_Peter.pdf,21
