entry_id,parl_id,source_id,details,origin,destination,date,amount,balance_of_payment,source_pdf,source_pagenum
P34_ALEXANDER_John_7_10,ALEXANDER_John,P34_ALEXANDER_John,"Canberra to Sydney - 20 Mar 14",Canberra,Sydney,2014-03-20,171.60,,P34_ALEXANDER_John.pdf,7
P34_ALEXANDER_John_7_11,ALEXANDER_John,P34_ALEXANDER_John,"Sydney to Canberra - 23 Mar 14",Sydney,Canberra,2014-03-23,116.60,,P34_ALEXANDER_John.pdf,7
P34_ALEXANDER_John_7_12,ALEXANDER_John,P34_ALEXANDER_John,"Canberra to Sydney - 28 Mar 14",Canberra,Sydney,2014-03-28,116.60,,P34_ALEXANDER_John.pdf,7
P34_ALEXANDER_John_7_13,ALEXANDER_John,P34_ALEXANDER_John,"Sydney to Canberra - 24 Apr 14",Sydney,Canberra,2014-04-24,116.60,,P34_ALEXANDER_John.pdf,7
P34_ALEXANDER_John_7_14,ALEXANDER_John,P34_ALEXANDER_John,"Canberra to Sydney - 24 Apr 14",Canberra,Sydney,2014-04-24,116.60,,P34_ALEXANDER_John.pdf,7
P34_ALEXANDER_John_7_15,ALEXANDER_John,P34_ALEXANDER_John,"Sydney to Canberra - 12 May 14",Sydney,Canberra,2014-05-12,116.60,,P34_ALEXANDER_John.pdf,7
P34_ALEXANDER_John_7_16,ALEXANDER_John,P34_ALEXANDER_John,"Canberra to Sydney - 15 May 14",Canberra,Sydney,2014-05-15,116.60,,P34_ALEXANDER_John.pdf,7
P34_ALEXANDER_John_7_17,ALEXANDER_John,P34_ALEXANDER_John,"Sydney to Canberra - 25 May 14",Sydney,Canberra,2014-05-25,116.60,,P34_ALEXANDER_John.pdf,7
P34_ALEXANDER_John_7_18,ALEXANDER_John,P34_ALEXANDER_John,"Canberra to Sydney - 29 May 14",Canberra,Sydney,2014-05-29,116.60,,P34_ALEXANDER_John.pdf,7
P34_ALEXANDER_John_7_19,ALEXANDER_John,P34_ALEXANDER_John,"Sydney to Canberra - 1 Jun 14",Sydney,Canberra,2014-06-01,116.60,,P34_ALEXANDER_John.pdf,7
P34_ALEXANDER_John_7_20,ALEXANDER_John,P34_ALEXANDER_John,"Canberra to Sydney - 5 Jun 14",Canberra,Sydney,2014-06-05,116.60,,P34_ALEXANDER_John.pdf,7
P34_ALEXANDER_John_7_3,ALEXANDER_John,P34_ALEXANDER_John,"Sydney to Canberra - 9 Feb 14",Sydney,Canberra,2014-02-09,216.60,,P34_ALEXANDER_John.pdf,7
P34_ALEXANDER_John_7_4,ALEXANDER_John,P34_ALEXANDER_John,"Canberra to Sydney - 13 Feb 14",Canberra,Sydney,2014-02-13,216.60,,P34_ALEXANDER_John.pdf,7
P34_ALEXANDER_John_7_5,ALEXANDER_John,P34_ALEXANDER_John,"Sydney to Canberra - 23 Feb 14",Sydney,Canberra,2014-02-23,216.60,,P34_ALEXANDER_John.pdf,7
P34_ALEXANDER_John_7_6,ALEXANDER_John,P34_ALEXANDER_John,"Canberra to Sydney - 28 Feb 14",Canberra,Sydney,2014-02-28,216.60,,P34_ALEXANDER_John.pdf,7
P34_ALEXANDER_John_7_7,ALEXANDER_John,P34_ALEXANDER_John,"Sydney to Canberra - 2 Mar 14",Sydney,Canberra,2014-03-02,216.60,,P34_ALEXANDER_John.pdf,7
P34_ALEXANDER_John_7_8,ALEXANDER_John,P34_ALEXANDER_John,"Canberra to Sydney - 6 Mar 14",Canberra,Sydney,2014-03-06,216.60,,P34_ALEXANDER_John.pdf,7
P34_ALEXANDER_John_7_9,ALEXANDER_John,P34_ALEXANDER_John,"Sydney to Canberra - 16 Mar 14",Sydney,Canberra,2014-03-16,216.60,,P34_ALEXANDER_John.pdf,7
P34_BUSHBY_David_21_11,BUSHBY_David,P34_BUSHBY_David,"Canberra to Melbourne - 13 Dec 13",Canberra,Melbourne,2013-12-13,509.20,,P34_BUSHBY_David.pdf,21
P34_BUSHBY_David_21_12,BUSHBY_David,P34_BUSHBY_David,"Devonport to Hobart - 15 Dec 13",Devonport,Hobart,2013-12-15,212.80,,P34_BUSHBY_David.pdf,21
P34_BUSHBY_David_21_13,BUSHBY_David,P34_BUSHBY_David,"Hobart Airport to Sandy Bay - 17 Dec 13","Hobart Airport","Sandy Bay",2013-12-17,15.96,,P34_BUSHBY_David.pdf,21
P34_BUSHBY_David_21_14,BUSHBY_David,P34_BUSHBY_David,"Sandy Bay to Hobart Airport - 17 Dec 13","Sandy Bay","Hobart Airport",2013-12-17,15.96,,P34_BUSHBY_David.pdf,21
P34_CLAYDON_Sharon_7_3,CLAYDON_Sharon,P34_CLAYDON_Sharon,"Newcastle to Canberra - 25 May 14",Newcastle,Canberra,2014-05-25,330.00,,P34_CLAYDON_Sharon.pdf,7
P34_COLEMAN_David_6_10,COLEMAN_David,P34_COLEMAN_David,"Cronulla to Canberra - 24 Mar 14",Cronulla,Canberra,2014-03-24,213.00,,P34_COLEMAN_David.pdf,6
P34_COLEMAN_David_6_11,COLEMAN_David,P34_COLEMAN_David,"Canberra to Cronulla - 28 Mar 14",Canberra,Cronulla,2014-03-28,213.00,,P34_COLEMAN_David.pdf,6
P34_COLEMAN_David_6_12,COLEMAN_David,P34_COLEMAN_David,"Cronulla to Canberra - 12 May 14",Cronulla,Canberra,2014-05-12,213.00,,P34_COLEMAN_David.pdf,6
P34_COLEMAN_David_6_13,COLEMAN_David,P34_COLEMAN_David,"Canberra to Cronulla - 15 May 14",Canberra,Cronulla,2014-05-15,213.00,,P34_COLEMAN_David.pdf,6
P34_COLEMAN_David_6_14,COLEMAN_David,P34_COLEMAN_David,"Cronulla to Canberra - 25 May 14",Cronulla,Canberra,2014-05-25,213.00,,P34_COLEMAN_David.pdf,6
P34_COLEMAN_David_6_15,COLEMAN_David,P34_COLEMAN_David,"Canberra to Cronulla - 30 May 14",Canberra,Cronulla,2014-05-30,213.00,,P34_COLEMAN_David.pdf,6
P34_COLEMAN_David_6_3,COLEMAN_David,P34_COLEMAN_David,"Cronulla to Canberra - 10 Feb 14",Cronulla,Canberra,2014-02-10,213.00,,P34_COLEMAN_David.pdf,6
P34_COLEMAN_David_6_4,COLEMAN_David,P34_COLEMAN_David,"Canberra to Cronulla - 13 Feb 14",Canberra,Cronulla,2014-02-13,213.00,,P34_COLEMAN_David.pdf,6
P34_COLEMAN_David_6_5,COLEMAN_David,P34_COLEMAN_David,"Cronulla to Canberra - 24 Feb 14",Cronulla,Canberra,2014-02-24,213.00,,P34_COLEMAN_David.pdf,6
P34_COLEMAN_David_6_6,COLEMAN_David,P34_COLEMAN_David,"Canberra to Cronulla - 27 Feb 14",Canberra,Cronulla,2014-02-27,213.00,,P34_COLEMAN_David.pdf,6
