entry_id,parl_id,source_id,details,type,start_date,end_date,amount,source_pdf,source_pagenum
P34_ABBOTT_Tony_10_10,ABBOTT_Tony,P34_ABBOTT_Tony,"Fuel 8 Apr to 15 May 14",Fuel,2014-04-08,2014-05-15,247.95,P34_ABBOTT_Tony.pdf,10
P34_ABBOTT_Tony_10_11,ABBOTT_Tony,P34_ABBOTT_Tony,"Lease 1 May to 31 May 14",Lease,2014-05-01,2014-05-31,994.85,P34_ABBOTT_Tony.pdf,10
P34_ABBOTT_Tony_10_12,ABBOTT_Tony,P34_ABBOTT_Tony,"Lease 1 Jun to 30 Jun 14",Lease,2014-06-01,2014-06-30,994.85,P34_ABBOTT_Tony.pdf,10
P34_ABBOTT_Tony_10_3,ABBOTT_Tony,P34_ABBOTT_Tony,"Lease 1 Jan to 31 Jan 14",Lease,2014-01-01,2014-01-31,994.85,P34_ABBOTT_Tony.pdf,10
P34_ABBOTT_Tony_10_4,ABBOTT_Tony,P34_ABBOTT_Tony,"Fuel 21 Jan to 30 Jan 14",Fuel,2014-01-21,2014-01-30,150.05,P34_ABBOTT_Tony.pdf,10
P34_ABBOTT_Tony_10_5,ABBOTT_Tony,P34_ABBOTT_Tony,"Lease 1 Feb to 28 Feb 14",Lease,2014-02-01,2014-02-28,994.85,P34_ABBOTT_Tony.pdf,10
P34_ABBOTT_Tony_10_6,ABBOTT_Tony,P34_ABBOTT_Tony,"Fuel 3 Feb to 11 Mar 14",Fuel,2014-02-03,2014-03-11,461.23,P34_ABBOTT_Tony.pdf,10
P34_ABBOTT_Tony_10_7,ABBOTT_Tony,P34_ABBOTT_Tony,"Lease 1 Mar to 31 Mar 14",Lease,2014-03-01,2014-03-31,994.85,P34_ABBOTT_Tony.pdf,10
P34_ABBOTT_Tony_10_8,ABBOTT_Tony,P34_ABBOTT_Tony,"Fuel 20 Mar to 31 Mar 14",Fuel,2014-03-20,2014-03-31,156.56,P34_ABBOTT_Tony.pdf,10
P34_ABBOTT_Tony_10_9,ABBOTT_Tony,P34_ABBOTT_Tony,"Lease 1 Apr to 30 Apr 14",Lease,2014-04-01,2014-04-30,994.85,P34_ABBOTT_Tony.pdf,10
P34_ABBOTT_Tony_30_3,ABBOTT_Tony,P34_ABBOTT_Tony,"Fuel 11 Nov to 25 Nov 13",Fuel,2013-11-11,2013-11-25,182.25,P34_ABBOTT_Tony.pdf,30
P34_ABBOTT_Tony_30_4,ABBOTT_Tony,P34_ABBOTT_Tony,"Fuel 6 Dec to 19 Dec 13",Fuel,2013-12-06,2013-12-19,187.69,P34_ABBOTT_Tony.pdf,30
P34_ABETZ_Eric_31_3,ABETZ_Eric,P34_ABETZ_Eric,"Fuel 1 Nov to 29 Nov 13",Fuel,2013-11-01,2013-11-29,521.93,P34_ABETZ_Eric.pdf,31
P34_ABETZ_Eric_31_4,ABETZ_Eric,P34_ABETZ_Eric,"Fuel 7 Dec to 21 Dec 13",Fuel,2013-12-07,2013-12-21,284.43,P34_ABETZ_Eric.pdf,31
