entry_id,parl_id,source_id,details,flight_date,origin,destination,amount,superscript,adjustment,notes,linked_entry,source_pdf,source_pagenum
P36_ABETZ_Eric_23_3,ABETZ_Eric,P36_ABETZ_Eric,"6 Dec 14 - Sydney to Hobart",2014-12-06,Sydney,Hobart,45.46,21,,,,P36_ABETZ_Eric.pdf,23
P36_ABETZ_Eric_23_4,ABETZ_Eric,P36_ABETZ_Eric,"9 Dec 14 - Canberra to Melbourne",2014-12-09,Canberra,Melbourne,585.78,,,,,P36_ABETZ_Eric.pdf,23
P36_ABETZ_Eric_6_10,ABETZ_Eric,P36_ABETZ_Eric,"27 Jan 15 - Melbourne to Hobart",2015-01-27,Melbourne,Hobart,0.00,,,,,P36_ABETZ_Eric.pdf,6
P36_ABETZ_Eric_6_11,ABETZ_Eric,P36_ABETZ_Eric,"2 Feb 15 - Hobart to Melbourne",2015-02-02,Hobart,Melbourne,705.50,,,,,P36_ABETZ_Eric.pdf,6
P36_ABETZ_Eric_6_12,ABETZ_Eric,P36_ABETZ_Eric,"2 Feb 15 - Melbourne to Canberra",2015-02-02,Melbourne,Canberra,0.00,,,,P36_ABETZ_Eric_6_11,P36_ABETZ_Eric.pdf,6
P36_ABETZ_Eric_6_13,ABETZ_Eric,P36_ABETZ_Eric,"4 Feb 15 - Canberra to Sydney",2015-02-04,Canberra,Sydney,483.43,,,,,P36_ABETZ_Eric.pdf,6
P36_ABETZ_Eric_6_14,ABETZ_Eric,P36_ABETZ_Eric,"6 Feb 15 - Sydney to Hobart",2015-02-06,Sydney,Hobart,537.26,,,,,P36_ABETZ_Eric.pdf,6
P36_ABETZ_Eric_6_15,ABETZ_Eric,P36_ABETZ_Eric,"8 Feb 15 - Hobart to Melbourne",2015-02-08,Hobart,Melbourne,299.69,,,,,P36_ABETZ_Eric.pdf,6
P36_ABETZ_Eric_6_16,ABETZ_Eric,P36_ABETZ_Eric,"8 Feb 15 - Melbourne to Canberra",2015-02-08,Melbourne,Canberra,0.00,,,,P36_ABETZ_Eric_6_15,P36_ABETZ_Eric.pdf,6
P36_ABETZ_Eric_6_17,ABETZ_Eric,P36_ABETZ_Eric,"13 Feb 15 - Canberra to Melbourne",2015-02-13,Canberra,Melbourne,705.50,,,,,P36_ABETZ_Eric.pdf,6
P36_ABETZ_Eric_6_18,ABETZ_Eric,P36_ABETZ_Eric,"13 Feb 15 - Melbourne to Hobart",2015-02-13,Melbourne,Hobart,0.00,,,,P36_ABETZ_Eric_6_17,P36_ABETZ_Eric.pdf,6
P36_ABETZ_Eric_6_19,ABETZ_Eric,P36_ABETZ_Eric,"17 Feb 15 - Hobart to Melbourne",2015-02-17,Hobart,Melbourne,765.31,,,,,P36_ABETZ_Eric.pdf,6
P36_ABETZ_Eric_6_20,ABETZ_Eric,P36_ABETZ_Eric,"17 Feb 15 - Melbourne to Canberra",2015-02-17,Melbourne,Canberra,0.00,,,,P36_ABETZ_Eric_6_19,P36_ABETZ_Eric.pdf,6
P36_ABETZ_Eric_6_21,ABETZ_Eric,P36_ABETZ_Eric,"17 Feb 15 - Canberra to Melbourne",2015-02-17,Canberra,Melbourne,585.78,,,,,P36_ABETZ_Eric.pdf,6
P36_ABETZ_Eric_6_22,ABETZ_Eric,P36_ABETZ_Eric,"18 Feb 15 - Melbourne to Hobart",2015-02-18,Melbourne,Hobart,511.99,,,,,P36_ABETZ_Eric.pdf,6
P36_ABETZ_Eric_6_23,ABETZ_Eric,P36_ABETZ_Eric,"22 Feb 15 - Hobart to Melbourne",2015-02-22,Hobart,Melbourne,765.12,,,,,P36_ABETZ_Eric.pdf,6
P36_ABETZ_Eric_6_24,ABETZ_Eric,P36_ABETZ_Eric,"22 Feb 15 - Melbourne to Canberra",2015-02-22,Melbourne,Canberra,0.00,,,,P36_ABETZ_Eric_6_23,P36_ABETZ_Eric.pdf,6
P36_ABETZ_Eric_6_25,ABETZ_Eric,P36_ABETZ_Eric,"27 Feb 15 - Canberra to Melbourne",2015-02-27,Canberra,Melbourne,705.50,,,,,P36_ABETZ_Eric.pdf,6
P36_ABETZ_Eric_6_26,ABETZ_Eric,P36_ABETZ_Eric,"27 Feb 15 - Melbourne to Hobart",2015-02-27,Melbourne,Hobart,0.00,,,,P36_ABETZ_Eric_6_25,P36_ABETZ_Eric.pdf,6
P36_ABETZ_Eric_6_27,ABETZ_Eric,P36_ABETZ_Eric,"1 Mar 15 - Hobart to Sydney",2015-03-01,Hobart,Sydney,764.56,,,,,P36_ABETZ_Eric.pdf,6
P36_ABETZ_Eric_6_28,ABETZ_Eric,P36_ABETZ_Eric,"1 Mar 15 - Sydney to Canberra",2015-03-01,Sydney,Canberra,0.00,,,,P36_ABETZ_Eric_6_27,P36_ABETZ_Eric.pdf,6
P36_ABETZ_Eric_6_29,ABETZ_Eric,P36_ABETZ_Eric,"6 Mar 15 - Canberra to Melbourne",2015-03-06,Canberra,Melbourne,705.50,,,,,P36_ABETZ_Eric.pdf,6
P36_ABETZ_Eric_6_3,ABETZ_Eric,P36_ABETZ_Eric,"20 Jan 15 - Hobart to Melbourne",2015-01-20,Hobart,Melbourne,705.50,,,,,P36_ABETZ_Eric.pdf,6
