entry_id,parl_id,source_id,details,start_date,end_date,origin,destination,amount,superscript,adjustment,notes,linked_entry,source_pdf,source_pagenum
P36_ABETZ_Eric_8_3,ABETZ_Eric,P36_ABETZ_Eric,"Hobart to Launceston 9 Jan 15",2015-01-09,0000-00-00,Hobart,Launceston,1636.36,,,,,P36_ABETZ_Eric.pdf,8
P36_ABETZ_Eric_8_4,ABETZ_Eric,P36_ABETZ_Eric,"Launceston to Hobart 9 Jan 15",2015-01-09,0000-00-00,Launceston,Hobart,0.00,,,,P36_ABETZ_Eric_8_3,P36_ABETZ_Eric.pdf,8
P36_ABETZ_Eric_8_5,ABETZ_Eric,P36_ABETZ_Eric,"Cambridge to Devonport 13 Mar 15",2015-03-13,0000-00-00,Cambridge,Devonport,2109.09,,,,,P36_ABETZ_Eric.pdf,8
P36_ABETZ_Eric_8_6,ABETZ_Eric,P36_ABETZ_Eric,"Devonport to Cambridge 13 Mar 15",2015-03-13,0000-00-00,Devonport,Cambridge,0.00,,,,P36_ABETZ_Eric_8_5,P36_ABETZ_Eric.pdf,8
P36_BACK_Chris_21_3,BACK_Chris,P36_BACK_Chris,"Esperance 3 Apr to 6 Apr 14",2014-04-03,2014-04-06,Esperance,,217.35,,,,,P36_BACK_Chris.pdf,21
P36_BACK_Chris_21_4,BACK_Chris,P36_BACK_Chris,"Karratha 18 Oct to 19 Oct 14",2014-10-18,2014-10-19,Karratha,,140.43,,,,,P36_BACK_Chris.pdf,21
P36_BACK_Chris_21_5,BACK_Chris,P36_BACK_Chris,"Kalgoorlie 12 Nov 14",2014-11-12,0000-00-00,Kalgoorlie,,68.42,,,,,P36_BACK_Chris.pdf,21
P36_BACK_Chris_21_6,BACK_Chris,P36_BACK_Chris,"Perth to Katanning 30 Nov 14",2014-11-30,0000-00-00,Perth,Katanning,3870.00,,,,,P36_BACK_Chris.pdf,21
P36_BACK_Chris_21_7,BACK_Chris,P36_BACK_Chris,"Katanning to Esperance 30 Nov 14",2014-11-30,0000-00-00,Katanning,Esperance,0.00,,,,P36_BACK_Chris_21_6,P36_BACK_Chris.pdf,21
P36_BACK_Chris_21_8,BACK_Chris,P36_BACK_Chris,"Esperance to Perth 30 Nov 14",2014-11-30,0000-00-00,Esperance,Perth,0.00,,,,P36_BACK_Chris_21_6,P36_BACK_Chris.pdf,21
