entry_id,parl_id,source_id,details,origin,destination,date,amount,balance_of_payment,source_pdf,source_pagenum
P36_ALEXANDER_John_7_10,ALEXANDER_John,P36_ALEXANDER_John,"Canberra to Sydney - 20 Mar 15",Canberra,Sydney,2015-03-20,116.60,,P36_ALEXANDER_John.pdf,7
P36_ALEXANDER_John_7_11,ALEXANDER_John,P36_ALEXANDER_John,"Sydney to Canberra - 23 Mar 15",Sydney,Canberra,2015-03-23,116.60,,P36_ALEXANDER_John.pdf,7
P36_ALEXANDER_John_7_12,ALEXANDER_John,P36_ALEXANDER_John,"Canberra to Sydney - 26 Mar 15",Canberra,Sydney,2015-03-26,116.60,,P36_ALEXANDER_John.pdf,7
P36_ALEXANDER_John_7_13,ALEXANDER_John,P36_ALEXANDER_John,"Sydney to Canberra - 11 May 15",Sydney,Canberra,2015-05-11,116.60,,P36_ALEXANDER_John.pdf,7
P36_ALEXANDER_John_7_14,ALEXANDER_John,P36_ALEXANDER_John,"Canberra to Sydney - 14 May 15",Canberra,Sydney,2015-05-14,116.60,,P36_ALEXANDER_John.pdf,7
P36_ALEXANDER_John_7_15,ALEXANDER_John,P36_ALEXANDER_John,"Sydney to Canberra - 24 May 15",Sydney,Canberra,2015-05-24,116.60,,P36_ALEXANDER_John.pdf,7
P36_ALEXANDER_John_7_16,ALEXANDER_John,P36_ALEXANDER_John,"Canberra to Sydney - 28 May 15",Canberra,Sydney,2015-05-28,116.60,,P36_ALEXANDER_John.pdf,7
P36_ALEXANDER_John_7_17,ALEXANDER_John,P36_ALEXANDER_John,"Sydney to Canberra - 31 May 15",Sydney,Canberra,2015-05-31,116.60,,P36_ALEXANDER_John.pdf,7
P36_ALEXANDER_John_7_18,ALEXANDER_John,P36_ALEXANDER_John,"Canberra to Sydney - 4 Jun 15",Canberra,Sydney,2015-06-04,116.60,,P36_ALEXANDER_John.pdf,7
P36_ALEXANDER_John_7_3,ALEXANDER_John,P36_ALEXANDER_John,"Sydney to Canberra - 8 Feb 15",Sydney,Canberra,2015-02-08,116.60,,P36_ALEXANDER_John.pdf,7
P36_ALEXANDER_John_7_4,ALEXANDER_John,P36_ALEXANDER_John,"Canberra to Sydney - 12 Feb 15",Canberra,Sydney,2015-02-12,116.60,,P36_ALEXANDER_John.pdf,7
P36_ALEXANDER_John_7_5,ALEXANDER_John,P36_ALEXANDER_John,"Sydney to Canberra - 22 Feb 15",Sydney,Canberra,2015-02-22,116.60,,P36_ALEXANDER_John.pdf,7
P36_ALEXANDER_John_7_6,ALEXANDER_John,P36_ALEXANDER_John,"Canberra to Sydney - 26 Feb 15",Canberra,Sydney,2015-02-26,116.60,,P36_ALEXANDER_John.pdf,7
P36_ALEXANDER_John_7_7,ALEXANDER_John,P36_ALEXANDER_John,"Sydney to Canberra - 1 Mar 15",Sydney,Canberra,2015-03-01,116.60,,P36_ALEXANDER_John.pdf,7
P36_ALEXANDER_John_7_8,ALEXANDER_John,P36_ALEXANDER_John,"Canberra to Sydney - 5 Mar 15",Canberra,Sydney,2015-03-05,116.60,,P36_ALEXANDER_John.pdf,7
P36_ALEXANDER_John_7_9,ALEXANDER_John,P36_ALEXANDER_John,"Sydney to Canberra - 15 Mar 15",Sydney,Canberra,2015-03-15,116.60,,P36_ALEXANDER_John.pdf,7
P36_BERNARDI_Cory_9_18,BERNARDI_Cory,P36_BERNARDI_Cory,"Canberra to Adelaide - 6 Mar 15",Canberra,Adelaide,2015-03-06,778.62,,P36_BERNARDI_Cory.pdf,9
