entry_id,parl_id,source_id,details,start_date,end_date,amount,source_pdf,source_pagenum
P36_BIRD_Sharon_8_11,BIRD_Sharon,P36_BIRD_Sharon,"Parking between 2 Feb and 3 Feb 15",2015-02-02,2015-02-03,59.09,P36_BIRD_Sharon.pdf,8
P36_BIRD_Sharon_8_12,BIRD_Sharon,P36_BIRD_Sharon,"Parking 18 Feb 15",2015-02-18,0000-00-00,73.18,P36_BIRD_Sharon.pdf,8
P36_BIRD_Sharon_8_13,BIRD_Sharon,P36_BIRD_Sharon,"Parking between 17 Apr and 18 Apr 15",2015-04-17,2015-04-18,59.09,P36_BIRD_Sharon.pdf,8
P36_BIRD_Sharon_8_14,BIRD_Sharon,P36_BIRD_Sharon,"Parking 27 Apr 15",2015-04-27,0000-00-00,36.36,P36_BIRD_Sharon.pdf,8
P36_BIRD_Sharon_8_15,BIRD_Sharon,P36_BIRD_Sharon,"Parking between 29 Apr and 30 Apr 15",2015-04-29,2015-04-30,59.09,P36_BIRD_Sharon.pdf,8
P36_BIRD_Sharon_8_16,BIRD_Sharon,P36_BIRD_Sharon,"Parking 11 Jun 15",2015-06-11,0000-00-00,36.36,P36_BIRD_Sharon.pdf,8
P36_BIRMINGHAM_Simon_27_14,BIRMINGHAM_Simon,P36_BIRMINGHAM_Simon,"Parking between 22 Dec and 23 Dec 14",2014-12-22,2014-12-23,54.55,P36_BIRMINGHAM_Simon.pdf,27
P36_BIRMINGHAM_Simon_27_15,BIRMINGHAM_Simon,P36_BIRMINGHAM_Simon,"Parking 27 Dec 14",2014-12-27,0000-00-00,24.55,P36_BIRMINGHAM_Simon.pdf,27
P36_BRIGGS_Jamie_15_14,BRIGGS_Jamie,P36_BRIGGS_Jamie,"Parking between 10 Jun and 11 Jun 15",2015-06-10,2015-06-11,31.82,P36_BRIGGS_Jamie.pdf,15
P36_BROAD_Andrew_9_15,BROAD_Andrew,P36_BROAD_Andrew,"Parking between 10 May and 16 May 15",2015-05-10,2015-05-16,63.64,P36_BROAD_Andrew.pdf,9
P36_BROAD_Andrew_9_16,BROAD_Andrew,P36_BROAD_Andrew,"Parking between 28 May and 1 Jun 15",2015-05-28,2015-06-01,45.45,P36_BROAD_Andrew.pdf,9
P36_BROUGH_Mal_8_32,BROUGH_Mal,P36_BROUGH_Mal,"Parking between 6 Mar and 15 Mar 15",2015-03-06,2015-03-15,115.45,P36_BROUGH_Mal.pdf,8
P36_BROUGH_Mal_8_33,BROUGH_Mal,P36_BROUGH_Mal,"Parking 9 Apr 15",2015-04-09,0000-00-00,16.36,P36_BROUGH_Mal.pdf,8
P36_BROUGH_Mal_8_34,BROUGH_Mal,P36_BROUGH_Mal,"Parking between 19 Apr and 21 Apr 15",2015-04-19,2015-04-21,56.20,P36_BROUGH_Mal.pdf,8
P36_BROUGH_Mal_8_35,BROUGH_Mal,P36_BROUGH_Mal,"Parking between 2 May and 10 May 15",2015-05-02,2015-05-10,143.64,P36_BROUGH_Mal.pdf,8
P36_BROUGH_Mal_8_36,BROUGH_Mal,P36_BROUGH_Mal,"Parking between 10 May and 15 May 15",2015-05-10,2015-05-15,116.36,P36_BROUGH_Mal.pdf,8
P36_BROUGH_Mal_9_3,BROUGH_Mal,P36_BROUGH_Mal,"Parking between 22 May and 23 May 15",2015-05-22,2015-05-23,43.64,P36_BROUGH_Mal.pdf,9
P36_BROUGH_Mal_9_4,BROUGH_Mal,P36_BROUGH_Mal,"Parking between 24 May and 29 May 15",2015-05-24,2015-05-29,116.36,P36_BROUGH_Mal.pdf,9
P36_BROUGH_Mal_9_5,BROUGH_Mal,P36_BROUGH_Mal,"Parking between 31 May and 4 Jun 15",2015-05-31,2015-06-04,98.18,P36_BROUGH_Mal.pdf,9
P36_BROUGH_Mal_9_6,BROUGH_Mal,P36_BROUGH_Mal,"Parking between 16 Jun and 19 Jun 15",2015-06-16,2015-06-19,80.00,P36_BROUGH_Mal.pdf,9
