entry_id,parl_id,source_id,details,start_date,end_date,location,num_nights,rate,spouse,amount,source_pdf,source_pagenum
P36_ABBOTT_Tony_26_4,ABBOTT_Tony,P36_ABBOTT_Tony,"Prime Minister",2014-12-23,2014-12-23,Melbourne,1,560.00,0.00,560.00,P36_ABBOTT_Tony.pdf,26
P36_ABBOTT_Tony_5_10,ABBOTT_Tony,P36_ABBOTT_Tony,"Prime Minister",2015-02-06,2015-02-06,Townsville,1,560.00,0.00,560.00,P36_ABBOTT_Tony.pdf,5
P36_ABBOTT_Tony_5_11,ABBOTT_Tony,P36_ABBOTT_Tony,"Prime Minister",2015-02-17,2015-02-17,"Gold Coast",1,560.00,0.00,560.00,P36_ABBOTT_Tony.pdf,5
P36_ABBOTT_Tony_5_12,ABBOTT_Tony,P36_ABBOTT_Tony,"Prime Minister",2015-02-18,2015-02-19,Melbourne,2,560.00,0.00,1120.00,P36_ABBOTT_Tony.pdf,5
P36_ABBOTT_Tony_5_13,ABBOTT_Tony,P36_ABBOTT_Tony,"Prime Minister",2015-02-20,2015-02-20,Darwin,1,560.00,0.00,560.00,P36_ABBOTT_Tony.pdf,5
P36_ABBOTT_Tony_5_14,ABBOTT_Tony,P36_ABBOTT_Tony,"Prime Minister",2015-02-26,2015-02-26,Rockhampton,1,560.00,0.00,560.00,P36_ABBOTT_Tony.pdf,5
P36_ABBOTT_Tony_5_15,ABBOTT_Tony,P36_ABBOTT_Tony,"Prime Minister",2015-03-08,2015-03-08,Geraldton,1,560.00,0.00,560.00,P36_ABBOTT_Tony.pdf,5
P36_ABBOTT_Tony_5_16,ABBOTT_Tony,P36_ABBOTT_Tony,"Prime Minister",2015-03-09,2015-03-09,Perth,1,560.00,0.00,560.00,P36_ABBOTT_Tony.pdf,5
P36_ABBOTT_Tony_5_17,ABBOTT_Tony,P36_ABBOTT_Tony,"Prime Minister",2015-03-10,2015-03-10,"Mount Gambier",1,560.00,0.00,560.00,P36_ABBOTT_Tony.pdf,5
P36_ABBOTT_Tony_5_18,ABBOTT_Tony,P36_ABBOTT_Tony,"Prime Minister",2015-03-11,2015-03-11,Horsham,1,560.00,0.00,560.00,P36_ABBOTT_Tony.pdf,5
P36_ABBOTT_Tony_5_19,ABBOTT_Tony,P36_ABBOTT_Tony,"Prime Minister",2015-03-12,2015-03-12,Melbourne,1,560.00,0.00,560.00,P36_ABBOTT_Tony.pdf,5
P36_ABBOTT_Tony_5_20,ABBOTT_Tony,P36_ABBOTT_Tony,"Prime Minister",2015-03-19,2015-03-19,Melbourne,1,560.00,0.00,560.00,P36_ABBOTT_Tony.pdf,5
P36_ABBOTT_Tony_5_21,ABBOTT_Tony,P36_ABBOTT_Tony,"Prime Minister",2015-03-21,2015-03-21,Brisbane,1,560.00,0.00,560.00,P36_ABBOTT_Tony.pdf,5
P36_ABBOTT_Tony_5_22,ABBOTT_Tony,P36_ABBOTT_Tony,"Prime Minister",2015-03-22,2015-03-22,Melbourne,1,560.00,0.00,560.00,P36_ABBOTT_Tony.pdf,5
P36_ABBOTT_Tony_5_23,ABBOTT_Tony,P36_ABBOTT_Tony,"Prime Minister",2015-03-26,2015-03-26,Burnie,1,560.00,0.00,560.00,P36_ABBOTT_Tony.pdf,5
P36_ABBOTT_Tony_5_24,ABBOTT_Tony,P36_ABBOTT_Tony,"Prime Minister",2015-03-27,2015-03-27,Melbourne,1,560.00,0.00,560.00,P36_ABBOTT_Tony.pdf,5
P36_ABBOTT_Tony_5_25,ABBOTT_Tony,P36_ABBOTT_Tony,"Prime Minister",2015-03-28,2015-03-28,Launceston,1,560.00,0.00,560.00,P36_ABBOTT_Tony.pdf,5
P36_ABBOTT_Tony_5_26,ABBOTT_Tony,P36_ABBOTT_Tony,"Prime Minister",2015-03-30,2015-03-31,Melbourne,2,560.00,0.00,1120.00,P36_ABBOTT_Tony.pdf,5
P36_ABBOTT_Tony_5_27,ABBOTT_Tony,P36_ABBOTT_Tony,"Prime Minister",2015-04-09,2015-04-09,Brisbane,1,560.00,0.00,560.00,P36_ABBOTT_Tony.pdf,5
P36_ABBOTT_Tony_5_28,ABBOTT_Tony,P36_ABBOTT_Tony,"Prime Minister",2015-04-15,2015-04-15,Melbourne,1,560.00,0.00,560.00,P36_ABBOTT_Tony.pdf,5
P36_ABBOTT_Tony_5_29,ABBOTT_Tony,P36_ABBOTT_Tony,"Prime Minister",2015-05-05,2015-05-05,Perth,1,560.00,0.00,560.00,P36_ABBOTT_Tony.pdf,5
