entry_id,parl_id,source_id,details,date,amount,source_pdf,source_pagenum
P36_ABETZ_Eric_24_16,ABETZ_Eric,P36_ABETZ_Eric,"9 Dec 14",2014-12-09,93.85,P36_ABETZ_Eric.pdf,24
P36_ABETZ_Eric_24_17,ABETZ_Eric,P36_ABETZ_Eric,"18 Dec 14",2014-12-18,37.34,P36_ABETZ_Eric.pdf,24
P36_ALBANESE_Anthony_12_10,ALBANESE_Anthony,P36_ALBANESE_Anthony,"12 Mar 15",2015-03-12,22.16,P36_ALBANESE_Anthony.pdf,12
P36_ALBANESE_Anthony_12_11,ALBANESE_Anthony,P36_ALBANESE_Anthony,"13 Mar 15",2015-03-13,28.11,P36_ALBANESE_Anthony.pdf,12
P36_ALBANESE_Anthony_12_12,ALBANESE_Anthony,P36_ALBANESE_Anthony,"22 May 15",2015-05-22,6.62,P36_ALBANESE_Anthony.pdf,12
P36_ALBANESE_Anthony_12_13,ALBANESE_Anthony,P36_ALBANESE_Anthony,"22 May 15",2015-05-22,43.16,P36_ALBANESE_Anthony.pdf,12
P36_ALBANESE_Anthony_12_14,ALBANESE_Anthony,P36_ALBANESE_Anthony,"22 May 15",2015-05-22,21.10,P36_ALBANESE_Anthony.pdf,12
P36_ALBANESE_Anthony_12_4,ALBANESE_Anthony,P36_ALBANESE_Anthony,"14 Jan 15",2015-01-14,17.36,P36_ALBANESE_Anthony.pdf,12
P36_ALBANESE_Anthony_12_5,ALBANESE_Anthony,P36_ALBANESE_Anthony,"14 Jan 15",2015-01-14,28.01,P36_ALBANESE_Anthony.pdf,12
P36_ALBANESE_Anthony_12_6,ALBANESE_Anthony,P36_ALBANESE_Anthony,"20 Jan 15",2015-01-20,65.99,P36_ALBANESE_Anthony.pdf,12
P36_ALBANESE_Anthony_12_7,ALBANESE_Anthony,P36_ALBANESE_Anthony,"31 Jan 15",2015-01-31,7.29,P36_ALBANESE_Anthony.pdf,12
P36_ALBANESE_Anthony_12_8,ALBANESE_Anthony,P36_ALBANESE_Anthony,"11 Feb 15",2015-02-11,8.38,P36_ALBANESE_Anthony.pdf,12
