entry_id,parl_id,source_id,details,location,date,amount,source_pdf,source_pagenum
P36_ABBOTT_Tony_10_18,ABBOTT_Tony,P36_ABBOTT_Tony,"8 Jan 15 - Adelaide",Adelaide,2015-01-08,262.11,P36_ABBOTT_Tony.pdf,10
P36_ABBOTT_Tony_10_19,ABBOTT_Tony,P36_ABBOTT_Tony,"9 Jan 15 - Sydney",Sydney,2015-01-09,72.05,P36_ABBOTT_Tony.pdf,10
P36_ABBOTT_Tony_10_20,ABBOTT_Tony,P36_ABBOTT_Tony,"9 Jan 15 - Sydney",Sydney,2015-01-09,104.80,P36_ABBOTT_Tony.pdf,10
P36_ABBOTT_Tony_10_21,ABBOTT_Tony,P36_ABBOTT_Tony,"9 Jan 15 - Melbourne",Melbourne,2015-01-09,237.70,P36_ABBOTT_Tony.pdf,10
P36_ABBOTT_Tony_10_22,ABBOTT_Tony,P36_ABBOTT_Tony,"14 Jan 15 - Canberra",Canberra,2015-01-14,524.00,P36_ABBOTT_Tony.pdf,10
P36_ABBOTT_Tony_10_23,ABBOTT_Tony,P36_ABBOTT_Tony,"19 Jan 15 - Canberra",Canberra,2015-01-19,65.00,P36_ABBOTT_Tony.pdf,10
P36_ABBOTT_Tony_10_24,ABBOTT_Tony,P36_ABBOTT_Tony,"19 Jan 15 - Sydney",Sydney,2015-01-19,168.25,P36_ABBOTT_Tony.pdf,10
P36_ABBOTT_Tony_10_25,ABBOTT_Tony,P36_ABBOTT_Tony,"20 Jan 15 - Sydney",Sydney,2015-01-20,233.10,P36_ABBOTT_Tony.pdf,10
P36_ABBOTT_Tony_10_26,ABBOTT_Tony,P36_ABBOTT_Tony,"20 Jan 15 - Canberra",Canberra,2015-01-20,68.23,P36_ABBOTT_Tony.pdf,10
P36_ABBOTT_Tony_10_27,ABBOTT_Tony,P36_ABBOTT_Tony,"21 Jan 15 - Canberra",Canberra,2015-01-21,65.00,P36_ABBOTT_Tony.pdf,10
P36_ABBOTT_Tony_10_28,ABBOTT_Tony,P36_ABBOTT_Tony,"21 Jan 15 - Melbourne",Melbourne,2015-01-21,66.90,P36_ABBOTT_Tony.pdf,10
P36_ABBOTT_Tony_10_29,ABBOTT_Tony,P36_ABBOTT_Tony,"22 Jan 15 - Melbourne",Melbourne,2015-01-22,40.00,P36_ABBOTT_Tony.pdf,10
P36_ABBOTT_Tony_10_30,ABBOTT_Tony,P36_ABBOTT_Tony,"22 Jan 15 - Melbourne",Melbourne,2015-01-22,123.84,P36_ABBOTT_Tony.pdf,10
P36_ABBOTT_Tony_10_31,ABBOTT_Tony,P36_ABBOTT_Tony,"22 Jan 15 - Canberra",Canberra,2015-01-22,40.00,P36_ABBOTT_Tony.pdf,10
P36_ABBOTT_Tony_10_32,ABBOTT_Tony,P36_ABBOTT_Tony,"26 Jan 15 - Canberra",Canberra,2015-01-26,239.84,P36_ABBOTT_Tony.pdf,10
P36_ABBOTT_Tony_10_33,ABBOTT_Tony,P36_ABBOTT_Tony,"27 Jan 15 - Canberra",Canberra,2015-01-27,83.95,P36_ABBOTT_Tony.pdf,10
