entry_id,parl_id,source_id,details,start_date,end_date,location,num_nights,rate,spouse,amount,source_pdf,source_pagenum
P35_ABBOTT_Tony_30_4,ABBOTT_Tony,P35_ABBOTT_Tony,"Prime Minister",2014-06-26,2014-06-27,Melbourne,2,558.00,0.00,1116.00,P35_ABBOTT_Tony.pdf,30
P35_ABBOTT_Tony_5_10,ABBOTT_Tony,P35_ABBOTT_Tony,"Prime Minister",2014-08-18,2014-08-18,Melbourne,1,558.00,0.00,558.00,P35_ABBOTT_Tony.pdf,5
P35_ABBOTT_Tony_5_11,ABBOTT_Tony,P35_ABBOTT_Tony,"Prime Minister",2014-08-19,2014-08-19,Brisbane,1,558.00,0.00,558.00,P35_ABBOTT_Tony.pdf,5
P35_ABBOTT_Tony_5_12,ABBOTT_Tony,P35_ABBOTT_Tony,"Prime Minister",2014-08-20,2014-08-20,Melbourne,1,558.00,0.00,558.00,P35_ABBOTT_Tony.pdf,5
P35_ABBOTT_Tony_5_13,ABBOTT_Tony,P35_ABBOTT_Tony,"Prime Minister",2014-08-21,2014-08-22,Adelaide,2,558.00,0.00,1116.00,P35_ABBOTT_Tony.pdf,5
P35_ABBOTT_Tony_5_14,ABBOTT_Tony,P35_ABBOTT_Tony,"Prime Minister",2014-08-25,2014-08-25,Melbourne,1,558.00,0.00,558.00,P35_ABBOTT_Tony.pdf,5
P35_ABBOTT_Tony_5_15,ABBOTT_Tony,P35_ABBOTT_Tony,"Prime Minister",2014-09-10,2014-09-11,Melbourne,2,560.00,0.00,1120.00,P35_ABBOTT_Tony.pdf,5
P35_ABBOTT_Tony_5_16,ABBOTT_Tony,P35_ABBOTT_Tony,"Prime Minister",2014-09-13,2014-09-13,Darwin,1,560.00,0.00,560.00,P35_ABBOTT_Tony.pdf,5
P35_ABBOTT_Tony_5_17,ABBOTT_Tony,P35_ABBOTT_Tony,"Prime Minister",2014-10-01,2014-10-01,Melbourne,1,560.00,0.00,560.00,P35_ABBOTT_Tony.pdf,5
P35_ABBOTT_Tony_5_18,ABBOTT_Tony,P35_ABBOTT_Tony,"Prime Minister",2014-10-08,2014-10-08,Melbourne,1,560.00,0.00,560.00,P35_ABBOTT_Tony.pdf,5
P35_ABBOTT_Tony_5_19,ABBOTT_Tony,P35_ABBOTT_Tony,"Prime Minister",2014-10-12,2014-10-12,Rockhampton,1,560.00,0.00,560.00,P35_ABBOTT_Tony.pdf,5
P35_ABBOTT_Tony_5_20,ABBOTT_Tony,P35_ABBOTT_Tony,"Prime Minister",2014-10-14,2014-10-15,Melbourne,2,560.00,0.00,1120.00,P35_ABBOTT_Tony.pdf,5
P35_ABBOTT_Tony_5_21,ABBOTT_Tony,P35_ABBOTT_Tony,"Prime Minister",2014-10-25,2014-10-25,Tenterfield,1,560.00,0.00,560.00,P35_ABBOTT_Tony.pdf,5
P35_ABBOTT_Tony_5_22,ABBOTT_Tony,P35_ABBOTT_Tony,"Prime Minister",2014-10-30,2014-10-30,Melbourne,1,560.00,0.00,560.00,P35_ABBOTT_Tony.pdf,5
P35_ABBOTT_Tony_5_23,ABBOTT_Tony,P35_ABBOTT_Tony,"Prime Minister",2014-10-31,2014-11-01,Perth,2,560.00,0.00,1120.00,P35_ABBOTT_Tony.pdf,5
P35_ABBOTT_Tony_5_24,ABBOTT_Tony,P35_ABBOTT_Tony,"Prime Minister",2014-11-02,2014-11-03,Melbourne,2,560.00,0.00,1120.00,P35_ABBOTT_Tony.pdf,5
