entry_id,parl_id,source_id,details,origin,destination,date,amount,balance_of_payment,source_pdf,source_pagenum
P35_ALEXANDER_John_18_3,ALEXANDER_John,P35_ALEXANDER_John,"Sydney to Canberra - 15 Jun 14",Sydney,Canberra,2014-06-15,116.60,,P35_ALEXANDER_John.pdf,18
P35_ALEXANDER_John_18_4,ALEXANDER_John,P35_ALEXANDER_John,"Canberra to Sydney - 19 Jun 14",Canberra,Sydney,2014-06-19,116.60,,P35_ALEXANDER_John.pdf,18
P35_ALEXANDER_John_18_5,ALEXANDER_John,P35_ALEXANDER_John,"Sydney to Canberra - 22 Jun 14",Sydney,Canberra,2014-06-22,116.60,,P35_ALEXANDER_John.pdf,18
P35_ALEXANDER_John_18_6,ALEXANDER_John,P35_ALEXANDER_John,"Canberra to Sydney - 26 Jun 14",Canberra,Sydney,2014-06-26,116.60,,P35_ALEXANDER_John.pdf,18
P35_ALEXANDER_John_7_10,ALEXANDER_John,P35_ALEXANDER_John,"Canberra to Sydney - 25 Sep 14",Canberra,Sydney,2014-09-25,216.60,,P35_ALEXANDER_John.pdf,7
P35_ALEXANDER_John_7_11,ALEXANDER_John,P35_ALEXANDER_John,"Sydney to Canberra - 29 Sep 14",Sydney,Canberra,2014-09-29,216.60,,P35_ALEXANDER_John.pdf,7
P35_ALEXANDER_John_7_12,ALEXANDER_John,P35_ALEXANDER_John,"Canberra to Sydney - 2 Oct 14",Canberra,Sydney,2014-10-02,216.60,,P35_ALEXANDER_John.pdf,7
P35_ALEXANDER_John_7_13,ALEXANDER_John,P35_ALEXANDER_John,"Sydney to Canberra - 19 Oct 14",Sydney,Canberra,2014-10-19,216.60,,P35_ALEXANDER_John.pdf,7
P35_ALEXANDER_John_7_14,ALEXANDER_John,P35_ALEXANDER_John,"Sydney to Canberra - 23 Oct 14",Sydney,Canberra,2014-10-23,216.60,,P35_ALEXANDER_John.pdf,7
P35_ALEXANDER_John_7_15,ALEXANDER_John,P35_ALEXANDER_John,"Sydney to Canberra - 27 Oct 14",Sydney,Canberra,2014-10-27,216.60,,P35_ALEXANDER_John.pdf,7
P35_ALEXANDER_John_7_16,ALEXANDER_John,P35_ALEXANDER_John,"Canberra to Sydney - 30 Oct 14",Canberra,Sydney,2014-10-30,216.60,,P35_ALEXANDER_John.pdf,7
P35_ALEXANDER_John_7_17,ALEXANDER_John,P35_ALEXANDER_John,"Sydney to Canberra - 23 Nov 14",Sydney,Canberra,2014-11-23,216.60,,P35_ALEXANDER_John.pdf,7
P35_ALEXANDER_John_7_18,ALEXANDER_John,P35_ALEXANDER_John,"Canberra to Sydney - 27 Nov 14",Canberra,Sydney,2014-11-27,171.60,,P35_ALEXANDER_John.pdf,7
P35_ALEXANDER_John_7_19,ALEXANDER_John,P35_ALEXANDER_John,"Sydney to Canberra - 1 Dec 14",Sydney,Canberra,2014-12-01,216.60,,P35_ALEXANDER_John.pdf,7
P35_ALEXANDER_John_7_20,ALEXANDER_John,P35_ALEXANDER_John,"Canberra to Sydney - 5 Dec 14",Canberra,Sydney,2014-12-05,216.60,,P35_ALEXANDER_John.pdf,7
P35_ALEXANDER_John_7_3,ALEXANDER_John,P35_ALEXANDER_John,"Sydney to Canberra - 13 Jul 14",Sydney,Canberra,2014-07-13,216.60,,P35_ALEXANDER_John.pdf,7
P35_ALEXANDER_John_7_4,ALEXANDER_John,P35_ALEXANDER_John,"Canberra to Sydney - 18 Jul 14",Canberra,Sydney,2014-07-18,216.60,,P35_ALEXANDER_John.pdf,7
P35_ALEXANDER_John_7_5,ALEXANDER_John,P35_ALEXANDER_John,"Sydney to Canberra - 25 Aug 14",Sydney,Canberra,2014-08-25,216.60,,P35_ALEXANDER_John.pdf,7
P35_ALEXANDER_John_7_6,ALEXANDER_John,P35_ALEXANDER_John,"Canberra to Sydney - 28 Aug 14",Canberra,Sydney,2014-08-28,216.60,,P35_ALEXANDER_John.pdf,7
P35_ALEXANDER_John_7_7,ALEXANDER_John,P35_ALEXANDER_John,"Sydney to Canberra - 31 Aug 14",Sydney,Canberra,2014-08-31,216.60,,P35_ALEXANDER_John.pdf,7
P35_ALEXANDER_John_7_8,ALEXANDER_John,P35_ALEXANDER_John,"Canberra to Sydney - 4 Sep 14",Canberra,Sydney,2014-09-04,216.60,,P35_ALEXANDER_John.pdf,7
P35_ALEXANDER_John_7_9,ALEXANDER_John,P35_ALEXANDER_John,"Sydney to Canberra - 21 Sep 14",Sydney,Canberra,2014-09-21,216.60,,P35_ALEXANDER_John.pdf,7
P35_BROUGH_Mal_7_16,BROUGH_Mal,P35_BROUGH_Mal,"Canberra to Sunshine Coast - 6 Dec 14",Canberra,"Sunshine Coast",2014-12-06,926.09,,P35_BROUGH_Mal.pdf,7
P35_CLAYDON_Sharon_9_3,CLAYDON_Sharon,P35_CLAYDON_Sharon,"Canberra to Newcastle - 26 Sep 14",Canberra,Newcastle,2014-09-26,330.00,,P35_CLAYDON_Sharon.pdf,9
P35_COLEMAN_David_7_10,COLEMAN_David,P35_COLEMAN_David,"Canberra to Lugarno - 25 Sep 14",Canberra,Lugarno,2014-09-25,202.50,,P35_COLEMAN_David.pdf,7
P35_COLEMAN_David_7_11,COLEMAN_David,P35_COLEMAN_David,"Canberra to Lugarno - 3 Oct 14",Canberra,Lugarno,2014-10-03,202.50,,P35_COLEMAN_David.pdf,7
P35_COLEMAN_David_7_12,COLEMAN_David,P35_COLEMAN_David,"Lugarno to Canberra - 20 Oct 14",Lugarno,Canberra,2014-10-20,202.50,,P35_COLEMAN_David.pdf,7
P35_COLEMAN_David_7_13,COLEMAN_David,P35_COLEMAN_David,"Canberra to Lugarno - 23 Oct 14",Canberra,Lugarno,2014-10-23,202.50,,P35_COLEMAN_David.pdf,7
P35_COLEMAN_David_7_14,COLEMAN_David,P35_COLEMAN_David,"Lugarno to Canberra - 26 Oct 14",Lugarno,Canberra,2014-10-26,202.50,,P35_COLEMAN_David.pdf,7
P35_COLEMAN_David_7_15,COLEMAN_David,P35_COLEMAN_David,"Canberra to Lugarno - 30 Oct 14",Canberra,Lugarno,2014-10-30,202.50,,P35_COLEMAN_David.pdf,7
P35_COLEMAN_David_7_3,COLEMAN_David,P35_COLEMAN_David,"Cronulla to Canberra - 14 Jul 14",Cronulla,Canberra,2014-07-14,213.00,,P35_COLEMAN_David.pdf,7
P35_COLEMAN_David_7_4,COLEMAN_David,P35_COLEMAN_David,"Canberra to Cronulla - 18 Jul 14",Canberra,Cronulla,2014-07-18,213.00,,P35_COLEMAN_David.pdf,7
P35_COLEMAN_David_7_5,COLEMAN_David,P35_COLEMAN_David,"Cronulla to Canberra - 25 Aug 14",Cronulla,Canberra,2014-08-25,213.00,,P35_COLEMAN_David.pdf,7
P35_COLEMAN_David_7_6,COLEMAN_David,P35_COLEMAN_David,"Canberra to Cronulla - 29 Aug 14",Canberra,Cronulla,2014-08-29,213.00,,P35_COLEMAN_David.pdf,7
P35_COLEMAN_David_7_7,COLEMAN_David,P35_COLEMAN_David,"Cronulla to Canberra - 1 Sep 14",Cronulla,Canberra,2014-09-01,213.00,,P35_COLEMAN_David.pdf,7
P35_COLEMAN_David_7_8,COLEMAN_David,P35_COLEMAN_David,"Canberra to Cronulla - 4 Sep 14",Canberra,Cronulla,2014-09-04,213.00,,P35_COLEMAN_David.pdf,7
P35_COLEMAN_David_7_9,COLEMAN_David,P35_COLEMAN_David,"Lugarno to Canberra - 22 Sep 14",Lugarno,Canberra,2014-09-22,202.50,,P35_COLEMAN_David.pdf,7
P35_GRIFFIN_Alan_9_14,GRIFFIN_Alan,P35_GRIFFIN_Alan,"Canberra to Melbourne - 5 Sep 14",Canberra,Melbourne,2014-09-05,516.80,,P35_GRIFFIN_Alan.pdf,9
P35_HALL_Jill_18_3,HALL_Jill,P35_HALL_Jill,"Canberra to Belmont - 28 Mar 14",Canberra,Belmont,2014-03-28,-315.00,,P35_HALL_Jill.pdf,18
P35_HALL_Jill_18_4,HALL_Jill,P35_HALL_Jill,"Belmont to Canberra - 15 Jun 14",Belmont,Canberra,2014-06-15,165.50,,P35_HALL_Jill.pdf,18
P35_HALL_Jill_18_5,HALL_Jill,P35_HALL_Jill,"Canberra to Belmont - 27 Jun 14",Canberra,Belmont,2014-06-27,165.50,,P35_HALL_Jill.pdf,18
P35_HALL_Jill_7_10,HALL_Jill,P35_HALL_Jill,"Belmont to Canberra - 29 Sep 14",Belmont,Canberra,2014-09-29,307.50,,P35_HALL_Jill.pdf,7
P35_HALL_Jill_7_11,HALL_Jill,P35_HALL_Jill,"Canberra to Belmont - 3 Oct 14",Canberra,Belmont,2014-10-03,307.50,,P35_HALL_Jill.pdf,7
P35_HALL_Jill_7_12,HALL_Jill,P35_HALL_Jill,"Belmont to Canberra - 13 Nov 14",Belmont,Canberra,2014-11-13,315.00,,P35_HALL_Jill.pdf,7
P35_HALL_Jill_7_13,HALL_Jill,P35_HALL_Jill,"Canberra to Swansea - 18 Nov 14",Canberra,Swansea,2014-11-18,307.50,,P35_HALL_Jill.pdf,7
P35_HALL_Jill_7_3,HALL_Jill,P35_HALL_Jill,"Swansea to Canberra - 13 Jul 14",Swansea,Canberra,2014-07-13,303.75,,P35_HALL_Jill.pdf,7
P35_HALL_Jill_7_4,HALL_Jill,P35_HALL_Jill,"Canberra to Swansea - 18 Jul 14",Canberra,Swansea,2014-07-18,303.75,,P35_HALL_Jill.pdf,7
P35_HALL_Jill_7_5,HALL_Jill,P35_HALL_Jill,"Swansea to Sydney - 24 Aug 14",Swansea,Sydney,2014-08-24,106.50,,P35_HALL_Jill.pdf,7
P35_HALL_Jill_7_6,HALL_Jill,P35_HALL_Jill,"Sydney to Belmont - 29 Aug 14",Sydney,Belmont,2014-08-29,111.00,,P35_HALL_Jill.pdf,7
P35_HALL_Jill_7_7,HALL_Jill,P35_HALL_Jill,"Swansea to Sydney - 31 Aug 14",Swansea,Sydney,2014-08-31,106.50,,P35_HALL_Jill.pdf,7
