entry_id,parl_id,source_id,details,location,date,amount,source_pdf,source_pagenum
P35_ABBOTT_Tony_10_16,ABBOTT_Tony,P35_ABBOTT_Tony,"2 Jul 14 - Canberra",Canberra,2014-07-02,87.77,P35_ABBOTT_Tony.pdf,10
P35_ABBOTT_Tony_10_17,ABBOTT_Tony,P35_ABBOTT_Tony,"2 Jul 14 - Melbourne",Melbourne,2014-07-02,79.30,P35_ABBOTT_Tony.pdf,10
P35_ABBOTT_Tony_10_18,ABBOTT_Tony,P35_ABBOTT_Tony,"2 Jul 14 - Melbourne",Melbourne,2014-07-02,406.69,P35_ABBOTT_Tony.pdf,10
P35_ABBOTT_Tony_10_19,ABBOTT_Tony,P35_ABBOTT_Tony,"3 Jul 14 - Melbourne",Melbourne,2014-07-03,204.25,P35_ABBOTT_Tony.pdf,10
P35_ABBOTT_Tony_10_20,ABBOTT_Tony,P35_ABBOTT_Tony,"3 Jul 14 - Melbourne",Melbourne,2014-07-03,217.57,P35_ABBOTT_Tony.pdf,10
P35_ABBOTT_Tony_10_21,ABBOTT_Tony,P35_ABBOTT_Tony,"3 Jul 14 - Melbourne",Melbourne,2014-07-03,189.95,P35_ABBOTT_Tony.pdf,10
P35_ABBOTT_Tony_10_22,ABBOTT_Tony,P35_ABBOTT_Tony,"3 Jul 14 - Melbourne",Melbourne,2014-07-03,208.90,P35_ABBOTT_Tony.pdf,10
P35_ABBOTT_Tony_10_23,ABBOTT_Tony,P35_ABBOTT_Tony,"4 Jul 14 - Melbourne",Melbourne,2014-07-04,195.30,P35_ABBOTT_Tony.pdf,10
P35_ABBOTT_Tony_10_24,ABBOTT_Tony,P35_ABBOTT_Tony,"4 Jul 14 - Melbourne",Melbourne,2014-07-04,168.27,P35_ABBOTT_Tony.pdf,10
P35_ABBOTT_Tony_10_25,ABBOTT_Tony,P35_ABBOTT_Tony,"4 Jul 14 - Sydney",Sydney,2014-07-04,78.60,P35_ABBOTT_Tony.pdf,10
P35_ABBOTT_Tony_10_26,ABBOTT_Tony,P35_ABBOTT_Tony,"4 Jul 14 - Sydney",Sydney,2014-07-04,79.17,P35_ABBOTT_Tony.pdf,10
P35_ABBOTT_Tony_10_27,ABBOTT_Tony,P35_ABBOTT_Tony,"4 Jul 14 - Sydney",Sydney,2014-07-04,58.95,P35_ABBOTT_Tony.pdf,10
P35_ABBOTT_Tony_10_28,ABBOTT_Tony,P35_ABBOTT_Tony,"4 Jul 14 - Sydney",Sydney,2014-07-04,84.93,P35_ABBOTT_Tony.pdf,10
P35_ABBOTT_Tony_10_29,ABBOTT_Tony,P35_ABBOTT_Tony,"4 Jul 14 - Sydney",Sydney,2014-07-04,264.10,P35_ABBOTT_Tony.pdf,10
P35_ABBOTT_Tony_10_30,ABBOTT_Tony,P35_ABBOTT_Tony,"6 Jul 14 - Sydney",Sydney,2014-07-06,81.30,P35_ABBOTT_Tony.pdf,10
P35_ABBOTT_Tony_10_31,ABBOTT_Tony,P35_ABBOTT_Tony,"6 Jul 14 - Canberra",Canberra,2014-07-06,78.60,P35_ABBOTT_Tony.pdf,10
P35_ABBOTT_Tony_10_32,ABBOTT_Tony,P35_ABBOTT_Tony,"6 Jul 14 - Canberra",Canberra,2014-07-06,222.70,P35_ABBOTT_Tony.pdf,10
P35_ABBOTT_Tony_10_33,ABBOTT_Tony,P35_ABBOTT_Tony,"7 Jul 14 - Canberra",Canberra,2014-07-07,152.07,P35_ABBOTT_Tony.pdf,10
P35_ABBOTT_Tony_10_34,ABBOTT_Tony,P35_ABBOTT_Tony,"7 Jul 14 - Canberra",Canberra,2014-07-07,127.07,P35_ABBOTT_Tony.pdf,10
P35_ABBOTT_Tony_10_35,ABBOTT_Tony,P35_ABBOTT_Tony,"8 Jul 14 - Canberra",Canberra,2014-07-08,124.45,P35_ABBOTT_Tony.pdf,10
P35_ABBOTT_Tony_10_36,ABBOTT_Tony,P35_ABBOTT_Tony,"8 Jul 14 - Canberra",Canberra,2014-07-08,131.00,P35_ABBOTT_Tony.pdf,10
P35_ABBOTT_Tony_10_37,ABBOTT_Tony,P35_ABBOTT_Tony,"9 Jul 14 - Canberra",Canberra,2014-07-09,69.43,P35_ABBOTT_Tony.pdf,10
